Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | globalCloneId | Similarity
733 | Revision_733/asp.c | U | 75 | 90 | 12 | 15954 | 1 | 1 | 100
733 | Revision_733/asp.c | U | 98 | 113 | 12 | 15955 | 1 | 2 | 100
733 | Revision_733/asp.c | U | 121 | 162 | 37 | 15956 | 2 | 129 | 100
733 | Revision_733/asp.c | U | 168 | 209 | 37 | 15957 | 2 | 130 | 100
733 | Revision_733/erlang.c | U | 58 | 62 | 5 | 15958 | 3 | 13 | 100
733 | Revision_733/python.c | U | 278 | 282 | 5 | 15959 | 3 | 11 | 100
733 | Revision_733/sml.c | U | 84 | 88 | 5 | 15960 | 3 | 12 | 100
733 | Revision_733/erlang.c | U | 66 | 75 | 9 | 15961 | 4 | 14 | 100
733 | Revision_733/python.c | U | 286 | 295 | 9 | 15962 | 4 | 15 | 100
733 | Revision_733/flex.c | U | 239 | 243 | 5 | 15963 | 5 | 65 | 100
733 | Revision_733/jscript.c | U | 208 | 212 | 5 | 15964 | 5 | 20 | 100
733 | Revision_733/sql.c | U | 419 | 423 | 5 | 15965 | 5 | 21 | 100
733 | Revision_733/tex.c | U | 183 | 187 | 5 | 15966 | 5 | 109 | 100
733 | Revision_733/vhdl.c | U | 356 | 360 | 5 | 15967 | 5 | 50 | 100
733 | Revision_733/flex.c | U | 289 | 297 | 9 | 15968 | 6 | 66 | 100
733 | Revision_733/jscript.c | U | 246 | 254 | 9 | 15969 | 6 | 22 | 100
733 | Revision_733/sql.c | U | 457 | 465 | 9 | 15970 | 6 | 67 | 100
733 | Revision_733/tex.c | U | 221 | 229 | 9 | 15971 | 6 | 110 | 100
733 | Revision_733/flex.c | U | 310 | 314 | 5 | 15972 | 7 | 68 | 100
733 | Revision_733/jscript.c | U | 294 | 298 | 5 | 15973 | 7 | 63 | 100
733 | Revision_733/jscript.c | U | 267 | 271 | 5 | 15974 | 7 | 24 | 100
733 | Revision_733/jscript.c | U | 1411 | 1415 | 5 | 15975 | 7 | 64 | 100
733 | Revision_733/flex.c | U | 1843 | 1847 | 5 | 15976 | 7 | 69 | 100
733 | Revision_733/flex.c | U | 360 | 364 | 5 | 15977 | 7 | 70 | 100
733 | Revision_733/flex.c | U | 337 | 341 | 5 | 15978 | 7 | 71 | 100
733 | Revision_733/flex.c | U | 384 | 402 | 17 | 15979 | 8 | 72 | 100
733 | Revision_733/jscript.c | U | 318 | 336 | 17 | 15980 | 8 | 26 | 100
733 | Revision_733/tex.c | U | 239 | 257 | 17 | 15981 | 8 | 111 | 100
733 | Revision_733/vhdl.c | U | 368 | 386 | 17 | 15982 | 8 | 51 | 100
733 | Revision_733/flex.c | U | 408 | 419 | 12 | 15983 | 9 | 73 | 100
733 | Revision_733/tex.c | U | 264 | 276 | 12 | 15984 | 9 | 112 | 100
733 | Revision_733/jscript.c | U | 342 | 353 | 12 | 15985 | 9 | 28 | 100
733 | Revision_733/flex.c | U | 431 | 435 | 5 | 15986 | 10 | 74 | 100
733 | Revision_733/vhdl.c | U | 414 | 418 | 5 | 15987 | 10 | 52 | 100
733 | Revision_733/tex.c | U | 288 | 292 | 5 | 15988 | 10 | 113 | 100
733 | Revision_733/jscript.c | U | 365 | 369 | 5 | 15989 | 10 | 49 | 100
733 | Revision_733/sql.c | U | 523 | 536 | 5 | 15990 | 10 | 29 | 100
733 | Revision_733/flex.c | U | 486 | 497 | 12 | 15991 | 11 | 75 | 100
733 | Revision_733/sql.c | U | 617 | 628 | 12 | 15992 | 11 | 31 | 100
733 | Revision_733/jscript.c | U | 416 | 427 | 12 | 15993 | 11 | 76 | 100
733 | Revision_733/flex.c | U | 537 | 543 | 7 | 15994 | 12 | 77 | 100
733 | Revision_733/flex.c | U | 591 | 597 | 7 | 15995 | 12 | 78 | 100
733 | Revision_733/flex.c | U | 628 | 634 | 7 | 15996 | 12 | 79 | 100
733 | Revision_733/flex.c | U | 550 | 557 | 8 | 15997 | 13 | 80 | 100
733 | Revision_733/flex.c | U | 604 | 611 | 8 | 15998 | 13 | 81 | 100
733 | Revision_733/flex.c | U | 693 | 702 | 10 | 15999 | 14 | 82 | 100
