globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
1 | Revision_477/args.c | 85 | 92 | 1 | 301 | nextString | static char* nextString (const Arguments* const current, const char** const next) | 84 | 92 |  | args
2 | Revision_477/args.c | 159 | 166 | 1 | 300 | nextFileString | static char* nextFileString (const Arguments* const current, FILE* const fp) | 158 | 166 |  | args
8 | Revision_477/asp.c | 71 | 90 | 2 | 156 | findAspTags | static void findAspTags (void) | 42 | 198 |  | asp
9 | Revision_477/asp.c | 94 | 113 | 2 | 156 | findAspTags | static void findAspTags (void) | 42 | 198 |  | asp
10 | Revision_477/asp.c | 117 | 133 | 3 | 156 | findAspTags | static void findAspTags (void) | 42 | 198 |  | asp
12 | Revision_477/asp.c | 137 | 152 | 3 | 156 | findAspTags | static void findAspTags (void) | 42 | 198 |  | asp
114 | Revision_477/asp.c | 175 | 190 | 3 | 156 | findAspTags | static void findAspTags (void) | 42 | 198 |  | asp
87 | Revision_477/asp.c | 156 | 171 | 3 | 156 | findAspTags | static void findAspTags (void) | 42 | 198 |  | asp
15 | Revision_477/asp.c | 201 | 209 | 4 | 2 | AspParser | extern parserDefinition* AspParser (void) | 200 | 209 |  | asp
116 | Revision_477/ruby.c | 389 | 397 | 4 | 21 | RubyParser | extern parserDefinition* RubyParser (void) | 388 | 397 |  | ruby
88 | Revision_477/sml.c | 201 | 209 | 4 | 569 | SmlParser | extern parserDefinition *SmlParser (void) | 200 | 209 |  | sml
16 | Revision_477/python.c | 272 | 280 | 4 | 19 | PythonParser | extern parserDefinition *PythonParser (void) | 271 | 280 |  | python
7 | Revision_477/awk.c | 71 | 79 | 5 | 3 | AwkParser | extern parserDefinition* AwkParser () | 70 | 79 |  | awk
5 | Revision_477/php.c | 161 | 169 | 5 | 18 | PhpParser | extern parserDefinition* PhpParser (void) | 160 | 169 |  | php
118 | Revision_477/basic.c | 180 | 188 | 6 | 619 | BlitzBasicParser | parserDefinition *BlitzBasicParser (void) | 179 | 188 |  | basic
119 | Revision_477/basic.c | 191 | 199 | 6 | 621 | PureBasicParser | parserDefinition *PureBasicParser (void) | 190 | 199 |  | basic
18 | Revision_477/beta.c | 152 | 156 | 7 | 158 | findBetaTags | static void findBetaTags (void) | 82 | 307 |  | beta
20 | Revision_477/beta.c | 158 | 162 | 7 | 158 | findBetaTags | static void findBetaTags (void) | 82 | 307 |  | beta
19 | Revision_477/beta.c | 277 | 281 | 7 | 158 | findBetaTags | static void findBetaTags (void) | 82 | 307 |  | beta
21 | Revision_477/beta.c | 165 | 169 | 8 | 158 | findBetaTags | static void findBetaTags (void) | 82 | 307 |  | beta
22 | Revision_477/beta.c | 271 | 275 | 8 | 158 | findBetaTags | static void findBetaTags (void) | 82 | 307 |  | beta
23 | Revision_477/beta.c | 310 | 318 | 9 | 4 | BetaParser | extern parserDefinition* BetaParser (void) | 309 | 318 |  | beta
24 | Revision_477/vim.c | 199 | 207 | 9 | 26 | VimParser | extern parserDefinition* VimParser (void) | 198 | 207 |  | vim
65 | Revision_477/lua.c | 123 | 131 | 9 | 520 | LuaParser | extern parserDefinition* LuaParser (void) | 122 | 131 |  | lua
94 | Revision_477/erlang.c | 58 | 62 | 10 | 173 | skipSpace | static const unsigned char *skipSpace (const unsigned char *cp) | 57 | 62 |  | erlang
92 | Revision_477/sml.c | 84 | 88 | 10 | 173 | skipSpace | static const unsigned char *skipSpace (const unsigned char *cp) | 83 | 88 |  | sml
91 | Revision_477/python.c | 107 | 111 | 10 | 173 | skipSpace | static const char *skipSpace (const char *cp) | 106 | 111 |  | python
95 | Revision_477/erlang.c | 66 | 75 | 11 | NULL | NULL | NULL | NULL | NULL |  | 
96 | Revision_477/python.c | 115 | 124 | 11 | 328 | parseIdentifier | static const char *parseIdentifier (const char *cp, vString *const identifier) | 114 | 124 |  | python
101 | Revision_477/erlang.c | 108 | 113 | 12 | 580 | parseSimpleTag | static void parseSimpleTag (const unsigned char *cp, erlangKind kind) | 107 | 113 |  | erlang
102 | Revision_477/erlang.c | 116 | 121 | 12 | 578 | parseFunctionTag | static void parseFunctionTag (const unsigned char *cp, vString *const module) | 115 | 121 |  | erlang
99 | Revision_477/erlang.c | 179 | 187 | 13 | 575 | ErlangParser | extern parserDefinition *ErlangParser (void) | 178 | 187 |  | erlang
100 | Revision_477/tcl.c | 106 | 114 | 13 | 25 | TclParser | extern parserDefinition* TclParser (void) | 105 | 114 |  | tcl
6 | Revision_477/perl.c | 203 | 211 | 13 | 17 | PerlParser | extern parserDefinition* PerlParser (void) | 202 | 211 |  | perl
30 | Revision_477/get.c | 464 | 475 | 14 | 442 | skipOverCplusComment | static int skipOverCplusComment (void) | 463 | 475 |  | get
31 | Revision_477/get.c | 481 | 492 | 14 | 451 | skipToEndOfString | static int skipToEndOfString (void) | 480 | 492 |  | get
122 | Revision_477/jscript.c | 175 | 184 | 15 | 629 | buildJsKeywordHash | static void buildJsKeywordHash (void) | 174 | 184 |  | jscript
123 | Revision_477/sql.c | 332 | 341 | 15 | 555 | buildSqlKeywordHash | static void buildSqlKeywordHash (void) | 331 | 341 |  | sql
125 | Revision_477/jscript.c | 200 | 204 | 16 | 122 | deleteToken | static void deleteToken (tokenInfo *const token) | 199 | 204 |  | jscript
126 | Revision_477/sql.c | 356 | 360 | 16 | 122 | deleteToken | static void deleteToken (tokenInfo *const token) | 355 | 360 |  | sql
129 | Revision_477/jscript.c | 211 | 225 | 17 | 634 | makeConstTag | static void makeConstTag (tokenInfo *const token, const jsKind kind) | 210 | 225 |  | jscript
130 | Revision_477/sql.c | 367 | 381 | 17 | 559 | makeConstTag | static void makeConstTag (tokenInfo *const token, const sqlKind kind) | 366 | 381 |  | sql
127 | Revision_477/jscript.c | 228 | 249 | 18 | 635 | makeJsTag | static void makeJsTag (tokenInfo *const token, const jsKind kind) | 227 | 249 |  | jscript
128 | Revision_477/sql.c | 384 | 405 | 18 | 559 | makeSqlTag | static void makeSqlTag (tokenInfo *const token, const sqlKind kind) | 383 | 405 |  | sql
125 | Revision_477/jscript.c | 252 | 258 | 19 | 542 | makeClassTag | static void makeClassTag (tokenInfo *const token) | 251 | 258 |  | jscript
131 | Revision_477/jscript.c | 261 | 267 | 19 | 543 | makeFunctionTag | static void makeFunctionTag (tokenInfo *const token) | 260 | 267 |  | jscript
