Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | Similarity
685 | Revision_685/lisp.c | U | 91 | 97 | 7 | 224100 | 1 | 83
685 | Revision_685/lisp.c | U | 112 | 118 | 7 | 224101 | 1 | 83
685 | Revision_685/lisp.c | U | 127 | 137 | 9 | 224102 | 2 | 70
685 | Revision_685/c.c | U | 2917 | 2926 | 9 | 224103 | 2 | 70
685 | Revision_685/scheme.c | U | 99 | 109 | 9 | 224104 | 2 | 70
685 | Revision_685/sh.c | U | 103 | 113 | 9 | 224105 | 2 | 70
685 | Revision_685/basic.c | U | 193 | 201 | 9 | 224106 | 2 | 70
685 | Revision_685/erlang.c | U | 179 | 187 | 9 | 224107 | 2 | 70
685 | Revision_685/tcl.c | U | 106 | 114 | 9 | 224108 | 2 | 70
685 | Revision_685/verilog.c | U | 329 | 338 | 9 | 224109 | 2 | 70
685 | Revision_685/cobol.c | U | 40 | 48 | 9 | 224110 | 2 | 70
685 | Revision_685/beta.c | U | 311 | 319 | 9 | 224111 | 2 | 70
685 | Revision_685/asp.c | U | 201 | 209 | 9 | 224112 | 2 | 70
685 | Revision_685/c.c | U | 2875 | 2890 | 9 | 224113 | 2 | 70
685 | Revision_685/php.c | U | 91 | 98 | 9 | 224114 | 2 | 70
685 | Revision_685/pascal.c | U | 257 | 265 | 9 | 224115 | 2 | 70
685 | Revision_685/ruby.c | U | 398 | 406 | 9 | 224116 | 2 | 70
685 | Revision_685/c.c | U | 2863 | 2872 | 9 | 224117 | 2 | 70
685 | Revision_685/c.c | U | 2905 | 2914 | 9 | 224118 | 2 | 70
685 | Revision_685/c.c | U | 2893 | 2902 | 9 | 224119 | 2 | 70
685 | Revision_685/python.c | U | 648 | 656 | 9 | 224120 | 2 | 70
685 | Revision_685/perl.c | U | 372 | 380 | 9 | 224121 | 2 | 70
685 | Revision_685/lua.c | U | 123 | 131 | 9 | 224122 | 2 | 70
685 | Revision_685/fortran.c | U | 2180 | 2195 | 9 | 224123 | 2 | 70
685 | Revision_685/vhdl.c | U | 825 | 834 | 9 | 224124 | 2 | 70
685 | Revision_685/awk.c | U | 71 | 79 | 9 | 224125 | 2 | 70
685 | Revision_685/sml.c | U | 202 | 210 | 9 | 224126 | 2 | 70
685 | Revision_685/sql.c | U | 2065 | 2074 | 9 | 224127 | 2 | 70
685 | Revision_685/eiffel.c | U | 1236 | 1245 | 9 | 224128 | 2 | 70
685 | Revision_685/vim.c | U | 626 | 634 | 9 | 224129 | 2 | 70
685 | Revision_685/asm.c | U | 366 | 385 | 9 | 224130 | 2 | 70
685 | Revision_685/make.c | U | 205 | 215 | 9 | 224131 | 2 | 70
685 | Revision_685/jscript.c | U | 1558 | 1571 | 9 | 224132 | 2 | 70
685 | Revision_685/rexx.c | U | 30 | 37 | 9 | 224133 | 2 | 70
685 | Revision_685/slang.c | U | 34 | 41 | 9 | 224134 | 2 | 70
685 | Revision_685/html.c | U | 40 | 47 | 9 | 224135 | 2 | 70
685 | Revision_685/yacc.c | U | 31 | 38 | 9 | 224136 | 2 | 70
685 | Revision_685/keyword.c | U | 107 | 116 | 9 | 224137 | 2 | 70
685 | Revision_685/flex.c | U | 2225 | 2238 | 9 | 224138 | 2 | 70
685 | Revision_685/fortran.c | U | 414 | 426 | 9 | 224139 | 2 | 70
685 | Revision_685/options.c | U | 626 | 632 | 9 | 224140 | 2 | 70
685 | Revision_685/options.c | U | 533 | 538 | 9 | 224141 | 2 | 70
685 | Revision_685/c.c | U | 2222 | 2227 | 9 | 224142 | 2 | 70
685 | Revision_685/gnu_regex/regex.c | U | 2828 | 2833 | 9 | 224143 | 2 | 70
685 | Revision_685/flex.c | U | 220 | 234 | 9 | 224144 | 2 | 70
685 | Revision_685/sql.c | U | 397 | 409 | 9 | 224145 | 2 | 70
685 | Revision_685/jscript.c | U | 192 | 205 | 9 | 224146 | 2 | 70
685 | Revision_685/vhdl.c | U | 342 | 351 | 9 | 224147 | 2 | 70
685 | Revision_685/eiffel.c | U | 1190 | 1202 | 9 | 224148 | 2 | 70
685 | Revision_685/c.c | U | 2251 | 2259 | 9 | 224149 | 2 | 70
685 | Revision_685/gnu_regex/regex.c | U | 2826 | 2840 | 9 | 224150 | 2 | 70
685 | Revision_685/asp.c | U | 71 | 90 | 15 | 224151 | 3 | 100
685 | Revision_685/asp.c | U | 94 | 113 | 15 | 224152 | 3 | 100
685 | Revision_685/asp.c | U | 117 | 133 | 14 | 224153 | 4 | 100
685 | Revision_685/asp.c | U | 175 | 190 | 14 | 224154 | 4 | 100
685 | Revision_685/asp.c | U | 156 | 171 | 14 | 224155 | 4 | 100
685 | Revision_685/asp.c | U | 137 | 152 | 14 | 224156 | 4 | 100
685 | Revision_685/args.c | U | 85 | 92 | 8 | 224157 | 5 | 100
685 | Revision_685/args.c | U | 160 | 167 | 8 | 224158 | 5 | 100
685 | Revision_685/args.c | U | 182 | 190 | 9 | 224159 | 6 | 75
685 | Revision_685/args.c | U | 203 | 211 | 9 | 224160 | 6 | 75
685 | Revision_685/args.c | U | 193 | 200 | 9 | 224161 | 6 | 75
685 | Revision_685/args.c | U | 266 | 272 | 7 | 224162 | 7 | 83
685 | Revision_685/options.c | U | 579 | 584 | 7 | 224163 | 7 | 83
685 | Revision_685/c.c | U | 536 | 542 | 7 | 224164 | 8 | 70
685 | Revision_685/vstring.c | U | 67 | 74 | 7 | 224165 | 8 | 70
685 | Revision_685/vhdl.c | U | 354 | 361 | 7 | 224166 | 8 | 70
685 | Revision_685/jscript.c | U | 208 | 212 | 7 | 224167 | 8 | 70
685 | Revision_685/flex.c | U | 237 | 241 | 7 | 224168 | 8 | 70
685 | Revision_685/sql.c | U | 412 | 416 | 7 | 224169 | 8 | 70
