globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd
1 | Revision_700/lisp.c | 91 | 97 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
2 | Revision_700/lisp.c | 112 | 118 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
3 | Revision_700/lisp.c | 127 | 137 | 2 | 14 | LispParser | extern parserDefinition* LispParser (void) | 126 | 137
320 | Revision_700/cobol.c | 40 | 48 | 2 | 6 | CobolParser | extern parserDefinition* CobolParser () | 39 | 48
501 | Revision_700/php.c | 91 | 98 | 2 | 18 | PhpParser | extern parserDefinition* PhpParser (void) | 90 | 98
9 | Revision_700/eiffel.c | 1236 | 1245 | 2 | 8 | EiffelParser | extern parserDefinition* EiffelParser (void) | 1235 | 1245
243 | Revision_700/lua.c | 123 | 131 | 2 | 531 | LuaParser | extern parserDefinition* LuaParser (void) | 122 | 131
7 | Revision_700/perl.c | 372 | 380 | 2 | 17 | PerlParser | extern parserDefinition* PerlParser (void) | 371 | 380
17 | Revision_700/sh.c | 103 | 113 | 2 | 23 | ShParser | extern parserDefinition* ShParser (void) | 102 | 113
408 | Revision_700/basic.c | 193 | 201 | 2 | 684 | BasicParser | parserDefinition *BasicParser (void) | 192 | 201
8 | Revision_700/c.c | 2879 | 2894 | 2 | 7 | CppParser | extern parserDefinition* CppParser (void) | 2878 | 2894
321 | Revision_700/sml.c | 202 | 210 | 2 | 607 | SmlParser | extern parserDefinition *SmlParser (void) | 201 | 210
12 | Revision_700/c.c | 2867 | 2876 | 2 | 5 | CParser | extern parserDefinition* CParser (void) | 2866 | 2876
15 | Revision_700/c.c | 2921 | 2930 | 2 | 603 | VeraParser | extern parserDefinition* VeraParser (void) | 2920 | 2930
16 | Revision_700/scheme.c | 99 | 109 | 2 | 22 | SchemeParser | extern parserDefinition* SchemeParser (void) | 98 | 109
340 | Revision_700/erlang.c | 179 | 187 | 2 | 615 | ErlangParser | extern parserDefinition *ErlangParser (void) | 178 | 187
18 | Revision_700/tcl.c | 106 | 114 | 2 | 25 | TclParser | extern parserDefinition* TclParser (void) | 105 | 114
14 | Revision_700/pascal.c | 257 | 265 | 2 | 16 | PascalParser | extern parserDefinition* PascalParser (void) | 256 | 265
10 | Revision_700/awk.c | 71 | 79 | 2 | 3 | AwkParser | extern parserDefinition* AwkParser () | 70 | 79
20 | Revision_700/vim.c | 626 | 634 | 2 | 26 | VimParser | extern parserDefinition* VimParser (void) | 625 | 634
19 | Revision_700/ruby.c | 398 | 406 | 2 | 21 | RubyParser | extern parserDefinition* RubyParser (void) | 397 | 406
5 | Revision_700/beta.c | 311 | 319 | 2 | 4 | BetaParser | extern parserDefinition* BetaParser (void) | 310 | 319
13 | Revision_700/python.c | 648 | 656 | 2 | 19 | PythonParser | extern parserDefinition *PythonParser (void) | 647 | 656
315 | Revision_700/c.c | 2897 | 2906 | 2 | 10 | CsharpParser | extern parserDefinition* CsharpParser (void) | 2896 | 2906
283 | Revision_700/verilog.c | 329 | 338 | 2 | 571 | VerilogParser | extern parserDefinition* VerilogParser (void) | 328 | 338
4 | Revision_700/asp.c | 201 | 209 | 2 | 2 | AspParser | extern parserDefinition* AspParser (void) | 200 | 209
330 | Revision_700/c.c | 2909 | 2918 | 2 | 10 | JavaParser | extern parserDefinition* JavaParser (void) | 2908 | 2918
296 | Revision_700/sql.c | 2101 | 2110 | 2 | 579 | SqlParser | extern parserDefinition* SqlParser (void) | 2100 | 2110
21 | Revision_700/fortran.c | 2180 | 2195 | 2 | 9 | FortranParser | extern parserDefinition* FortranParser (void) | 2179 | 2195
539 | Revision_700/vhdl.c | 825 | 834 | 2 | 798 | VhdlParser | extern parserDefinition *VhdlParser (void) | 824 | 834
668 | Revision_700/matlab.c | 35 | 42 | 2 | 855 | MatLabParser | extern parserDefinition* MatLabParser () | 34 | 42
666 | Revision_700/ant.c | 33 | 40 | 2 | 853 | AntParser | extern parserDefinition* AntParser () | 32 | 40
667 | Revision_700/dosbatch.c | 33 | 40 | 2 | 854 | DosBatchParser | extern parserDefinition* DosBatchParser () | 32 | 40
24 | Revision_700/slang.c | 34 | 41 | 2 | 24 | SlangParser | extern parserDefinition* SlangParser (void) | 33 | 41
27 | Revision_700/keyword.c | 107 | 116 | 2 | NULL | NULL | NULL | NULL | NULL
365 | Revision_700/html.c | 40 | 47 | 2 | 629 | HtmlParser | extern parserDefinition* HtmlParser (void) | 39 | 47
26 | Revision_700/rexx.c | 30 | 37 | 2 | 20 | RexxParser | extern parserDefinition* RexxParser (void) | 29 | 37
23 | Revision_700/yacc.c | 31 | 38 | 2 | 27 | YaccParser | extern parserDefinition* YaccParser () | 30 | 38
25 | Revision_700/make.c | 205 | 215 | 2 | 15 | MakefileParser | extern parserDefinition* MakefileParser (void) | 204 | 215
274 | Revision_700/asm.c | 366 | 385 | 2 | 1 | AsmParser | extern parserDefinition* AsmParser (void) | 365 | 385
413 | Revision_700/jscript.c | 1558 | 1571 | 2 | 630 | JavaScriptParser | extern parserDefinition* JavaScriptParser (void) | 1557 | 1571
665 | Revision_700/tex.c | 510 | 523 | 2 | 856 | TexParser | extern parserDefinition* TexParser (void) | 509 | 523
575 | Revision_700/flex.c | 2230 | 2243 | 2 | 828 | FlexParser | extern parserDefinition* FlexParser (void) | 2229 | 2243
29 | Revision_700/options.c | 626 | 632 | 2 | 69 | cArgForth | extern void cArgForth (cookedArgs* const current) | 613 | 634
30 | Revision_700/options.c | 533 | 538 | 2 | 78 | cArgRead | static void cArgRead (cookedArgs *const current) | 507 | 540
28 | Revision_700/c.c | 2251 | 2256 | 2 | 45 | analyzePostParens | static void analyzePostParens (statementInfo *const st, parenInfo *const info) | 2032 | 2475
511 | Revision_700/gnu_regex/regex.c | 2828 | 2833 | 2 | NULL | NULL | NULL | NULL | NULL
158 | Revision_700/fortran.c | 414 | 426 | 2 | 589 | newToken | static tokenInfo *newToken (void) | 413 | 426
31 | Revision_700/c.c | 2280 | 2288 | 2 | 45 | analyzePostParens | static void analyzePostParens (statementInfo *const st, parenInfo *const info) | 2032 | 2475
669 | Revision_700/tex.c | 169 | 180 | 2 | 838 | newToken | static tokenInfo *newToken (void) | 168 | 180
157 | Revision_700/eiffel.c | 1190 | 1202 | 2 | 299 | newToken | static tokenInfo *newToken (void) | 1189 | 1202
540 | Revision_700/vhdl.c | 342 | 351 | 2 | 869 | newToken | static tokenInfo *newToken (void) | 341 | 351
414 | Revision_700/jscript.c | 192 | 205 | 2 | 714 | newToken | static tokenInfo *newToken (void) | 191 | 205
309 | Revision_700/sql.c | 404 | 416 | 2 | 807 | newToken | static tokenInfo *newToken (void) | 403 | 416
576 | Revision_700/flex.c | 221 | 235 | 2 | 300 | newToken | static tokenInfo *newToken (void) | 220 | 235
512 | Revision_700/gnu_regex/regex.c | 2826 | 2840 | 2 | NULL | NULL | NULL | NULL | NULL
33 | Revision_700/asp.c | 71 | 90 | 3 | 158 | findAspTags | static void findAspTags (void) | 42 | 198
34 | Revision_700/asp.c | 94 | 113 | 3 | 158 | findAspTags | static void findAspTags (void) | 42 | 198
35 | Revision_700/asp.c | 117 | 133 | 4 | 158 | findAspTags | static void findAspTags (void) | 42 | 198
36 | Revision_700/asp.c | 175 | 190 | 4 | 158 | findAspTags | static void findAspTags (void) | 42 | 198
36 | Revision_700/asp.c | 137 | 152 | 4 | 158 | findAspTags | static void findAspTags (void) | 42 | 198
36 | Revision_700/asp.c | 156 | 171 | 4 | 158 | findAspTags | static void findAspTags (void) | 42 | 198
43 | Revision_700/args.c | 85 | 92 | 5 | 305 | nextString | static char* nextString (const Arguments* const current, const char** const next) | 84 | 92
44 | Revision_700/args.c | 160 | 167 | 5 | 304 | nextFileString | static char* nextFileString (const Arguments* const current, FILE* const fp) | 159 | 167
45 | Revision_700/args.c | 182 | 190 | 6 | 55 | argNewFromArgv | extern Arguments* argNewFromArgv (char* const* const argv) | 181 | 190
46 | Revision_700/args.c | 203 | 211 | 6 | 57 | argNewFromLineFile | extern Arguments* argNewFromLineFile (FILE* const fp) | 202 | 211
47 | Revision_700/args.c | 193 | 200 | 6 | 56 | argNewFromFile | extern Arguments* argNewFromFile (FILE* const fp) | 192 | 200
48 | Revision_700/args.c | 266 | 272 | 7 | 52 | argDelete | extern void argDelete (Arguments* const current) | 265 | 272
49 | Revision_700/options.c | 579 | 584 | 7 | 68 | cArgDelete | extern void cArgDelete (cookedArgs* const current) | 578 | 584
51 | Revision_700/c.c | 536 | 542 | 8 | 123 | deleteToken | static void deleteToken (tokenInfo *const token) | 535 | 542
52 | Revision_700/vstring.c | 67 | 74 | 8 | 507 | vStringDelete | extern void vStringDelete (vString *const string) | 66 | 74
670 | Revision_700/tex.c | 183 | 187 | 8 | 807 | deleteToken | static void deleteToken (tokenInfo *const token) | 182 | 187
