Revision,gcid1,gcid2,classid,co_change_count,gcid1_independent_change_count,gcid2_independent_change_count,same_file,same_author,same_method,similarity,clone_type,nlines1,nlines2,depth,class_size,is_spcp,weighted_coupling_strength,last_co_change_age,last_solo_change_age,coupling_trend,wcs_recent,solo_events_after_last_cochange,noc1,noc2,file_age1,file_age2,churn1,churn2,distinct_authors1,distinct_authors2,major_author_prop1,major_author_prop2,minor_author_count1,minor_author_count2,wies,will_independently_evolve
96,1,2,1,1,0,0,1,1,1,100,Type1,12,12,0,2,1,1.0000,0,-1,1.0000,1.0000,0,2,2,814,814,174,174,1,1,1.0000,1.0000,0,0,0.0000,0
106,6,9,34,0,0,1,0,1,0,100,Type1,8,8,1,2,0,0.0000,-1,0,0.0000,0.0000,3,4,2,777,719,909,459,1,1,1.0000,1.0000,0,0,1.0000,1
106,8,10,35,0,0,1,0,1,0,100,Type1,8,8,1,2,0,0.0000,-1,0,0.0000,0.0000,4,5,4,777,719,923,523,1,1,1.0000,1.0000,0,0,1.0000,1
139,8,10,35,0,0,2,0,1,0,100,Type1,8,8,1,2,0,0.0000,-1,0,0.0000,0.0000,5,5,4,777,719,923,523,1,1,1.0000,1.0000,0,0,1.0000,1
163,6,9,34,0,1,1,0,1,0,100,Type1,8,8,1,2,0,0.0000,-1,0,0.0000,0.0000,4,4,2,777,719,909,459,1,1,1.0000,1.0000,0,0,1.0000,1
163,8,10,35,1,0,2,0,1,0,100,Type1,8,8,1,2,0,0.5997,0,24,0.6726,1.0000,0,5,4,777,719,923,523,1,1,1.0000,1.0000,0,0,0.4003,0
443,1,2,1,2,0,0,1,1,1,100,Type1,12,12,0,2,1,1.0000,0,-1,0.0000,1.0000,0,2,2,814,814,174,174,1,1,1.0000,1.0000,0,0,0.0000,0
443,6,9,34,1,1,1,0,1,0,100,Type1,8,8,1,2,0,0.9997,0,280,1.0000,1.0000,0,4,2,777,719,909,459,1,1,1.0000,1.0000,0,0,0.0003,0
443,8,10,35,2,0,2,0,1,0,100,Type1,8,8,1,2,0,0.9998,0,304,0.4003,1.0000,0,5,4,777,719,923,523,1,1,1.0000,1.0000,0,0,0.0002,0
443,11,12,3,1,0,0,0,1,1,100,Type1,5,5,1,4,1,1.0000,0,-1,1.0000,1.0000,0,7,1,574,574,749,134,3,1,0.7143,1.0000,0,0,0.0000,0
443,11,13,3,1,0,0,0,1,1,100,Type1,5,5,1,4,1,1.0000,0,-1,1.0000,1.0000,0,7,1,574,552,749,96,3,1,0.7143,1.0000,0,0,0.0000,0
443,12,13,3,1,0,0,0,1,1,100,Type1,5,5,1,4,1,1.0000,0,-1,1.0000,1.0000,0,1,1,574,552,134,96,1,1,1.0000,1.0000,0,0,0.0000,0
443,14,15,4,1,0,0,0,1,0,100,Type1,9,9,1,5,1,1.0000,0,-1,1.0000,1.0000,0,1,7,552,552,96,749,1,3,1.0000,0.7143,0,0,0.0000,0
461,17,31,11,0,0,1,1,1,0,100,Type1,18,12,0,8,0,0.0000,-1,0,0.0000,0.0000,1,3,1,182,355,1557,1691,1,1,1.0000,1.0000,0,0,1.0000,1
461,18,19,5,0,0,1,0,1,1,100,Type1,8,8,1,7,1,0.0000,-1,0,0.0000,0.0000,1,1,2,8,8,25,1716,1,1,1.0000,1.0000,0,0,1.0000,1
461,18,21,5,0,0,1,0,1,0,100,Type1,8,5,1,7,0,0.0000,-1,0,0.0000,0.0000,1,1,6,8,355,25,3603,1,1,1.0000,1.0000,0,0,1.0000,1
461,19,20,5,0,1,0,0,1,0,100,Type1,8,5,1,7,0,0.0000,-1,0,0.0000,0.0000,1,2,6,8,355,1716,1549,1,1,1.0000,1.0000,0,0,1.0000,1
461,19,21,5,1,0,0,1,1,0,100,Type1,8,5,0,7,0,1.0000,0,-1,0.0000,1.0000,0,2,6,8,355,1716,3603,1,1,1.0000,1.0000,0,0,0.0000,0
461,20,21,5,0,0,1,0,1,1,100,Type1,5,5,1,7,1,0.0000,-1,0,0.0000,0.0000,1,6,6,355,355,1549,3603,1,1,1.0000,1.0000,0,0,1.0000,1
461,22,23,29,0,0,1,0,1,0,100,Type1,12,12,1,7,1,0.0000,-1,0,0.0000,0.0000,1,3,6,329,329,1004,3533,1,1,1.0000,1.0000,0,0,1.0000,1
461,24,25,7,0,0,1,0,1,1,100,Type1,5,8,1,9,1,0.0000,-1,0,0.0000,0.0000,1,12,5,355,197,1911,3512,1,1,1.0000,1.0000,0,0,1.0000,1
461,24,27,7,0,0,1,0,1,0,100,Type1,5,14,1,9,0,0.0000,-1,0,0.0000,0.0000,1,12,3,355,15,1911,3219,1,1,1.0000,1.0000,0,0,1.0000,1
461,25,27,7,1,0,0,1,1,0,100,Type1,8,14,0,9,0,1.0000,0,-1,0.0000,1.0000,0,5,3,197,15,3512,3219,1,1,1.0000,1.0000,0,0,0.0000,0
461,30,31,11,0,0,1,0,1,1,100,Type1,12,12,1,8,0,0.0000,-1,0,0.0000,0.0000,1,0,1,5,355,0,1691,0,1,0.0000,1.0000,0,0,1.0000,1
461,32,33,12,0,0,1,0,1,1,100,Type1,7,7,1,6,0,0.0000,-1,0,0.0000,0.0000,1,0,1,6,6,0,1691,0,1,0.0000,1.0000,0,0,1.0000,1
461,34,35,21,0,0,1,0,1,1,100,Type1,7,7,1,3,1,0.0000,-1,0,0.0000,0.0000,1,24,11,355,355,3037,3734,2,2,0.8333,0.8182,0,0,1.0000,1
461,36,37,14,0,0,1,0,1,1,100,Type1,5,5,1,6,0,0.0000,-1,0,0.0000,0.0000,1,0,1,6,6,0,1691,0,1,0.0000,1.0000,0,0,1.0000,1
461,37,40,14,0,1,0,0,1,0,100,Type1,5,9,1,6,0,0.0000,-1,0,0.0000,0.0000,1,1,1,6,8,1691,25,1,1,1.0000,1.0000,0,0,1.0000,1
461,37,41,14,0,1,0,0,1,0,100,Type1,5,9,1,6,0,0.0000,-1,0,0.0000,0.0000,1,1,1,6,8,1691,25,1,1,1.0000,1.0000,0,0,1.0000,1
468,17,31,11,0,1,1,1,1,0,100,Type1,18,12,0,8,0,0.0000,-1,0,0.0000,0.0000,2,3,1,182,355,1557,1691,1,1,1.0000,1.0000,0,0,1.0000,1
468,17,44,11,1,0,0,0,1,1,100,Type1,18,18,1,8,1,1.0000,0,-1,0.0000,1.0000,0,3,4,182,175,1557,1084,1,1,1.0000,1.0000,0,0,0.0000,0
468,18,19,5,1,0,1,0,1,1,100,Type1,8,8,1,7,1,0.5523,0,7,1.0000,0.5523,0,1,2,8,8,25,1716,1,1,1.0000,1.0000,0,0,0.4477,0
468,18,20,5,1,0,0,1,1,0,100,Type1,8,5,0,7,0,1.0000,0,-1,1.0000,1.0000,0,1,6,8,355,25,1549,1,1,1.0000,1.0000,0,0,0.0000,0
468,18,21,5,1,0,1,0,1,0,100,Type1,8,5,1,7,0,0.5523,0,7,1.0000,0.5523,0,1,6,8,355,25,3603,1,1,1.0000,1.0000,0,0,0.4477,0
468,19,20,5,1,1,0,0,1,0,100,Type1,8,5,1,7,0,0.5523,0,7,1.0000,0.5523,0,2,6,8,355,1716,1549,1,1,1.0000,1.0000,0,0,0.4477,0
468,19,21,5,2,0,0,1,1,0,100,Type1,8,5,0,7,0,1.0000,0,-1,0.0000,1.0000,0,2,6,8,355,1716,3603,1,1,1.0000,1.0000,0,0,0.0000,0
468,20,21,5,1,0,1,0,1,1,100,Type1,5,5,1,7,1,0.5523,0,7,1.0000,0.5523,0,6,6,355,355,1549,3603,1,1,1.0000,1.0000,0,0,0.4477,0
468,22,23,29,1,0,1,0,1,0,100,Type1,12,12,1,7,1,0.5523,0,7,1.0000,0.5523,0,3,6,329,329,1004,3533,1,1,1.0000,1.0000,0,0,0.4477,0
468,24,25,7,1,0,1,0,1,1,100,Type1,5,8,1,9,1,0.5523,0,7,1.0000,0.5523,0,12,5,355,197,1911,3512,1,1,1.0000,1.0000,0,0,0.4477,0
468,24,27,7,1,0,1,0,1,0,100,Type1,5,14,1,9,0,0.5523,0,7,1.0000,0.5523,0,12,3,355,15,1911,3219,1,1,1.0000,1.0000,0,0,0.4477,0
468,25,27,7,2,0,0,1,1,0,100,Type1,8,14,0,9,0,1.0000,0,-1,0.0000,1.0000,0,5,3,197,15,3512,3219,1,1,1.0000,1.0000,0,0,0.0000,0
468,31,44,11,0,0,1,0,1,0,100,Type1,12,18,1,8,0,0.0000,-1,0,0.0000,0.0000,2,1,4,355,175,1691,1084,1,1,1.0000,1.0000,0,0,1.0000,1
468,34,35,21,1,0,1,0,1,1,100,Type1,7,7,1,3,1,0.5523,0,7,1.0000,0.5523,0,24,11,355,355,3037,3734,2,2,0.8333,0.8182,0,0,0.4477,0
468,38,39,22,1,0,0,0,1,0,100,Type1,6,6,1,6,0,1.0000,0,-1,1.0000,1.0000,0,11,6,355,355,1954,1858,1,1,1.0000,1.0000,0,0,0.0000,0
468,40,41,14,1,0,0,1,1,0,100,Type1,9,9,0,6,1,1.0000,0,-1,1.0000,1.0000,0,1,1,8,8,25,25,1,1,1.0000,1.0000,0,0,0.0000,0
468,42,43,10,1,0,0,0,1,1,100,Type1,26,26,1,6,1,1.0000,0,-1,0.0000,1.0000,0,4,4,191,191,1084,1775,1,1,1.0000,1.0000,0,0,0.0000,0
470,20,21,5,1,1,1,0,1,1,100,Type1,5,5,1,7,1,0.3481,2,0,0.4850,0.3481,1,6,6,355,355,1549,3603,1,1,1.0000,1.0000,0,0,0.6519,1
