pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors,weighted_coupling_strength,coupling_trend,last_co_change_age,last_solo_change_age,method_name1,method_signature1,method_name2,method_signature2
1,Type1,Block,1,1,2,2,2,Still Active,Still Active,814,814,2,0,0,100,asp.c,asp.c,0,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,1.0000,0.0000,373,-1,findAspTags,static void findAspTags (void),findAspTags,static void findAspTags (void)
2,Type1,Block,2,3,4,2,2,18,18,16,16,0,0,0,100,python.c,ruby.c,1,darren,darren,0.0000,0.0000,-1,-1,findPythonTags,static void findPythonTags (void),findRubyTags,static void findRubyTags (void)
3,Type1,Block,2,3,5,2,39,18,97,16,58,0,0,0,100,python.c,main.c,1,darren,darren,0.0000,0.0000,-1,-1,findPythonTags,static void findPythonTags (void),stricmp,"extern int stricmp (const char *s1, const char *s2)"
4,Type1,Block,2,3,6,2,39,18,Still Active,16,777,0,0,0,100,python.c,readtags.c,1,darren,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,0.0000,0.0000,-1,-1,findPythonTags,static void findPythonTags (void),stricmp,"static int stricmp (const char *s1, const char *s2)"
5,Type1,Block,2,3,11,2,242,18,Still Active,16,574,0,0,0,100,python.c,python.c,0,darren,darren; elias; dhiebert; elliotth; dfishburn; jafl; perlguy0; vberthoux,0.0000,0.0000,-1,-1,findPythonTags,static void findPythonTags (void),skipSpace,static const unsigned char *skipSpace (const unsigned char *cp)
6,Type1,Block,2,3,12,2,242,18,Still Active,16,574,0,0,0,100,python.c,sml.c,1,darren,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,0.0000,0.0000,-1,-1,findPythonTags,static void findPythonTags (void),skipSpace,static const unsigned char *skipSpace (const unsigned char *cp)
7,Type1,Block,2,3,13,2,264,18,Still Active,16,552,0,0,0,100,python.c,erlang.c,1,darren,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,0.0000,0.0000,-1,-1,findPythonTags,static void findPythonTags (void),skipSpace,static const unsigned char *skipSpace (const unsigned char *cp)
8,Type1,Block,2,3,129,2,711,18,Still Active,16,105,0,0,0,100,python.c,asp.c,1,darren,dhiebert; elias; jafl; dfishburn; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,-1,findPythonTags,static void findPythonTags (void),findAspTags,static void findAspTags (void)
9,Type1,Block,2,3,130,2,711,18,Still Active,16,105,0,0,0,100,python.c,asp.c,1,darren,dhiebert; elias; jafl; dfishburn; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,-1,findPythonTags,static void findPythonTags (void),findAspTags,static void findAspTags (void)
10,Type1,Block,2,4,5,2,39,18,97,16,58,0,0,0,100,ruby.c,main.c,1,darren,darren,0.0000,0.0000,-1,-1,findRubyTags,static void findRubyTags (void),stricmp,"extern int stricmp (const char *s1, const char *s2)"
