gcid,classid,addedInRev,endRev,deletedInRev,lifespan,total_changes,alive_peer_count_at_end,exclusion_reason
1,1,2,816,0,815,1,23,warmup
2,1,2,816,0,815,1,23,warmup
3,2,2,816,0,815,1,4,warmup
4,2,2,816,0,815,1,4,warmup
5,2,2,816,0,815,1,4,warmup
6,3,2,816,18,815,1,5,warmup
7,3,2,816,18,815,1,5,warmup
8,3,2,283,18,282,0,5,never_changed
9,4,2,158,119,157,1,7,warmup
10,4,2,816,0,815,1,14,warmup
13,4,2,816,18,815,1,15,warmup
15,4,2,816,24,815,1,15,warmup
17,4,2,816,18,815,1,15,warmup
20,4,2,816,18,815,1,15,warmup
21,4,2,486,18,485,1,13,warmup
22,4,2,816,18,815,1,15,warmup
23,4,2,226,22,225,0,12,never_changed
24,4,2,816,18,815,1,15,warmup
25,4,2,816,18,815,1,15,warmup
28,4,2,816,18,815,1,15,warmup
29,4,2,816,18,815,1,15,warmup
35,6,2,422,18,421,1,8,warmup
36,6,2,160,18,159,0,5,never_changed
37,6,2,212,18,211,1,7,warmup
39,6,2,816,18,815,1,8,warmup
40,6,2,155,18,154,0,4,never_changed
41,7,2,261,18,260,0,13,never_changed
42,7,2,261,18,260,0,13,never_changed
43,8,2,816,18,815,1,21,warmup
44,8,2,816,18,815,1,21,warmup
47,10,2,816,24,815,1,9,warmup
48,10,2,816,24,815,1,9,warmup
49,10,2,816,24,815,1,9,warmup
50,10,2,816,24,815,1,9,warmup
51,10,2,816,24,815,1,9,warmup
52,11,2,283,18,282,0,6,never_changed
54,11,2,283,18,282,0,6,never_changed
56,11,2,259,18,258,0,6,never_changed
58,11,2,259,18,258,0,6,never_changed
59,12,2,283,18,282,0,3,never_changed
60,12,2,283,18,282,0,3,never_changed
61,13,2,283,18,282,0,6,never_changed
62,13,2,816,18,815,1,8,warmup
63,14,2,283,18,282,0,11,never_changed
64,14,2,283,18,282,0,11,never_changed
65,14,2,159,18,158,0,0,never_changed
66,15,2,259,18,258,0,9,never_changed
67,15,2,259,18,258,0,9,never_changed
68,16,2,259,18,258,0,7,never_changed
69,16,2,259,18,258,0,7,never_changed
70,17,2,283,18,282,0,15,never_changed
72,18,2,283,18,282,1,10,warmup
73,18,2,283,18,282,1,10,warmup
74,19,2,816,18,815,1,11,warmup
75,19,2,816,18,815,1,11,warmup
76,19,2,816,18,815,1,11,warmup
78,20,2,217,18,216,0,7,never_changed
80,21,2,816,18,815,1,20,warmup
81,21,2,816,18,815,1,20,warmup
82,22,2,36,18,35,0,0,never_changed
83,22,2,36,18,35,0,0,never_changed
84,22,2,36,18,35,0,0,never_changed
85,23,2,816,18,815,1,31,warmup
86,23,2,816,18,815,1,31,warmup
89,24,2,816,18,815,1,39,warmup
90,24,2,816,18,815,1,39,warmup
91,25,2,96,18,95,0,0,never_changed
92,25,2,96,18,95,0,0,never_changed
93,26,2,96,18,95,0,0,never_changed
96,27,2,96,18,95,0,0,never_changed
97,27,2,96,18,95,0,0,never_changed
98,28,2,96,18,95,0,0,never_changed
99,28,2,96,18,95,0,0,never_changed
100,29,2,96,18,95,0,0,never_changed
101,29,2,96,18,95,0,0,never_changed
102,30,2,96,18,95,0,0,never_changed
103,30,2,96,18,95,0,0,never_changed
104,30,2,96,18,95,0,0,never_changed
105,31,2,96,18,95,1,0,warmup
106,31,2,96,18,95,0,0,never_changed
107,32,2,816,18,815,1,76,warmup
108,32,2,816,18,815,1,76,warmup
109,33,2,272,18,271,0,3,never_changed
110,33,2,816,18,815,1,74,warmup
111,33,2,816,18,815,1,74,warmup
112,34,2,816,18,815,1,72,warmup
114,34,2,816,18,815,1,72,warmup
116,35,2,816,18,815,1,98,warmup
117,35,2,816,18,815,1,98,warmup
118,36,2,816,18,815,1,32,warmup
119,36,2,816,18,815,1,32,warmup
121,37,2,17,18,16,0,24,never_changed
122,38,2,272,18,271,0,8,never_changed
124,39,2,816,18,815,1,65,warmup
125,39,2,816,18,815,1,65,warmup
126,40,2,816,18,815,1,75,warmup
127,40,2,816,18,815,1,75,warmup
128,41,2,816,18,815,1,67,warmup
130,42,2,816,18,815,1,61,warmup
131,42,2,816,18,815,1,61,warmup
132,43,2,155,18,154,0,7,never_changed
133,43,2,155,18,154,0,7,never_changed
137,45,2,27,18,26,0,0,never_changed
138,45,2,36,18,35,0,0,never_changed
140,46,2,816,18,815,1,40,warmup
141,46,2,816,18,815,1,40,warmup
142,47,2,816,18,815,1,31,warmup
143,47,2,816,18,815,1,31,warmup
144,48,2,416,18,415,0,19,never_changed
145,48,2,416,18,415,1,19,warmup
154,4,43,816,0,774,1,14,warmup
156,37,97,816,0,720,1,32,warmup
157,42,97,816,0,720,1,60,warmup
158,42,97,816,0,720,1,60,warmup
159,43,97,816,0,720,1,36,warmup
160,44,97,816,0,720,1,35,warmup
161,44,97,816,0,720,1,35,warmup
162,45,97,816,0,720,1,39,warmup
163,45,97,816,0,720,1,39,warmup
164,46,97,138,139,42,1,15,warmup
165,46,97,136,137,40,0,14,never_changed
166,46,97,136,137,40,0,14,never_changed
168,47,97,344,345,248,0,20,never_changed
169,47,97,344,345,248,0,20,never_changed
171,46,137,138,139,2,1,15,warmup
172,46,137,138,139,2,1,15,warmup
173,46,137,138,139,2,1,15,warmup
174,4,147,816,0,670,1,14,warmup
175,4,150,158,159,9,0,6,never_changed
176,7,156,422,423,267,1,17,warmup
177,36,156,160,161,5,0,4,never_changed
178,36,156,160,161,5,0,4,never_changed
181,4,161,816,0,656,1,14,warmup
184,5,173,816,0,644,1,17,warmup
185,25,173,816,341,644,0,31,never_changed
186,25,173,340,341,168,0,2,never_changed
189,4,200,283,284,84,0,11,never_changed
190,5,200,283,284,84,0,13,never_changed
192,55,201,816,0,616,1,28,warmup
194,40,213,816,0,604,1,74,warmup
199,14,215,330,331,116,0,10,never_changed
200,14,215,460,461,246,1,8,warmup
202,16,215,283,284,69,0,12,never_changed
203,16,215,283,284,69,0,12,never_changed
204,17,215,283,284,69,0,14,never_changed
207,19,215,283,284,69,0,6,never_changed
209,19,215,460,461,246,1,2,warmup
211,23,215,283,284,69,0,6,never_changed
212,43,221,816,0,596,1,36,warmup
214,2,242,390,389,149,0,5,never_changed
215,2,242,390,389,149,0,5,never_changed
216,8,242,816,0,575,1,20,warmup
217,12,242,816,0,575,1,6,warmup
218,37,242,816,0,575,1,32,warmup
220,46,242,525,526,284,1,29,warmup
221,47,242,468,469,227,1,22,warmup
222,47,242,468,469,227,1,22,warmup
223,15,247,816,423,570,1,14,warmup
226,22,260,283,284,24,1,9,warmup
228,44,262,328,329,67,1,18,warmup
229,44,262,328,329,67,0,18,never_changed
230,8,264,816,0,553,1,20,warmup
231,14,264,816,0,553,1,7,warmup
232,15,264,816,0,553,1,13,warmup
233,16,264,264,265,1,0,13,never_changed
234,16,264,264,265,1,0,13,never_changed
236,17,264,452,453,189,1,11,warmup
238,17,264,264,265,1,0,15,never_changed
240,25,267,283,284,17,0,7,never_changed
241,28,267,283,284,17,1,2,warmup
243,35,273,816,0,544,1,97,warmup
250,29,274,283,284,10,0,6,never_changed
251,25,282,283,284,2,1,7,warmup
252,7,286,460,461,175,1,19,warmup
253,7,286,816,0,531,1,19,warmup
256,7,329,816,0,488,1,19,warmup
260,56,341,816,0,476,1,29,warmup
261,12,400,400,401,1,1,3,warmup
263,29,417,419,420,3,1,5,warmup
265,33,423,816,0,394,1,73,warmup
266,14,431,434,435,4,1,9,warmup
268,22,435,816,0,382,1,31,warmup
270,23,435,816,0,382,1,30,warmup
272,24,435,816,0,382,1,38,warmup
273,25,435,816,0,382,1,30,warmup
276,7,459,578,579,120,1,21,warmup
277,7,459,578,579,120,0,21,never_changed
278,10,459,816,0,358,0,8,never_changed
279,10,459,816,0,358,0,8,never_changed
287,21,461,816,0,356,0,19,never_changed
289,22,461,790,791,330,1,32,warmup
293,24,461,633,634,173,1,19,warmup
302,28,461,816,0,356,1,14,warmup
303,28,461,467,468,7,1,8,warmup
