Revision,gcid,classid,n_prior_changes,n_prior_co_changes,n_prior_independent,co_change_ratio,revs_since_last_change,revs_since_last_co_change,revs_since_last_independent,recent_co_ratio_last5,solo_events_since_last_co,nlines,similarity,file_age,change_proneness,stability_index,change_magnitude,avg_prior_change_magnitude,class_size,alive_peer_count,class_co_change_density,frac_peers_same_file,frac_peers_same_method,mean_peer_co_ratio,max_peer_co_ratio,min_peer_co_ratio,mean_peer_depth,ir_decay_h10,cs_decay_h10,ir_decay_h20,cs_decay_h20,ir_decay_h50,cs_decay_h50,coupling_trend,churn,distinct_authors,major_author_prop,label
39,88,23,1,1,0,1.0,2,2,-1,1.0,0,5,71,37,0.027,0.0331,0.2,0.4,64,13,0.0769,0.0769,0.0,0.0769,1.0,0.0,0.92,0.0,1.0,0.0,1.0,0.0,1.0,0.0,224,1,1.0,1
39,134,44,1,1,0,1.0,2,2,-1,1.0,0,6,75,37,0.027,0.0331,0.875,0.4,66,25,0.28,0.36,0.0,0.2,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,224,1,1.0,0
39,135,44,1,1,0,1.0,2,2,-1,1.0,0,6,75,37,0.027,0.0331,0.1429,0.1429,66,25,0.28,0.36,0.0,0.2,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,224,1,1.0,0
39,136,45,1,1,0,1.0,2,2,-1,1.0,0,8,83,37,0.027,0.0331,0.4444,0.3333,67,22,0.3182,0.3636,0.0,0.2273,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,224,1,1.0,0
39,139,45,2,1,0,0.5,2,2,-1,1.0,0,8,83,37,0.0541,0.0442,0.4444,0.1667,67,22,0.3182,0.3636,0.0,0.2273,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,448,1,1.0,0
65,134,44,3,2,0,0.6667,26,26,-1,1.0,0,6,75,63,0.0476,0.0945,0.875,0.7167,66,25,0.4,0.36,0.0,0.2533,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,508,1,1.0,0
65,139,45,4,2,0,0.5,26,26,-1,1.0,0,8,83,63,0.0635,0.1055,0.4444,0.3055,67,22,0.4545,0.3636,0.0,0.2727,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,732,1,1.0,0
96,134,44,5,3,0,0.6,31,31,-1,1.0,0,6,75,94,0.0532,0.1681,0.875,0.78,66,25,0.44,0.36,0.0,0.184,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,536,1,1.0,0
96,139,45,5,3,0,0.6,31,31,-1,1.0,0,8,83,94,0.0532,0.1804,0.4444,0.3333,67,22,0.4545,0.3636,0.0,0.2273,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,746,1,1.0,0
96,149,24,1,1,0,1.0,57,57,-1,1.0,0,8,83,57,0.0175,0.072,0.125,1.0,75,15,0.0667,0.0667,0.0,0.0667,1.0,0.0,0.93,0.0,1.0,0.0,1.0,0.0,1.0,0.0,142,1,1.0,0
