pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors
1,Type3,Block,1,1,2,2,2,Still Active,Still Active,814,814,1,0,0,83,lisp.c,lisp.c,0,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
2,Type3,Block,2,3,4,2,2,Still Active,Still Active,814,814,1,1,1,70,lisp.c,asp.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux
3,Type3,Block,2,3,5,2,2,Still Active,Still Active,814,814,1,1,0,70,lisp.c,beta.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
4,Type3,Block,2,3,6,2,2,Still Active,119,814,117,0,0,0,70,lisp.c,asm.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren
5,Type3,Block,2,3,7,2,2,Still Active,Still Active,814,814,1,1,4,70,lisp.c,perl.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; perlguy0; elias; elliotth; dfishburn; jafl; dhiebert; vberthoux
6,Type3,Block,2,3,8,2,2,Still Active,Still Active,814,814,1,1,3,70,lisp.c,c.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
7,Type3,Block,2,3,9,2,2,Still Active,Still Active,814,814,1,1,5,70,lisp.c,eiffel.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; dhiebert; elliotth; elias; dfishburn; jafl; perlguy0; vberthoux
8,Type3,Block,2,3,10,2,2,Still Active,Still Active,814,814,1,1,0,70,lisp.c,awk.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
9,Type3,Block,2,3,11,2,2,Still Active,227,814,225,0,0,0,70,lisp.c,cobol.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren
10,Type3,Block,2,3,12,2,2,Still Active,Still Active,814,814,1,1,5,70,lisp.c,c.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
