revision,gcid,filePath,changeType,nlines,totalChanges,totalUnchanged,stabilityIndex,changeProneness,lifespan,author,activePairs,meanWCS,maxWCS,minWCS,stronglyCoupledPairs,decoupledPairs
29,75,read.c,M,10,1,18,0.6429,0.0357,27,darren,2,0.0000,0.0000,0.0000,0,2
29,81,read.c,M,6,1,18,0.6429,0.0357,27,darren,1,0.0000,0.0000,0.0000,0,1
32,148,vim.c,M,18,1,21,0.6774,0.0323,30,darren,0,0.0000,0.0000,0.0000,0,0
34,94,vstring.c,M,5,1,23,0.6970,0.0303,32,darren,1,1.0000,1.0000,1.0000,1,0
34,95,vstring.c,M,5,1,23,0.6970,0.0303,32,darren,1,1.0000,1.0000,1.0000,1,0
37,87,readtags.c,M,5,1,26,0.7222,0.0278,35,darren,5,0.2000,1.0000,0.0000,1,4
37,88,readtags.c,M,5,1,26,0.7222,0.0278,35,darren,5,0.2000,1.0000,0.0000,1,4
37,110,readtags.c,M,5,1,26,0.7222,0.0278,35,darren,1,0.0000,0.0000,0.0000,0,1
37,134,readtags.c,M,6,1,26,0.7222,0.0278,35,darren,1,1.0000,1.0000,1.0000,1,0
37,135,readtags.c,M,6,1,26,0.7222,0.0278,35,darren,1,1.0000,1.0000,1.0000,1,0
37,136,readtags.c,M,8,1,26,0.7222,0.0278,35,darren,1,1.0000,1.0000,1.0000,1,0
37,139,readtags.c,M,8,1,26,0.7222,0.0278,35,darren,1,1.0000,1.0000,1.0000,1,0
39,87,readtags.c,M,5,2,27,0.7105,0.0526,37,darren,5,0.2000,1.0000,0.0000,1,4
39,88,readtags.c,M,5,2,27,0.7105,0.0526,37,darren,5,0.2000,1.0000,0.0000,1,4
39,110,readtags.c,M,5,2,27,0.7105,0.0526,37,darren,1,0.0000,0.0000,0.0000,0,1
39,134,readtags.c,M,6,2,27,0.7105,0.0526,37,darren,1,1.0000,1.0000,1.0000,1,0
39,135,readtags.c,M,6,2,27,0.7105,0.0526,37,darren,1,1.0000,1.0000,1.0000,1,0
39,136,readtags.c,M,8,2,27,0.7105,0.0526,37,darren,1,1.0000,1.0000,1.0000,1,0
39,139,readtags.c,M,8,2,27,0.7105,0.0526,37,darren,1,1.0000,1.0000,1.0000,1,0
39,149,readtags.c,M,8,1,0,0.0000,1.0000,0,darren,0,0.0000,0.0000,0.0000,0,0
39,151,readtags.c,M,6,1,0,0.0000,1.0000,0,darren,1,0.0000,0.0000,0.0000,0,1
39,152,readtags.c,M,6,1,0,0.0000,1.0000,0,darren,1,1.0000,1.0000,1.0000,1,0
39,153,readtags.c,M,6,1,0,0.0000,1.0000,0,darren,1,1.0000,1.0000,1.0000,1,0
65,87,readtags.c,M,5,3,52,0.8125,0.0469,63,darren,5,0.2000,1.0000,0.0000,1,4
65,88,readtags.c,M,5,3,52,0.8125,0.0469,63,darren,5,0.2000,1.0000,0.0000,1,4
65,110,readtags.c,M,5,3,52,0.8125,0.0469,63,darren,1,0.0000,0.0000,0.0000,0,1
65,134,readtags.c,M,6,3,52,0.8125,0.0469,63,darren,1,1.0000,1.0000,1.0000,1,0
65,135,readtags.c,M,6,3,52,0.8125,0.0469,63,darren,1,1.0000,1.0000,1.0000,1,0
65,136,readtags.c,M,8,3,52,0.8125,0.0469,63,darren,1,1.0000,1.0000,1.0000,1,0
65,139,readtags.c,M,8,3,52,0.8125,0.0469,63,darren,1,1.0000,1.0000,1.0000,1,0
65,150,readtags.c,M,6,1,26,0.9630,0.0370,26,darren,1,0.6857,0.6857,0.6857,1,0
65,151,readtags.c,M,6,2,25,0.9259,0.0741,26,darren,1,0.6857,0.6857,0.6857,1,0
65,152,readtags.c,M,6,2,25,0.9259,0.0741,26,darren,1,1.0000,1.0000,1.0000,1,0
65,153,readtags.c,M,6,2,25,0.9259,0.0741,26,darren,1,1.0000,1.0000,1.0000,1,0
96,31,asp.c,M,15,1,93,0.9789,0.0105,94,darren,3,0.3333,1.0000,0.0000,1,2
96,32,asp.c,M,15,1,93,0.9789,0.0105,94,darren,3,0.3333,1.0000,0.0000,1,2
96,45,beta.c,M,6,1,91,0.9579,0.0105,94,darren,2,0.5000,1.0000,0.0000,1,1
96,46,beta.c,M,6,1,91,0.9579,0.0105,94,darren,2,0.5000,1.0000,0.0000,1,1
96,87,readtags.c,M,5,4,82,0.8632,0.0421,94,darren,5,0.2000,1.0000,0.0000,1,4
96,88,readtags.c,M,5,4,82,0.8632,0.0421,94,darren,5,0.2000,1.0000,0.0000,1,4
96,105,main.c,M,5,1,85,0.8947,0.0105,94,darren,2,0.0000,0.0000,0.0000,0,2
96,110,readtags.c,M,5,4,82,0.8632,0.0421,94,darren,1,0.0000,0.0000,0.0000,0,1
96,134,readtags.c,M,6,4,82,0.8632,0.0421,94,darren,1,1.0000,1.0000,1.0000,1,0
96,135,readtags.c,M,6,4,82,0.8632,0.0421,94,darren,1,1.0000,1.0000,1.0000,1,0
96,139,readtags.c,M,8,4,82,0.8632,0.0421,94,darren,1,0.4272,0.4272,0.4272,0,0
96,145,strlist.c,M,8,1,85,0.8947,0.0105,94,darren,2,0.0000,0.0000,0.0000,0,2
96,146,strlist.c,M,7,1,85,0.8947,0.0105,94,darren,0,0.0000,0.0000,0.0000,0,0
96,149,readtags.c,M,8,2,56,0.9655,0.0345,57,darren,0,0.0000,0.0000,0.0000,0,0
96,150,readtags.c,M,6,2,56,0.9655,0.0345,57,darren,1,0.8852,0.8852,0.8852,1,0
96,151,readtags.c,M,6,3,55,0.9483,0.0517,57,darren,1,0.8852,0.8852,0.8852,1,0
96,152,readtags.c,M,6,3,55,0.9483,0.0517,57,darren,1,1.0000,1.0000,1.0000,1,0
96,153,readtags.c,M,6,3,55,0.9483,0.0517,57,darren,1,1.0000,1.0000,1.0000,1,0
106,155,routines.c,M,8,1,8,0.8000,0.1000,9,darren,2,0.5000,1.0000,0.0000,1,1
106,156,routines.c,M,8,1,8,0.8000,0.1000,9,darren,2,0.5000,1.0000,0.0000,1,1
106,157,routines.c,M,6,1,8,0.8000,0.1000,9,darren,1,1.0000,1.0000,1.0000,1,0
106,158,routines.c,M,6,1,8,0.8000,0.1000,9,darren,1,1.0000,1.0000,1.0000,1,0
106,159,routines.c,M,5,1,8,0.8000,0.1000,9,darren,2,0.0000,0.0000,0.0000,0,2
106,160,routines.c,M,6,1,8,0.8000,0.1000,9,darren,1,1.0000,1.0000,1.0000,1,0
106,161,routines.c,M,6,1,8,0.8000,0.1000,9,darren,1,1.0000,1.0000,1.0000,1,0
106,162,routines.c,M,8,1,8,0.8000,0.1000,9,darren,1,1.0000,1.0000,1.0000,1,0
106,163,routines.c,M,8,1,8,0.8000,0.1000,9,darren,1,1.0000,1.0000,1.0000,1,0
106,164,routines.c,M,8,1,8,0.8000,0.1000,9,darren,2,0.5000,1.0000,0.0000,1,1
106,166,routines.c,M,7,1,8,0.8000,0.1000,9,darren,2,0.5000,1.0000,0.0000,1,1
106,167,routines.c,M,5,1,8,0.8000,0.1000,9,darren,3,0.0000,0.0000,0.0000,0,3
119,170,asm.c,M,8,1,0,0.0000,1.0000,0,darren,1,0.0000,0.0000,0.0000,0,1
130,77,get.c,M,10,1,119,0.9225,0.0078,128,darren,1,1.0000,1.0000,1.0000,1,0
