revision_number | method_name | method_signature | package_name | class_name | src | start_line | end_line | methodId
382 | AsmParser | extern parserDefinition* AsmParser (void) |  | asm | asm.c | 366 | 386 | 220243
382 | AspParser | extern parserDefinition* AspParser (void) |  | asp | asp.c | 180 | 189 | 220244
382 | AwkParser | extern parserDefinition* AwkParser () |  | awk | awk.c | 70 | 79 | 220245
382 | BetaParser | extern parserDefinition* BetaParser (void) |  | beta | beta.c | 312 | 321 | 220246
382 | CParser | extern parserDefinition* CParser (void) |  | c | c.c | 2709 | 2719 | 220247
382 | CobolParser | extern parserDefinition* CobolParser () |  | cobol | cobol.c | 39 | 48 | 220248
382 | CppParser | extern parserDefinition* CppParser (void) |  | c | c.c | 2721 | 2737 | 220249
382 | CsharpParser | extern parserDefinition* CsharpParser (void) |  | c | c.c | 2739 | 2749 | 220250
382 | ENTSEQNO | FUNCSTS func1(ENTSEQNO(seq)) {} |  | bug507864 | Test/bug507864.c | 1 | 2 | 220251
382 | EiffelParser | extern parserDefinition* EiffelParser (void) |  | eiffel | eiffel.c | 1221 | 1231 | 220252
382 | ErlangParser | extern parserDefinition *ErlangParser (void) |  | erlang | erlang.c | 178 | 187 | 220253
382 | FortranParser | extern parserDefinition* FortranParser (void) |  | fortran | fortran.c | 2177 | 2193 | 220254
382 | HtmlParser | extern parserDefinition* HtmlParser (void) |  | html | html.c | 39 | 47 | 220255
382 | JavaParser | extern parserDefinition* JavaParser (void) |  | c | c.c | 2751 | 2761 | 220256
382 | JavaScriptParser | extern parserDefinition* JavaScriptParser (void) |  | jscript | jscript.c | 30 | 38 | 220257
382 | L_getit | static void L_getit (vString *const name, const unsigned char *dbp) |  | lisp | lisp.c | 57 | 76 | 220258
382 | L_isdef | static int L_isdef (const unsigned char *strp) |  | lisp | lisp.c | 40 | 45 | 220259
382 | L_isquote | static int L_isquote (const unsigned char *strp) |  | lisp | lisp.c | 47 | 55 | 220260
382 | LispParser | extern parserDefinition* LispParser (void) |  | lisp | lisp.c | 126 | 137 | 220261
382 | LuaParser | extern parserDefinition* LuaParser (void) |  | lua | lua.c | 122 | 131 | 220262
382 | MEMTXT | FUNCSTS func2 (MEMTXT(form_msg), MEMTXT (text), MEMTXT (mail)) {} |  | bug507864 | Test/bug507864.c | 2 | 2 | 220263
382 | MakefileParser | extern parserDefinition* MakefileParser (void) |  | make | make.c | 90 | 101 | 220264
382 | PascalParser | extern parserDefinition* PascalParser (void) |  | pascal | pascal.c | 254 | 263 | 220265
382 | PerlParser | extern parserDefinition* PerlParser (void) |  | perl | perl.c | 139 | 148 | 220266
382 | PhpParser | extern parserDefinition* PhpParser (void) |  | php | php.c | 124 | 133 | 220267
