1 | 136 | Revision_136/routines.c | 2 | c | 137 | Revision_137/routines.c | 2 |  
2 | 136 | Revision_136/routines.c | 359 | c | 137 | Revision_137/routines.c | 359,362 |  
3 | 136 | Revision_136/routines.c | 361 | c | 137 | Revision_137/routines.c | 364,387 |  
4 | 136 | Revision_136/routines.c | 363 | c | 137 | Revision_137/routines.c | 389,391 |  
5 | 136 | Revision_136/routines.c | 368,374 | c | 137 | Revision_137/routines.c | 396,401 |  
6 | 136 | Revision_136/routines.c | 379 | d | 137 | Revision_137/routines.c | 405 |  
7 | 136 | Revision_136/routines.c | 381,384 | c | 137 | Revision_137/routines.c | 407,410 |  
8 | 136 | Revision_136/routines.c | 393 | d | 137 | Revision_137/routines.c | 418 |  
9 | 136 | Revision_136/routines.c | 395,398 | c | 137 | Revision_137/routines.c | 420,423 |  
10 | 136 | Revision_136/routines.c | 405 | d | 137 | Revision_137/routines.c | 429 |  
11 | 136 | Revision_136/routines.c | 407,410 | c | 137 | Revision_137/routines.c | 431,434 |  
12 | 136 | Revision_136/routines.c | 418,420 | c | 137 | Revision_137/routines.c | 442,445 |  
13 | 136 | Revision_136/routines.c | 444 | d | 137 | Revision_137/routines.c | 468 |  
14 | 136 | Revision_136/routines.c | 446 | c | 137 | Revision_137/routines.c | 470,476 |  
15 | 136 | Revision_136/routines.c | 449 | c | 137 | Revision_137/routines.c | 479 |  
16 | 136 | Revision_136/routines.c | 457,460 | c | 137 | Revision_137/routines.c | 487 |  
17 | 136 | Revision_136/routines.c | 462,469 | c | 137 | Revision_137/routines.c | 489,503 |  
18 | 136 | Revision_136/routines.c | 471 | d | 137 | Revision_137/routines.c | 504 |  
