1 | 220 | Revision_220/pascal.c | 2 | c | 221 | Revision_221/pascal.c | 2 |  
2 | 220 | Revision_220/pascal.c | 29 | c | 221 | Revision_221/pascal.c | 29 |  
3 | 220 | Revision_220/pascal.c | 91 | a | 221 | Revision_221/pascal.c | 92 |  
4 | 220 | Revision_220/pascal.c | 93 | a | 221 | Revision_221/pascal.c | 95 |  
5 | 220 | Revision_220/pascal.c | 107 | d | 221 | Revision_221/pascal.c | 108 |  
6 | 220 | Revision_220/pascal.c | 122 | c | 221 | Revision_221/pascal.c | 123 |  
7 | 220 | Revision_220/pascal.c | 124 | c | 221 | Revision_221/pascal.c | 125 |  
8 | 220 | Revision_220/pascal.c | 143 | a | 221 | Revision_221/pascal.c | 145 |  
9 | 220 | Revision_220/pascal.c | 148 | a | 221 | Revision_221/pascal.c | 151 |  
10 | 220 | Revision_220/pascal.c | 203 | c | 221 | Revision_221/pascal.c | 206,208 |  
11 | 220 | Revision_220/pascal.c | 221 | a | 221 | Revision_221/pascal.c | 227 |  
12 | 220 | Revision_220/pascal.c | 227 | a | 221 | Revision_221/pascal.c | 234 |  
13 | 220 | Revision_220/pascal.c | 233 | a | 221 | Revision_221/pascal.c | 241 |  
14 | 220 | Revision_220/pascal.c | 239 | a | 221 | Revision_221/pascal.c | 248 |  
