1 | 28 | Revision_28/read.c | 2 | c | 29 | Revision_29/read.c | 2 |  
2 | 28 | Revision_28/read.c | 91 | c | 29 | Revision_29/read.c | 91 |  
3 | 28 | Revision_28/read.c | 93,99 | c | 29 | Revision_29/read.c | 93,105 |  
4 | 28 | Revision_28/read.c | 130 | a | 29 | Revision_29/read.c | 137,144 |  
5 | 28 | Revision_28/read.c | 147 | a | 29 | Revision_29/read.c | 162,163 |  
6 | 28 | Revision_28/read.c | 182,184 | d | 29 | Revision_29/read.c | 197 |  
7 | 28 | Revision_28/read.c | 186,187 | d | 29 | Revision_29/read.c | 198 |  
8 | 28 | Revision_28/read.c | 189,191 | c | 29 | Revision_29/read.c | 200,201 |  
9 | 28 | Revision_28/read.c | 192 | a | 29 | Revision_29/read.c | 203,208 |  
10 | 28 | Revision_28/read.c | 194 | c | 29 | Revision_29/read.c | 210,211 |  
11 | 28 | Revision_28/read.c | 206 | a | 29 | Revision_29/read.c | 224 |  
12 | 28 | Revision_28/regex.c | 2 | c | 29 | Revision_29/regex.c | 2 |  
13 | 28 | Revision_28/regex.c | 540 | c | 29 | Revision_29/regex.c | 540,541 |  
