1 | 422 | Revision_422/ruby.c | 2 | c | 423 | Revision_423/ruby.c | 2 |  
2 | 422 | Revision_422/ruby.c | 5 | a | 423 | Revision_423/ruby.c | 6 |  
3 | 422 | Revision_422/ruby.c | 20 | a | 423 | Revision_423/ruby.c | 22 |  
4 | 422 | Revision_422/ruby.c | 26 | c | 423 | Revision_423/ruby.c | 28 |  
5 | 422 | Revision_422/ruby.c | 29 | c | 423 | Revision_423/ruby.c | 31 |  
6 | 422 | Revision_422/ruby.c | 31 | a | 423 | Revision_423/ruby.c | 34,36 |  
7 | 422 | Revision_422/ruby.c | 35,36 | c | 423 | Revision_423/ruby.c | 40,41 |  
8 | 422 | Revision_422/ruby.c | 38 | a | 423 | Revision_423/ruby.c | 44 |  
9 | 422 | Revision_422/ruby.c | 43 | a | 423 | Revision_423/ruby.c | 50,270 |  
10 | 422 | Revision_422/ruby.c | 46 | d | 423 | Revision_423/ruby.c | 272 |  
11 | 422 | Revision_422/ruby.c | 48 | c | 423 | Revision_423/ruby.c | 274,276 |  
12 | 422 | Revision_422/ruby.c | 49 | a | 423 | Revision_423/ruby.c | 278,287 |  
13 | 422 | Revision_422/ruby.c | 53,54 | c | 423 | Revision_423/ruby.c | 291,345 |  
14 | 422 | Revision_422/ruby.c | 57,63 | c | 423 | Revision_423/ruby.c | 348,354 |  
15 | 422 | Revision_422/ruby.c | 65,74 | d | 423 | Revision_423/ruby.c | 355 |  
16 | 422 | Revision_422/ruby.c | 76,110 | d | 423 | Revision_423/ruby.c | 356 |  
17 | 422 | Revision_422/ruby.c | 112 | c | 423 | Revision_423/ruby.c | 358 |  
18 | 422 | Revision_422/ruby.c | 114,153 | c | 423 | Revision_423/ruby.c | 360,364 |  
19 | 422 | Revision_422/ruby.c | 154 | a | 423 | Revision_423/ruby.c | 366,375 |  
20 | 422 | Revision_422/ruby.c | 159 | c | 423 | Revision_423/ruby.c | 380 |  
21 | 422 | Revision_422/ruby.c | 163 | c | 423 | Revision_423/ruby.c | 384 |  
22 | 422 | Revision_422/ruby.c | 168 | c | 423 | Revision_423/ruby.c | 389 |  
23 | 422 | Revision_422/strlist.c | 2 | c | 423 | Revision_423/strlist.c | 2 |  
24 | 422 | Revision_422/strlist.c | 58 | a | 423 | Revision_423/strlist.c | 59,66 |  
25 | 422 | Revision_422/strlist.c | 117 | a | 423 | Revision_423/strlist.c | 126,132 |  
