1 | 560 | Revision_560/basic.c | 35 | c | 561 | Revision_561/basic.c | 35,36 |  
2 | 560 | Revision_560/basic.c | 40 | a | 561 | Revision_561/basic.c | 42 |  
3 | 560 | Revision_560/basic.c | 48 | c | 561 | Revision_561/basic.c | 50,51 |  
4 | 560 | Revision_560/basic.c | 52,57 | c | 561 | Revision_561/basic.c | 55,60 |  
5 | 560 | Revision_560/basic.c | 61,67 | c | 561 | Revision_561/basic.c | 64,70 |  
6 | 560 | Revision_560/basic.c | 71,77 | c | 561 | Revision_561/basic.c | 74,86 |  
7 | 560 | Revision_560/basic.c | 85 | c | 561 | Revision_561/basic.c | 94 |  
8 | 560 | Revision_560/basic.c | 92 | a | 561 | Revision_561/basic.c | 102 |  
9 | 560 | Revision_560/basic.c | 96 | c | 561 | Revision_561/basic.c | 106 |  
10 | 560 | Revision_560/basic.c | 100 | c | 561 | Revision_561/basic.c | 110,111 |  
11 | 560 | Revision_560/basic.c | 102,103 | c | 561 | Revision_561/basic.c | 113,114 |  
12 | 560 | Revision_560/basic.c | 106,107 | c | 561 | Revision_561/basic.c | 117,122 |  
13 | 560 | Revision_560/basic.c | 108 | a | 561 | Revision_561/basic.c | 124 |  
14 | 560 | Revision_560/basic.c | 157 | c | 561 | Revision_561/basic.c | 173 |  
