1 | 578 | Revision_578/basic.c | 24 | a | 579 | Revision_579/basic.c | 25 |  
2 | 578 | Revision_578/basic.c | 35,36 | c | 579 | Revision_579/basic.c | 36,37 |  
3 | 578 | Revision_578/basic.c | 120,121 | c | 579 | Revision_579/basic.c | 121,122 |  
4 | 578 | Revision_578/basic.c | 154,155 | c | 579 | Revision_579/basic.c | 155 |  
5 | 578 | Revision_578/basic.c | 157 | a | 579 | Revision_579/basic.c | 158,159 |  
6 | 578 | Revision_578/basic.c | 158 | a | 579 | Revision_579/basic.c | 161,167 |  
7 | 578 | Revision_578/basic.c | 176 | c | 579 | Revision_579/basic.c | 185,188 |  
8 | 578 | Revision_578/basic.c | 180 | c | 579 | Revision_579/basic.c | 192 |  
9 | 578 | Revision_578/basic.c | 182,198 | c | 579 | Revision_579/basic.c | 194,195 |  
10 | 578 | Revision_578/basic.c | 202 | c | 579 | Revision_579/basic.c | 199 |  
11 | 578 | Revision_578/basic.c | 206,227 | d | 579 | Revision_579/basic.c | 202 |  
