1 | 695 | Revision_695/tex.c | 54 | c | 696 | Revision_696/tex.c | 54 |  
2 | 695 | Revision_695/tex.c | 116 | c | 696 | Revision_696/tex.c | 116 |  
3 | 695 | Revision_695/tex.c | 125 | c | 696 | Revision_696/tex.c | 125 |  
4 | 695 | Revision_695/tex.c | 134 | c | 696 | Revision_696/tex.c | 134 |  
5 | 695 | Revision_695/tex.c | 378 | a | 696 | Revision_696/tex.c | 379,382 |  
6 | 695 | Revision_695/tex.c | 393,397 | d | 696 | Revision_696/tex.c | 396 |  
7 | 695 | Revision_695/tex.c | 403 | c | 696 | Revision_696/tex.c | 402,403 |  
8 | 695 | Revision_695/tex.c | 404 | a | 696 | Revision_696/tex.c | 405,417 |  
9 | 695 | Revision_695/tex.c | 414,416 | d | 696 | Revision_696/tex.c | 426 |  
10 | 695 | Revision_695/tex.c | 420 | c | 696 | Revision_696/tex.c | 430 |  
11 | 695 | Revision_695/tex.c | 422 | d | 696 | Revision_696/tex.c | 431 |  
12 | 695 | Revision_695/tex.c | 429,431 | c | 696 | Revision_696/tex.c | 438,443 |  
13 | 695 | Revision_695/tex.c | 434 | a | 696 | Revision_696/tex.c | 447 |  
14 | 695 | Revision_695/tex.c | 460,461 | c | 696 | Revision_696/tex.c | 473,474 |  
