1 | 734 | Revision_734/tex.c | 56 | c | 735 | Revision_735/tex.c | 56,57 |  
2 | 734 | Revision_734/tex.c | 71,72 | d | 735 | Revision_735/tex.c | 71 |  
3 | 734 | Revision_734/tex.c | 76 | d | 735 | Revision_735/tex.c | 74 |  
4 | 734 | Revision_734/tex.c | 79 | d | 735 | Revision_735/tex.c | 76 |  
5 | 734 | Revision_734/tex.c | 82,84 | d | 735 | Revision_735/tex.c | 78 |  
6 | 734 | Revision_734/tex.c | 87,91 | d | 735 | Revision_735/tex.c | 80 |  
7 | 734 | Revision_734/tex.c | 120 | a | 735 | Revision_735/tex.c | 110 |  
8 | 734 | Revision_734/tex.c | 131 | c | 735 | Revision_735/tex.c | 121,122 |  
9 | 734 | Revision_734/tex.c | 142 | c | 735 | Revision_735/tex.c | 133,134 |  
10 | 734 | Revision_734/tex.c | 153 | c | 735 | Revision_735/tex.c | 145 |  
11 | 734 | Revision_734/tex.c | 300 | d | 735 | Revision_735/tex.c | 291 |  
12 | 734 | Revision_734/tex.c | 302,303 | d | 735 | Revision_735/tex.c | 292 |  
13 | 734 | Revision_734/tex.c | 306 | d | 735 | Revision_735/tex.c | 294 |  
14 | 734 | Revision_734/tex.c | 309 | d | 735 | Revision_735/tex.c | 296 |  
15 | 734 | Revision_734/tex.c | 430 | c | 735 | Revision_735/tex.c | 417,418 |  
16 | 734 | Revision_734/tex.c | 481 | a | 735 | Revision_735/tex.c | 470,472 |  
