counter | prevPath | prevStartLine | prevEndLine | changeType | currPath | currStartLine | currEndLine | offsetStart | offsetEnd
1 | Revision_293/fortran.c | 2 | 2 | c | Revision_294/fortran.c | 2 | 2 | 0 | 0
2 | Revision_293/fortran.c | 191 | 191 | c | Revision_294/fortran.c | 191 | 191 | 0 | 0
3 | Revision_293/fortran.c | 1230 | 1231 | c | Revision_294/fortran.c | 1230 | 1239 | 0 | 8
4 | Revision_293/fortran.c | 1236 | 1236 | c | Revision_294/fortran.c | 1244 | 1244 | 8 | 8
5 | Revision_293/fortran.c | 1238 | 1238 | c | Revision_294/fortran.c | 1246 | 1247 | 8 | 9
6 | Revision_293/fortran.c | 1242 | 1242 | c | Revision_294/fortran.c | 1251 | 1252 | 9 | 10
7 | Revision_293/fortran.c | 1246 | 1246 | c | Revision_294/fortran.c | 1256 | 1259 | 10 | 13
8 | Revision_293/fortran.c | 1251 | 1251 | c | Revision_294/fortran.c | 1264 | 1268 | 13 | 17
9 | Revision_293/fortran.c | 1254 | 1264 | d | Revision_294/fortran.c | 1270 | 1270 | 16 | 6
10 | Revision_293/fortran.c | 1290 | 1290 | c | Revision_294/fortran.c | 1296 | 1298 | 6 | 8
11 | Revision_293/fortran.c | 1293 | 1294 | c | Revision_294/fortran.c | 1301 | 1301 | 8 | 7
