cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type2","Block",1,2,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type2","Block",5,6,1,0.1667,0,"SIMILARITY_PRESERVING","[443]","[443]","[276, 400, 443, 489, 805, 816]"
"Type2","Block",5,7,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type2","Block",6,7,1,0.1667,0,"SIMILARITY_PRESERVING","[443]","[276, 400, 443, 489, 805, 816]","[443]"
"Type2","Block",8,9,2,1.0000,0,"SIMILARITY_PRESERVING","[96, 443]","[96, 443]","[96, 443]"
"Type2","Block",87,114,1,0.3333,0,"SIMILARITY_PRESERVING","[443]","[235, 443]","[411, 443]"
"Type2","Block",10,12,1,0.5000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443, 711]"
"Type2","Block",88,116,1,0.2000,0,"SIMILARITY_PRESERVING","[443]","[389, 390, 391, 443]","[443, 571]"
"Type2","Block",301,302,1,1.0000,0,"SIMILARITY_PRESERVING","[711]","[711]","[711]"
"Type2","Block",15,16,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type2","Block",118,119,1,1.0000,0,"SIMILARITY_PRESERVING","[561]","[561]","[561]"
"Type2","Block",304,305,1,1.0000,0,"SIMILARITY_PRESERVING","[711]","[711]","[711]"
"Type2","Block",21,22,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type2","Block",23,65,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type2","Block",28,29,2,0.6667,0,"SIMILARITY_PRESERVING","[260, 282]","[260, 282]","[260, 267, 282]"
"Type2","Block",28,75,2,0.5000,0,"SIMILARITY_PRESERVING","[260, 282]","[260, 282]","[188, 260, 267, 282]"
"Type2","Block",29,75,3,0.7500,0,"SIMILARITY_PRESERVING","[260, 267, 282]","[260, 267, 282]","[188, 260, 267, 282]"
"Type2","Block",95,96,1,0.1429,0,"SIMILARITY_PRESERVING","[443]","[443]","[443, 526, 529, 672, 714, 720, 777]"
"Type2","Block",30,31,3,1.0000,0,"SIMILARITY_PRESERVING","[130, 218, 443]","[130, 218, 443]","[130, 218, 443]"
"Type2","Block",82,83,1,1.0000,0,"SIMILARITY_PRESERVING","[289]","[289]","[289]"
"Type2","Block",101,102,2,1.0000,0,"SIMILARITY_PRESERVING","[265, 443]","[265, 443]","[265, 443]"
"Type2","Block",99,100,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type2","Block",174,175,1,1.0000,0,"SIMILARITY_PRESERVING","[623]","[623]","[623]"
"Type2","Block",38,39,2,0.6667,0,"SIMILARITY_PRESERVING","[273, 443]","[187, 273, 443]","[273, 443]"
"Type2","Block",38,40,2,0.6667,0,"SIMILARITY_PRESERVING","[273, 443]","[187, 273, 443]","[273, 443]"
"Type2","Block",38,41,2,0.6667,0,"SIMILARITY_PRESERVING","[273, 443]","[187, 273, 443]","[273, 443]"
"Type2","Block",39,40,2,1.0000,0,"SIMILARITY_PRESERVING","[273, 443]","[273, 443]","[273, 443]"
"Type2","Block",39,41,2,1.0000,0,"SIMILARITY_PRESERVING","[273, 443]","[273, 443]","[273, 443]"
"Type2","Block",40,41,2,1.0000,0,"SIMILARITY_PRESERVING","[273, 443]","[273, 443]","[273, 443]"
"Type2","Block",121,161,3,0.3750,0,"SIMILARITY_PRESERVING","[468, 475, 477]","[468, 475, 477]","[468, 475, 476, 477, 664, 791, 793, 797]"
"Type2","Block",122,123,2,0.1333,0,"SIMILARITY_PRESERVING","[468, 475]","[468, 475, 476, 586, 634, 763, 791, 793, 797, 798, 800, 809]","[461, 468, 475, 574, 644]"
"Type2","Block",210,211,1,0.3333,0,"SIMILARITY_PRESERVING","[755]","[755]","[687, 700, 755]"
"Type2","Block",210,212,1,1.0000,0,"SIMILARITY_PRESERVING","[755]","[755]","[755]"
"Type2","Block",210,213,1,1.0000,0,"SIMILARITY_PRESERVING","[755]","[755]","[755]"
"Type2","Block",211,212,1,0.3333,0,"SIMILARITY_PRESERVING","[755]","[687, 700, 755]","[755]"
"Type2","Block",211,213,1,0.3333,0,"SIMILARITY_PRESERVING","[755]","[687, 700, 755]","[755]"
"Type2","Block",212,213,1,1.0000,0,"SIMILARITY_PRESERVING","[755]","[755]","[755]"
"Type2","Block",127,128,2,0.5000,0,"SIMILARITY_PRESERVING","[468, 475]","[468, 475]","[461, 468, 475, 644]"
"Type2","Block",51,58,6,0.8571,0,"SIMILARITY_PRESERVING","[37, 39, 65, 96, 190, 443]","[37, 39, 65, 96, 190, 443]","[37, 39, 65, 96, 163, 190, 443]"
"Type2","Block",91,92,1,0.1429,0,"SIMILARITY_PRESERVING","[443]","[443, 526, 529, 672, 714, 720, 777]","[443]"
"Type2","Block",103,104,7,1.0000,0,"SIMILARITY_PRESERVING","[273, 333, 346, 374, 386, 443, 576]","[273, 333, 346, 374, 386, 443, 576]","[273, 333, 346, 374, 386, 443, 576]"
"Type2","Block",129,130,3,0.4286,0,"SIMILARITY_PRESERVING","[468, 475, 476]","[468, 475, 476, 634]","[461, 468, 475, 476, 574, 644]"
"Type2","Block",52,53,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type2","Block",131,132,2,0.1538,1,"SIMILARITY_PRESERVING","[468, 475]","[468, 470, 475, 476, 586, 634, 664, 791, 793]","[461, 468, 475, 536, 574, 644]"
"Type2","Block",54,55,1,0.5000,0,"SIMILARITY_PRESERVING","[443]","[226, 443]","[443]"
"Type2","Block",63,64,3,0.5000,0,"SIMILARITY_PRESERVING","[163, 190, 443]","[163, 190, 443]","[39, 65, 96, 163, 190, 443]"
"Type2","Block",68,69,5,1.0000,0,"SIMILARITY_PRESERVING","[106, 139, 163, 374, 443]","[106, 139, 163, 374, 443]","[106, 139, 163, 374, 443]"
"Type2","Block",133,134,2,0.1667,1,"SIMILARITY_PRESERVING","[468, 475]","[468, 470, 475, 476, 586, 639, 664, 791, 793, 800]","[461, 468, 475, 574]"
"Type2","Block",70,71,2,0.6667,0,"SIMILARITY_PRESERVING","[106, 443]","[106, 443]","[106, 139, 443]"
"Type2","Block",105,106,1,0.2000,0,"SIMILARITY_PRESERVING","[273]","[273]","[273, 417, 420, 424, 443]"
"Type2","Block",135,136,2,0.1429,2,"SIMILARITY_PRESERVING","[468, 475]","[468, 470, 475, 476, 586, 634, 664, 791, 793, 797]","[461, 468, 475, 574, 639, 644]"
"Type2","Block",199,200,1,0.2500,0,"SIMILARITY_PRESERVING","[659]","[659, 664, 791, 793]","[659]"
