Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | globalCloneId | Similarity
218 | Revision_218/Jmol/src/org/openscience/compchem/Ring.java | U | 129 | 134 | 6 | 49939 | 1 | 1 | 100
218 | Revision_218/Jmol/src/org/openscience/compchem/Sorter.java | U | 116 | 122 | 6 | 49940 | 1 | 2 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/AboutDialog.java | U | 115 | 119 | 5 | 49941 | 2 | 6 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/HelpDialog.java | U | 116 | 120 | 5 | 49942 | 2 | 8 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/WhatsNewDialog.java | U | 116 | 120 | 5 | 49943 | 2 | 7 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/AboutDialog.java | U | 133 | 138 | 6 | 49944 | 3 | 9 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/WhatsNewDialog.java | U | 134 | 139 | 6 | 49945 | 3 | 11 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/HelpDialog.java | U | 134 | 139 | 6 | 49946 | 3 | 10 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/AboutDialog.java | U | 151 | 174 | 21 | 49947 | 4 | 12 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/HelpDialog.java | U | 152 | 175 | 21 | 49948 | 4 | 14 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/WhatsNewDialog.java | U | 152 | 175 | 21 | 49949 | 4 | 13 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/AboutDialog.java | U | 181 | 191 | 11 | 49950 | 5 | 15 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Animate.java | U | 422 | 432 | 11 | 49951 | 5 | 20 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/pending/Preferences.java | U | 995 | 1005 | 11 | 49952 | 5 | 21 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Preferences.java | U | 1005 | 1015 | 11 | 49953 | 5 | 24 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/AtomTypeTable.java | U | 197 | 207 | 11 | 49954 | 5 | 25 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/PropertyGraph.java | U | 149 | 159 | 11 | 49955 | 5 | 333 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/MeasurementList.java | U | 304 | 314 | 11 | 49956 | 5 | 17 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Vibrate.java | U | 505 | 515 | 11 | 49957 | 5 | 22 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/HelpDialog.java | U | 182 | 192 | 11 | 49958 | 5 | 19 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Measure.java | U | 235 | 245 | 11 | 49959 | 5 | 16 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/PovrayDialog.java | U | 314 | 324 | 11 | 49960 | 5 | 362 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/pending/Animate.java | U | 356 | 366 | 11 | 49961 | 5 | 23 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/WhatsNewDialog.java | U | 182 | 192 | 11 | 49962 | 5 | 18 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Aces2Reader.java | U | 72 | 77 | 5 | 49963 | 6 | 26 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Gaussian92Reader.java | U | 66 | 70 | 5 | 49964 | 6 | 31 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/ADFReader.java | U | 68 | 72 | 5 | 49965 | 6 | 30 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Gaussian98Reader.java | U | 69 | 74 | 5 | 49966 | 6 | 28 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Gaussian94Reader.java | U | 69 | 73 | 5 | 49967 | 6 | 29 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Aces2Reader.java | U | 84 | 90 | 5 | 49968 | 7 | 32 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Gaussian98Reader.java | U | 81 | 87 | 5 | 49969 | 7 | 35 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Gaussian94Reader.java | U | 80 | 86 | 5 | 49970 | 7 | 33 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Gaussian92Reader.java | U | 77 | 83 | 5 | 49971 | 7 | 34 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/ADFReader.java | U | 78 | 84 | 5 | 49972 | 7 | 37 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Aces2Reader.java | U | 125 | 131 | 6 | 49973 | 8 | 38 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/GamessReader.java | U | 139 | 145 | 6 | 49974 | 8 | 41 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Gaussian94Reader.java | U | 140 | 146 | 6 | 49975 | 8 | 40 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Gaussian98Reader.java | U | 141 | 150 | 6 | 49976 | 8 | 39 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Gaussian92Reader.java | U | 120 | 126 | 6 | 49977 | 8 | 42 | 100
218 | Revision_218/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | U | 137 | 146 | 6 | 49978 | 8 | 325 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/ADFReader.java | U | 188 | 200 | 16 | 49979 | 9 | 43 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Gaussian92Reader.java | U | 184 | 196 | 16 | 49980 | 9 | 45 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Gaussian94Reader.java | U | 198 | 210 | 16 | 49981 | 9 | 44 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Angle.java | U | 78 | 85 | 6 | 49982 | 10 | 46 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Dihedral.java | U | 81 | 88 | 6 | 49983 | 10 | 47 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Animate.java | U | 184 | 189 | 6 | 49984 | 11 | 50 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/pending/Animate.java | U | 181 | 186 | 6 | 49985 | 11 | 51 | 100
218 | Revision_218/Jmol/src/org/openscience/jmol/Animate.java | U | 229 | 235 | 8 | 49986 | 12 | 52 | 100
