Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | Similarity
344 | Revision_344/Jmol/src/com/obrador/JpegEncoder.java | U | 483 | 493 | 6 | 116166 | 1 | 100
344 | Revision_344/Jmol/src/com/obrador/JpegEncoder.java | U | 571 | 581 | 6 | 116167 | 1 | 100
344 | Revision_344/Jmol/src/com/obrador/JpegEncoder.java | U | 963 | 983 | 19 | 116168 | 2 | 100
344 | Revision_344/Jmol/src/com/obrador/JpegEncoder.java | U | 992 | 1011 | 19 | 116169 | 2 | 100
344 | Revision_344/Jmol/src/com/obrador/JpegEncoder.java | U | 1049 | 1054 | 5 | 116170 | 3 | 100
344 | Revision_344/Jmol/src/com/obrador/JpegEncoder.java | U | 1085 | 1090 | 5 | 116171 | 3 | 100
344 | Revision_344/Jmol/src/com/obrador/JpegEncoder.java | U | 1156 | 1161 | 5 | 116172 | 3 | 100
344 | Revision_344/Jmol/src/com/obrador/JpegEncoder.java | U | 1120 | 1125 | 5 | 116173 | 3 | 100
344 | Revision_344/Jmol/src/com/obrador/JpegEncoder.java | U | 1062 | 1070 | 8 | 116174 | 4 | 100
344 | Revision_344/Jmol/src/com/obrador/JpegEncoder.java | U | 1169 | 1177 | 8 | 116175 | 4 | 100
344 | Revision_344/Jmol/src/com/obrador/JpegEncoder.java | U | 1098 | 1106 | 8 | 116176 | 4 | 100
344 | Revision_344/Jmol/src/com/obrador/JpegEncoder.java | U | 1133 | 1141 | 8 | 116177 | 4 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/AboutDialog.java | U | 43 | 99 | 51 | 116178 | 5 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/HelpDialog.java | U | 43 | 99 | 51 | 116179 | 5 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/WhatsNewDialog.java | U | 43 | 101 | 51 | 116180 | 5 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/AboutDialog.java | U | 101 | 105 | 5 | 116181 | 6 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/WhatsNewDialog.java | U | 103 | 107 | 5 | 116182 | 6 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/HelpDialog.java | U | 101 | 105 | 5 | 116183 | 6 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/AboutDialog.java | U | 119 | 124 | 6 | 116184 | 7 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/HelpDialog.java | U | 119 | 124 | 6 | 116185 | 7 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/WhatsNewDialog.java | U | 121 | 126 | 6 | 116186 | 7 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/AboutDialog.java | U | 137 | 163 | 21 | 116187 | 8 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/HelpDialog.java | U | 137 | 163 | 21 | 116188 | 8 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/WhatsNewDialog.java | U | 139 | 165 | 21 | 116189 | 8 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/AboutDialog.java | U | 170 | 181 | 11 | 116190 | 9 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/Vibrate.java | U | 535 | 546 | 11 | 116191 | 9 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/WhatsNewDialog.java | U | 172 | 183 | 11 | 116192 | 9 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/Preferences.java | U | 1021 | 1032 | 11 | 116193 | 9 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/PovrayDialog.java | U | 419 | 430 | 11 | 116194 | 9 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/HelpDialog.java | U | 170 | 181 | 11 | 116195 | 9 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/MeasurementList.java | U | 309 | 320 | 11 | 116196 | 9 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/PropertyGraph.java | U | 165 | 176 | 11 | 116197 | 9 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/Animate.java | U | 421 | 432 | 11 | 116198 | 9 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/AtomTypeTable.java | U | 233 | 244 | 11 | 116199 | 9 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/Measure.java | U | 259 | 270 | 11 | 116200 | 9 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/Aces2Reader.java | U | 67 | 112 | 32 | 116201 | 10 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/ADFReader.java | U | 63 | 104 | 32 | 116202 | 10 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/Gaussian92Reader.java | U | 61 | 104 | 32 | 116203 | 10 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/Aces2Reader.java | U | 74 | 83 | 8 | 116204 | 11 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/Gaussian94Reader.java | U | 70 | 77 | 8 | 116205 | 11 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/Gaussian90Reader.java | U | 67 | 74 | 8 | 116206 | 11 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/Gaussian92Reader.java | U | 68 | 75 | 8 | 116207 | 11 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/ADFReader.java | U | 70 | 77 | 8 | 116208 | 11 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/Aces2Reader.java | U | 89 | 96 | 5 | 116209 | 12 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/Gaussian94Reader.java | U | 83 | 90 | 5 | 116210 | 12 | 100
344 | Revision_344/Jmol/src/org/openscience/jmol/Gaussian90Reader.java | U | 80 | 87 | 5 | 116211 | 12 | 100
