Revision,gcid1,gcid2,classid,co_change_count,gcid1_independent_change_count,gcid2_independent_change_count,same_file,same_author,same_method,similarity,clone_type,nlines1,nlines2,depth,class_size,is_spcp,weighted_coupling_strength,last_co_change_age,last_solo_change_age,coupling_trend,wcs_recent,solo_events_after_last_cochange,noc1,noc2,file_age1,file_age2,churn1,churn2,distinct_authors1,distinct_authors2,major_author_prop1,major_author_prop2,minor_author_count1,minor_author_count2,wies,will_independently_evolve
13,65,123,45,0,0,1,0,1,0,100,Type3,11,134,1,21,0,0.0000,-1,0,0.0000,0.0000,1,3,3,998,238,316,46,1,3,1.0000,0.3333,0,0,1.0000,1
13,66,123,45,0,0,1,0,1,0,100,Type3,11,134,1,21,0,0.0000,-1,0,0.0000,0.0000,1,5,3,998,238,1015,46,1,3,1.0000,0.3333,0,0,1.0000,1
13,67,123,45,0,0,1,0,1,0,100,Type3,11,134,1,21,0,0.0000,-1,0,0.0000,0.0000,1,6,3,998,238,1195,46,1,3,1.0000,0.3333,0,0,1.0000,1
13,68,123,45,0,0,1,1,1,0,100,Type3,11,134,1,21,0,0.0000,-1,0,0.0000,0.0000,1,6,3,998,238,1275,46,2,3,0.8333,0.3333,0,0,1.0000,1
13,69,123,45,0,0,1,0,1,0,100,Type3,11,134,1,21,0,0.0000,-1,0,0.0000,0.0000,1,3,3,998,238,319,46,1,3,1.0000,0.3333,0,0,1.0000,1
13,70,132,48,0,0,1,0,1,0,100,Type3,11,6,1,12,0,0.0000,-1,0,0.0000,0.0000,1,10,3,576,238,3181,53,3,3,0.8000,0.3333,0,0,1.0000,1
13,70,147,48,0,0,1,0,1,0,100,Type3,11,5,1,12,0,0.0000,-1,0,0.0000,0.0000,1,10,1,576,43,3181,26,3,1,0.8000,1.0000,0,0,1.0000,1
13,71,123,45,0,0,1,0,1,0,100,Type3,11,134,1,21,0,0.0000,-1,0,0.0000,0.0000,1,7,3,998,238,1893,46,3,3,0.7143,0.3333,0,0,1.0000,1
13,72,123,45,0,0,1,0,1,0,100,Type3,11,134,1,21,0,0.0000,-1,0,0.0000,0.0000,1,3,3,998,238,317,46,1,3,1.0000,0.3333,0,0,1.0000,1
13,73,123,45,0,0,1,0,1,0,100,Type3,11,134,1,21,0,0.0000,-1,0,0.0000,0.0000,1,5,3,998,238,997,46,2,3,0.8000,0.3333,0,0,1.0000,1
