pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors,weighted_coupling_strength,coupling_trend,last_co_change_age,last_solo_change_age,method_name1,method_signature1,method_name2,method_signature2
1,Type3,Block,1,1,2,2,2,297,297,295,295,0,0,0,73,ChemFileUtils.java,ChemFileUtils.java,0,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw","stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",0.0000,0.0000,-1,-1,NULL,NULL,NULL,NULL
2,Type3,Block,1,1,836,2,302,297,Still Active,295,698,0,0,0,73,ChemFileUtils.java,LoopedStreams.java,2,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",yeldar; gezelter; egonw; cribeaud; petermr; michaelthoward; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,startByteArrayReaderThread,private void startByteArrayReaderThread()
3,Type3,Block,1,1,837,2,302,297,Still Active,295,698,0,0,0,73,ChemFileUtils.java,JpegEncoder.java,5,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",yeldar; gezelter; egonw; cribeaud; petermr; michaelthoward; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,getYCCArray,private void getYCCArray()
4,Type3,Block,1,1,1072,2,530,297,Still Active,295,470,0,0,0,73,ChemFileUtils.java,AtomTypeSetTest.java,8,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",yeldar; egonw; michaelthoward; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,setUp,public void setUp()
5,Type3,Block,1,1,1073,2,530,297,Still Active,295,470,0,0,0,73,ChemFileUtils.java,AtomTypesModelTest.java,8,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",yeldar; egonw; michaelthoward; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,setUp,public void setUp()
6,Type3,Block,1,2,836,2,302,297,Still Active,295,698,0,0,0,73,ChemFileUtils.java,LoopedStreams.java,2,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",yeldar; gezelter; egonw; cribeaud; petermr; michaelthoward; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,startByteArrayReaderThread,private void startByteArrayReaderThread()
7,Type3,Block,1,2,837,2,302,297,Still Active,295,698,0,0,0,73,ChemFileUtils.java,JpegEncoder.java,5,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",yeldar; gezelter; egonw; cribeaud; petermr; michaelthoward; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,getYCCArray,private void getYCCArray()
8,Type3,Block,1,2,1072,2,530,297,Still Active,295,470,0,0,0,73,ChemFileUtils.java,AtomTypeSetTest.java,8,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",yeldar; egonw; michaelthoward; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,setUp,public void setUp()
9,Type3,Block,1,2,1073,2,530,297,Still Active,295,470,0,0,0,73,ChemFileUtils.java,AtomTypesModelTest.java,8,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",yeldar; egonw; michaelthoward; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,setUp,public void setUp()
10,Type3,Block,1,836,837,302,302,Still Active,Still Active,698,698,0,2,0,75,LoopedStreams.java,JpegEncoder.java,5,yeldar; gezelter; egonw; cribeaud; petermr; michaelthoward; fdortu,yeldar; gezelter; egonw; cribeaud; petermr; michaelthoward; fdortu,0.0000,0.0000,-1,685,startByteArrayReaderThread,private void startByteArrayReaderThread(),getYCCArray,private void getYCCArray()
11,Type3,Block,1,836,1072,302,530,Still Active,Still Active,698,470,0,0,0,75,LoopedStreams.java,AtomTypeSetTest.java,8,yeldar; gezelter; egonw; cribeaud; petermr; michaelthoward; fdortu,yeldar; egonw; michaelthoward; fdortu,0.0000,0.0000,-1,685,startByteArrayReaderThread,private void startByteArrayReaderThread(),setUp,public void setUp()
12,Type3,Block,1,836,1073,302,530,Still Active,Still Active,698,470,0,0,0,75,LoopedStreams.java,AtomTypesModelTest.java,8,yeldar; gezelter; egonw; cribeaud; petermr; michaelthoward; fdortu,yeldar; egonw; michaelthoward; fdortu,0.0000,0.0000,-1,685,startByteArrayReaderThread,private void startByteArrayReaderThread(),setUp,public void setUp()
13,Type3,Block,1,837,1072,302,530,Still Active,Still Active,698,470,0,0,0,75,JpegEncoder.java,AtomTypeSetTest.java,7,yeldar; gezelter; egonw; cribeaud; petermr; michaelthoward; fdortu,yeldar; egonw; michaelthoward; fdortu,0.0000,0.0000,-1,-1,getYCCArray,private void getYCCArray(),setUp,public void setUp()
14,Type3,Block,1,837,1073,302,530,Still Active,Still Active,698,470,0,0,0,75,JpegEncoder.java,AtomTypesModelTest.java,7,yeldar; gezelter; egonw; cribeaud; petermr; michaelthoward; fdortu,yeldar; egonw; michaelthoward; fdortu,0.0000,0.0000,-1,-1,getYCCArray,private void getYCCArray(),setUp,public void setUp()
15,Type3,Block,1,1072,1073,530,530,Still Active,Still Active,470,470,0,0,0,80,AtomTypeSetTest.java,AtomTypesModelTest.java,1,yeldar; egonw; michaelthoward; fdortu,yeldar; egonw; michaelthoward; fdortu,0.0000,0.0000,-1,-1,setUp,public void setUp(),setUp,public void setUp()
16,Type3,Block,2,3,4,2,2,297,297,295,295,0,0,0,71,ChemFileUtils.java,DataStructureTools.java,1,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw","stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",0.0000,0.0000,-1,-1,NULL,NULL,NULL,NULL
17,Type3,Block,2,3,5,2,2,297,297,295,295,0,0,0,71,ChemFileUtils.java,SetOfRingsFinder.java,1,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw","stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",0.0000,0.0000,-1,-1,NULL,NULL,NULL,NULL
18,Type3,Block,2,3,1304,2,728,297,809,295,81,0,0,0,71,ChemFileUtils.java,DisplayControl.java,2,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",michaelthoward; egonw; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,rebond,public void rebond()
19,Type3,Block,2,3,1402,2,781,297,Still Active,295,219,0,0,0,71,ChemFileUtils.java,BandPlotEPSRenderer.java,2,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",michaelthoward; egonw; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,writeLine,private void writeLine(String line)
20,Type3,Block,2,3,1422,2,791,297,807,295,16,0,0,0,71,ChemFileUtils.java,DisplayControl.java,2,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",michaelthoward; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,getInputStreamFromName,public InputStream getInputStreamFromName(String name)
21,Type3,Block,2,3,1440,2,807,297,Still Active,295,193,0,0,0,71,ChemFileUtils.java,FileManager.java,2,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",michaelthoward; egonw; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,getInputStreamFromName,public InputStream getInputStreamFromName(String name)
22,Type3,Block,2,3,1442,2,808,297,Still Active,295,192,0,0,0,71,ChemFileUtils.java,ModelManager.java,2,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",michaelthoward; egonw; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,rebond,public void rebond()
