revision,gcid,filePath,changeType,nlines,totalChanges,totalUnchanged,stabilityIndex,changeProneness,lifespan,author,activePairs,meanWCS,maxWCS,minWCS,stronglyCoupledPairs,decoupledPairs
13,123,Animate.java,M,134,1,10,0.8333,0.0833,11,basmith,12,0.0000,0.0000,0.0000,0,12
13,132,Animate.java,M,6,1,10,0.8333,0.0833,11,basmith,5,0.2000,1.0000,0.0000,1,4
13,136,Animate.java,M,5,1,10,0.8333,0.0833,11,basmith,9,0.0000,0.0000,0.0000,0,9
13,138,Animate.java,M,8,1,10,0.8333,0.0833,11,basmith,4,0.2500,1.0000,0.0000,1,3
13,139,Animate.java,M,5,1,10,0.8333,0.0833,11,basmith,2,0.5000,1.0000,0.0000,1,1
13,141,Animate.java,M,5,1,10,0.8333,0.0833,11,basmith,1,0.0000,0.0000,0.0000,0,1
13,145,Animate.java,M,7,1,10,0.8333,0.0833,11,basmith,2,0.5000,1.0000,0.0000,1,1
13,147,Animate.java,M,5,1,10,0.8333,0.0833,11,basmith,5,0.2000,1.0000,0.0000,1,4
13,158,Animate.java,M,8,1,10,0.8333,0.0833,11,basmith,4,0.2500,1.0000,0.0000,1,3
13,162,Animate.java,M,6,1,10,0.8333,0.0833,11,basmith,1,0.0000,0.0000,0.0000,0,1
20,168,AtomTypesModel.java,M,11,1,17,0.8947,0.0526,18,basmith,3,0.0000,0.0000,0.0000,0,3
28,166,AtomType.java,M,5,1,25,0.9259,0.0370,26,basmith,1,0.0000,0.0000,0.0000,0,1
30,168,AtomTypesModel.java,M,11,2,26,0.8966,0.0690,28,basmith,3,0.1915,0.5744,0.0000,1,2
30,169,AtomTypesModel.java,M,11,1,26,0.8966,0.0345,28,basmith,3,0.1915,0.5744,0.0000,1,2
32,103,Angle.java,M,15,1,29,0.9355,0.0323,30,basmith,4,0.5000,1.0000,0.0000,2,2
32,104,Dihedral.java,M,15,1,29,0.9355,0.0323,30,basmith,4,0.5000,1.0000,0.0000,2,2
32,105,Distance.java,M,15,1,29,0.9355,0.0323,30,basmith,4,0.5000,1.0000,0.0000,2,2
32,106,Angle.java,M,11,1,29,0.9355,0.0323,30,basmith,13,0.0769,1.0000,0.0000,1,12
