counter | prevPath | prevStartLine | prevEndLine | changeType | currPath | currStartLine | currEndLine | offsetStart | offsetEnd
1 | Revision_798/Jmol/src/org/openscience/jmol/DisplayControl.java | 3 | 4 | c | Revision_799/Jmol/src/org/openscience/jmol/DisplayControl.java | 3 | 4 | 0 | 0
2 | Revision_798/Jmol/src/org/openscience/jmol/DisplayControl.java | 101 | 101 | c | Revision_799/Jmol/src/org/openscience/jmol/DisplayControl.java | 101 | 101 | 0 | 0
3 | Revision_798/Jmol/src/org/openscience/jmol/DisplayControl.java | 229 | 229 | a | Revision_799/Jmol/src/org/openscience/jmol/DisplayControl.java | 230 | 240 | 1 | 11
4 | Revision_798/Jmol/src/org/openscience/jmol/DisplayControl.java | 242 | 245 | c | Revision_799/Jmol/src/org/openscience/jmol/DisplayControl.java | 253 | 257 | 11 | 12
5 | Revision_798/Jmol/src/org/openscience/jmol/DisplayControl.java | 249 | 250 | c | Revision_799/Jmol/src/org/openscience/jmol/DisplayControl.java | 261 | 266 | 12 | 16
6 | Revision_798/Jmol/src/org/openscience/jmol/DisplayControl.java | 544 | 544 | c | Revision_799/Jmol/src/org/openscience/jmol/DisplayControl.java | 560 | 560 | 16 | 16
7 | Revision_798/Jmol/src/org/openscience/jmol/DisplayControl.java | 726 | 726 | a | Revision_799/Jmol/src/org/openscience/jmol/DisplayControl.java | 743 | 746 | 17 | 20
8 | Revision_798/Jmol/src/org/openscience/jmol/DisplayControl.java | 934 | 948 | d | Revision_799/Jmol/src/org/openscience/jmol/DisplayControl.java | 953 | 953 | 19 | 5
9 | Revision_798/Jmol/src/org/openscience/jmol/DisplayControl.java | 955 | 955 | a | Revision_799/Jmol/src/org/openscience/jmol/DisplayControl.java | 961 | 964 | 6 | 9
10 | Revision_798/Jmol/src/org/openscience/jmol/DisplayPanel.java | 149 | 149 | c | Revision_799/Jmol/src/org/openscience/jmol/DisplayPanel.java | 149 | 153 | 0 | 4
11 | Revision_798/Jmol/src/org/openscience/jmol/DisplayPanel.java | 186 | 192 | d | Revision_799/Jmol/src/org/openscience/jmol/DisplayPanel.java | 189 | 189 | 3 | -3
12 | Revision_798/Jmol/src/org/openscience/jmol/DisplayPanel.java | 208 | 208 | d | Revision_799/Jmol/src/org/openscience/jmol/DisplayPanel.java | 204 | 204 | -4 | -4
13 | Revision_798/Jmol/src/org/openscience/jmol/DisplayPanel.java | 209 | 209 | a | Revision_799/Jmol/src/org/openscience/jmol/DisplayPanel.java | 206 | 208 | -3 | -1
14 | Revision_798/Jmol/src/org/openscience/jmol/DisplayPanel.java | 213 | 213 | a | Revision_799/Jmol/src/org/openscience/jmol/DisplayPanel.java | 213 | 213 | 0 | 0
15 | Revision_798/Jmol/src/org/openscience/jmol/DisplayPanel.java | 240 | 240 | a | Revision_799/Jmol/src/org/openscience/jmol/DisplayPanel.java | 241 | 253 | 1 | 13
16 | Revision_798/Jmol/src/org/openscience/jmol/DisplayPanel.java | 254 | 254 | c | Revision_799/Jmol/src/org/openscience/jmol/DisplayPanel.java | 267 | 267 | 13 | 13
17 | Revision_798/Jmol/src/org/openscience/jmol/DisplayPanel.java | 256 | 257 | c | Revision_799/Jmol/src/org/openscience/jmol/DisplayPanel.java | 269 | 270 | 13 | 13
18 | Revision_798/Jmol/src/org/openscience/jmol/DisplayPanel.java | 263 | 263 | c | Revision_799/Jmol/src/org/openscience/jmol/DisplayPanel.java | 276 | 276 | 13 | 13
19 | Revision_798/Jmol/src/org/openscience/jmol/DisplayPanel.java | 557 | 650 | d | Revision_799/Jmol/src/org/openscience/jmol/DisplayPanel.java | 569 | 569 | 12 | -81
20 | Revision_798/Jmol/src/org/openscience/jmol/DisplayPanel.java | 728 | 728 | a | Revision_799/Jmol/src/org/openscience/jmol/DisplayPanel.java | 648 | 660 | -80 | -68
21 | Revision_798/Jmol/src/org/openscience/jmol/DisplayPanel.java | 747 | 751 | c | Revision_799/Jmol/src/org/openscience/jmol/DisplayPanel.java | 679 | 686 | -68 | -65
22 | Revision_798/Jmol/src/org/openscience/jmol/DisplayPanel.java | 771 | 773 | c | Revision_799/Jmol/src/org/openscience/jmol/DisplayPanel.java | 706 | 706 | -65 | -67
23 | Revision_798/Jmol/src/org/openscience/jmol/DisplayPanel.java | 776 | 778 | c | Revision_799/Jmol/src/org/openscience/jmol/DisplayPanel.java | 709 | 713 | -67 | -65
24 | Revision_798/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 82 | 82 | a | Revision_799/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 83 | 85 | 1 | 3
25 | Revision_798/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 112 | 112 | c | Revision_799/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 115 | 116 | 3 | 4
26 | Revision_798/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 139 | 139 | c | Revision_799/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 143 | 146 | 4 | 7
27 | Revision_798/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 275 | 275 | c | Revision_799/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 282 | 282 | 7 | 7
28 | Revision_798/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 282 | 283 | d | Revision_799/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 288 | 288 | 6 | 5
29 | Revision_798/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 286 | 286 | a | Revision_799/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 292 | 296 | 6 | 10
30 | Revision_798/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 289 | 289 | d | Revision_799/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 298 | 298 | 9 | 9
31 | Revision_798/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 290 | 290 | a | Revision_799/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 300 | 301 | 10 | 11
32 | Revision_798/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 297 | 297 | a | Revision_799/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 309 | 329 | 12 | 32
33 | Revision_798/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 1105 | 1105 | a | Revision_799/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 1138 | 1138 | 33 | 33
