cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",1523,1524,2,0.3333,1,"SIMILARITY_PRESERVING","[932, 981]","[903, 932, 968, 981]","[905, 932, 954, 981]"
"Type3","Block",856,857,2,1.0000,0,"SIMILARITY_PRESERVING","[315, 482]","[315, 482]","[315, 482]"
"Type3","Block",856,858,2,1.0000,0,"SIMILARITY_PRESERVING","[315, 482]","[315, 482]","[315, 482]"
"Type3","Block",857,858,2,1.0000,0,"SIMILARITY_PRESERVING","[315, 482]","[315, 482]","[315, 482]"
"Type3","Block",53,54,6,0.7500,1,"SIMILARITY_PRESERVING","[66, 77, 302, 315, 454, 498]","[66, 77, 302, 315, 412, 454, 498]","[66, 77, 302, 315, 414, 454, 498]"
"Type3","Block",53,55,5,0.6250,1,"SIMILARITY_PRESERVING","[77, 302, 315, 454, 498]","[66, 77, 302, 315, 412, 454, 498]","[77, 302, 315, 414, 454, 498]"
"Type3","Block",54,55,6,0.8571,0,"SIMILARITY_PRESERVING","[77, 302, 315, 414, 454, 498]","[66, 77, 302, 315, 414, 454, 498]","[77, 302, 315, 414, 454, 498]"
"Type3","Block",56,57,6,1.0000,0,"SIMILARITY_PRESERVING","[298, 302, 315, 454, 482, 498]","[298, 302, 315, 454, 482, 498]","[298, 302, 315, 454, 482, 498]"
"Type3","Block",56,58,6,1.0000,0,"SIMILARITY_PRESERVING","[298, 302, 315, 454, 482, 498]","[298, 302, 315, 454, 482, 498]","[298, 302, 315, 454, 482, 498]"
"Type3","Block",57,58,6,1.0000,0,"SIMILARITY_PRESERVING","[298, 302, 315, 454, 482, 498]","[298, 302, 315, 454, 482, 498]","[298, 302, 315, 454, 482, 498]"
"Type3","Block",59,60,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 454, 482, 498]","[302, 315, 454, 482, 498]","[302, 315, 454, 482, 498]"
"Type3","Block",59,61,4,0.8000,0,"SIMILARITY_PRESERVING","[302, 315, 454, 482]","[302, 315, 454, 482, 498]","[302, 315, 454, 482]"
"Type3","Block",60,61,4,0.8000,0,"SIMILARITY_PRESERVING","[302, 315, 454, 482]","[302, 315, 454, 482, 498]","[302, 315, 454, 482]"
"Type3","Block",62,63,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",62,64,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",63,64,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",65,66,2,0.3333,1,"SIMILARITY_PRESERVING","[302, 315]","[298, 302, 315]","[289, 302, 315, 482, 498]"
