Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | Similarity
859 | Revision_859/Jmol/source-tests/org/openscience/jmol/AtomTypeSetTest.java | U | 60 | 67 | 6 | 461960 | 1 | 80
859 | Revision_859/Jmol/source-tests/org/openscience/jmol/AtomTypesModelTest.java | U | 60 | 67 | 6 | 461961 | 1 | 80
859 | Revision_859/Jmol/src/com/obrador/JpegEncoder.java | U | 312 | 318 | 7 | 461962 | 2 | 75
859 | Revision_859/Jmol/src/com/obrador/JpegEncoder.java | U | 1001 | 1008 | 7 | 461963 | 2 | 75
859 | Revision_859/Jmol/src/com/obrador/JpegEncoder.java | U | 972 | 980 | 7 | 461964 | 2 | 75
859 | Revision_859/Jmol/src/org/openscience/jmol/LoopedStreams.java | U | 105 | 113 | 7 | 461965 | 2 | 75
859 | Revision_859/Jmol/src/org/openscience/jmol/FileManager.java | U | 78 | 83 | 7 | 461966 | 2 | 75
859 | Revision_859/Jmol/src/org/openscience/jmol/ModelManager.java | M | 152 | 157 | 7 | 461967 | 2 | 75
859 | Revision_859/Jmol/src/org/openscience/jmol/JmolResourceHandler.java | U | 104 | 109 | 7 | 461968 | 2 | 75
859 | Revision_859/Jmol/src/com/obrador/JpegEncoder.java | U | 1289 | 1295 | 7 | 461969 | 2 | 75
859 | Revision_859/Jmol/src/com/obrador/JpegEncoder.java | U | 476 | 481 | 6 | 461970 | 3 | 80
859 | Revision_859/Jmol/src/com/obrador/JpegEncoder.java | U | 564 | 569 | 6 | 461971 | 3 | 80
859 | Revision_859/Jmol/src/com/obrador/JpegEncoder.java | U | 483 | 493 | 6 | 461972 | 4 | 75
859 | Revision_859/Jmol/src/com/obrador/JpegEncoder.java | U | 571 | 581 | 6 | 461973 | 4 | 75
859 | Revision_859/Jmol/src/com/obrador/JpegEncoder.java | U | 764 | 769 | 6 | 461974 | 4 | 75
859 | Revision_859/Jmol/src/com/obrador/JpegEncoder.java | U | 742 | 749 | 6 | 461975 | 4 | 75
859 | Revision_859/Jmol/src/com/obrador/JpegEncoder.java | U | 737 | 752 | 13 | 461976 | 5 | 90
859 | Revision_859/Jmol/src/com/obrador/JpegEncoder.java | U | 759 | 772 | 13 | 461977 | 5 | 90
859 | Revision_859/Jmol/src/com/obrador/JpegEncoder.java | U | 954 | 987 | 31 | 461978 | 6 | 72
859 | Revision_859/Jmol/src/com/obrador/JpegEncoder.java | U | 989 | 1022 | 31 | 461979 | 6 | 72
