Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | globalCloneId | Similarity
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 312 | 318 | 8 | 1156906 | 1 | 284 | 71
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 972 | 980 | 8 | 1156907 | 1 | 285 | 71
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 1001 | 1008 | 8 | 1156908 | 1 | 286 | 71
1762 | Revision_1762/Jmol/src/org/openscience/jmol/LoopedStreams.java | U | 110 | 118 | 8 | 1156909 | 1 | 840 | 71
1762 | Revision_1762/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | U | 1469 | 1474 | 8 | 1156910 | 1 | 1509 | 71
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 1289 | 1295 | 8 | 1156911 | 1 | 841 | 71
1762 | Revision_1762/Jmol/src/org/openscience/jmol/app/JmolResourceHandler.java | U | 110 | 115 | 8 | 1156912 | 1 | 282 | 71
1762 | Revision_1762/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | U | 1802 | 1807 | 8 | 1156913 | 1 | 1551 | 71
1762 | Revision_1762/Jmol/src/JmolAppletRegistry.java | U | 76 | 82 | 8 | 1156914 | 1 | 2257 | 71
1762 | Revision_1762/Jmol/src/JmolApplet.java | U | 120 | 126 | 8 | 1156915 | 1 | 2062 | 71
1762 | Revision_1762/Jmol/src/JmolApplet.java | U | 153 | 159 | 8 | 1156916 | 1 | 2062 | 71
1762 | Revision_1762/Jmol-Plugins/rssviewer/src/org/openscience/jmolplugin/rssviewer/RSSViewerPlugin.java | U | 92 | 98 | 8 | 1156917 | 1 | 2159 | 71
1762 | Revision_1762/Jmol/src/JmolAppletRegistry.java | U | 91 | 97 | 8 | 1156918 | 1 | 2258 | 71
1762 | Revision_1762/Jmol/src/org/openscience/jmol/app/Jmol.java | U | 1045 | 1051 | 8 | 1156919 | 1 | 2264 | 71
1762 | Revision_1762/Jmol/src/org/openscience/jmol/adapters/SimpleModelAdapter.java | U | 609 | 615 | 8 | 1156920 | 1 | 2167 | 71
1762 | Revision_1762/Jmol/src/org/openscience/jmol/app/Preferences.java | U | 253 | 262 | 8 | 1156921 | 1 | 364 | 71
1762 | Revision_1762/Jmol/src/org/openscience/jmol/app/BandPlotEPSRenderer.java | U | 88 | 94 | 8 | 1156922 | 1 | 1408 | 71
1762 | Revision_1762/Jmol/src/org/openscience/jmol/app/HistoryFile.java | U | 109 | 118 | 8 | 1156923 | 1 | 1017 | 71
1762 | Revision_1762/Jmol/src/org/openscience/jmol/app/PreferencesDialog.java | U | 1077 | 1087 | 8 | 1156924 | 1 | 1144 | 71
1762 | Revision_1762/Jmol/src/org/openscience/jmol/app/Preferences.java | U | 64 | 72 | 8 | 1156925 | 1 | 1145 | 71
1762 | Revision_1762/Jmol/src/org/openscience/jmol/app/HistoryFile.java | U | 95 | 104 | 8 | 1156926 | 1 | 1015 | 71
1762 | Revision_1762/Jmol-Plugins/rssviewer/src/org/openscience/jmolplugin/rssviewer/RSSViewerPlugin.java | U | 344 | 353 | 8 | 1156927 | 1 | 2160 | 71
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 476 | 481 | 6 | 1156928 | 2 | 287 | 80
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 564 | 569 | 6 | 1156929 | 2 | 288 | 80
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 483 | 493 | 6 | 1156930 | 3 | 289 | 75
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 764 | 769 | 6 | 1156931 | 3 | 291 | 75
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 742 | 749 | 6 | 1156932 | 3 | 292 | 75
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 571 | 581 | 6 | 1156933 | 3 | 290 | 75
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 737 | 752 | 13 | 1156934 | 4 | 293 | 90
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 759 | 772 | 13 | 1156935 | 4 | 294 | 90
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 954 | 987 | 31 | 1156936 | 5 | 295 | 72
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 989 | 1022 | 31 | 1156937 | 5 | 296 | 72
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 1049 | 1054 | 5 | 1156938 | 6 | 297 | 100
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 1156 | 1161 | 5 | 1156939 | 6 | 298 | 100
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 1085 | 1090 | 5 | 1156940 | 6 | 299 | 100
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 1120 | 1125 | 5 | 1156941 | 6 | 300 | 100
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 1062 | 1070 | 8 | 1156942 | 7 | 301 | 100
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 1133 | 1141 | 8 | 1156943 | 7 | 302 | 100
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 1098 | 1106 | 8 | 1156944 | 7 | 303 | 100
1762 | Revision_1762/Jmol/src/com/obrador/JpegEncoder.java | U | 1169 | 1177 | 8 | 1156945 | 7 | 304 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 479 | 483 | 5 | 1156946 | 8 | 909 | 75
1762 | Revision_1762/Jmol/src/org/openscience/jmol/app/CrystalPropertiesDialog.java | U | 1842 | 1847 | 5 | 1156947 | 8 | 1117 | 75
1762 | Revision_1762/Jmol/src/org/openscience/jmol/viewer/managers/SelectionManager.java | U | 107 | 111 | 5 | 1156948 | 8 | 1462 | 75
1762 | Revision_1762/Jmol/src/org/openscience/jmol/viewer/managers/MouseManager12.java | U | 48 | 57 | 5 | 1156949 | 8 | 2199 | 75
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 532 | 536 | 5 | 1156950 | 8 | 910 | 75
1762 | Revision_1762/Jmol/src/org/openscience/jmol/viewer/JmolViewer.java | U | 1103 | 1108 | 5 | 1156951 | 8 | 1994 | 75
1762 | Revision_1762/Jmol/src/org/openscience/jmol/app/ConsoleTextArea.java | U | 53 | 59 | 5 | 1156952 | 8 | 1571 | 75
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 643 | 659 | 19 | 1156953 | 9 | 911 | 86
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 697 | 715 | 19 | 1156954 | 9 | 912 | 86
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 669 | 687 | 19 | 1156955 | 9 | 913 | 86
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 725 | 743 | 19 | 1156956 | 9 | 914 | 86
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 752 | 770 | 19 | 1156957 | 9 | 915 | 86
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1057 | 1104 | 47 | 1156958 | 10 | 916 | 83
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1114 | 1161 | 47 | 1156959 | 10 | 917 | 83
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1206 | 1218 | 10 | 1156960 | 11 | 918 | 85
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1228 | 1240 | 10 | 1156961 | 11 | 919 | 85
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1277 | 1283 | 7 | 1156962 | 12 | 920 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1599 | 1605 | 7 | 1156963 | 12 | 921 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1293 | 1299 | 8 | 1156964 | 13 | 922 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1618 | 1624 | 8 | 1156965 | 13 | 923 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1302 | 1327 | 27 | 1156966 | 14 | 924 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1627 | 1652 | 27 | 1156967 | 14 | 925 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1305 | 1314 | 10 | 1156968 | 15 | 926 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 2264 | 2273 | 10 | 1156969 | 15 | 927 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1630 | 1639 | 10 | 1156970 | 15 | 928 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1306 | 1310 | 5 | 1156971 | 16 | 926 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1318 | 1322 | 5 | 1156972 | 16 | 932 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 2297 | 2301 | 5 | 1156973 | 16 | 932 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 2277 | 2281 | 5 | 1156974 | 16 | 932 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 2265 | 2269 | 5 | 1156975 | 16 | 927 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1643 | 1647 | 5 | 1156976 | 16 | 932 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1631 | 1635 | 5 | 1156977 | 16 | 932 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1314 | 1326 | 13 | 1156978 | 17 | 929 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 2273 | 2285 | 13 | 1156979 | 17 | 931 | 100
1762 | Revision_1762/Jmol/src/freeware/PrintfFormat.java | U | 1639 | 1651 | 13 | 1156980 | 17 | 932 | 100
