pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors,weighted_coupling_strength,coupling_trend,last_co_change_age,last_solo_change_age,method_name1,method_signature1,method_name2,method_signature2
1,Type3,Block,1,1,2,2,2,297,297,295,295,0,0,0,73,ChemFileUtils.java,ChemFileUtils.java,0,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw","stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",0.0000,0.0000,-1,-1,NULL,NULL,NULL,NULL
2,Type3,Block,1,1,840,2,302,297,1334,295,1032,0,0,0,73,ChemFileUtils.java,LoopedStreams.java,2,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",yeldar; gezelter; egonw; cribeaud; petermr; michaelthoward; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,startByteArrayReaderThread,private void startByteArrayReaderThread()
3,Type3,Block,1,1,841,2,302,297,1336,295,1034,0,0,0,73,ChemFileUtils.java,JpegEncoder.java,5,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",yeldar; gezelter; egonw; cribeaud; petermr; michaelthoward; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,getYCCArray,private void getYCCArray()
4,Type3,Block,1,1,1078,2,530,297,1198,295,668,0,0,0,73,ChemFileUtils.java,AtomTypeSetTest.java,8,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",yeldar; egonw; michaelthoward; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,setUp,public void setUp()
5,Type3,Block,1,1,1079,2,530,297,1198,295,668,0,0,0,73,ChemFileUtils.java,AtomTypesModelTest.java,8,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",yeldar; egonw; michaelthoward; fdortu,0.0000,0.0000,-1,-1,NULL,NULL,setUp,public void setUp()
6,Type3,Block,1,1,2062,2,1299,297,1336,295,37,0,0,0,73,ChemFileUtils.java,JmolApplet.java,3,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",michaelthoward,0.0000,0.0000,-1,-1,NULL,NULL,getValue,"private String getValue(String propertyName, String defaultValue)"
7,Type3,Block,1,1,2257,2,1515,297,Still Active,295,1485,0,0,0,73,ChemFileUtils.java,JmolAppletRegistry.java,3,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",michaelthoward; egonw; molvisions; jmol initial support for custom colors; ; ' character; migueljmol; swheele2; nicove; rkanters,0.0000,0.0000,-1,-1,NULL,NULL,getJsoWindow,JSObject getJsoWindow()
8,Type3,Block,1,1,2258,2,1515,297,Still Active,295,1485,0,0,0,73,ChemFileUtils.java,JmolAppletRegistry.java,3,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",michaelthoward; egonw; molvisions; jmol initial support for custom colors; ; ' character; migueljmol; swheele2; nicove; rkanters,0.0000,0.0000,-1,-1,NULL,NULL,getJsoTop,JSObject getJsoTop()
9,Type3,Block,1,1,2264,2,1565,297,Still Active,295,1435,0,0,0,73,ChemFileUtils.java,Jmol.java,3,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",egonw; michaelthoward; nicove; molvisions; jmol initial support for custom colors; ; ' character; migueljmol; swheele2; rkanters,0.0000,0.0000,-1,-1,NULL,NULL,print,public void print()
10,Type3,Block,1,1,2274,2,1570,297,1691,295,121,0,0,0,73,ChemFileUtils.java,PdbAtom.java,4,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",michaelthoward; egonw,0.0000,0.0000,-1,-1,NULL,NULL,getTemperature,public int getTemperature()
11,Type3,Block,1,1,2447,2,1930,297,1934,295,4,0,0,0,73,ChemFileUtils.java,RepaintManager.java,4,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",michaelthoward,0.0000,0.0000,-1,-1,NULL,NULL,run,public void run()
12,Type3,Block,1,1,2448,2,1930,297,1934,295,4,0,0,0,73,ChemFileUtils.java,TransformManager.java,4,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",michaelthoward,0.0000,0.0000,-1,-1,NULL,NULL,run,public void run()
13,Type3,Block,1,1,2517,2,2055,297,2063,295,8,0,0,0,73,ChemFileUtils.java,PdbModel.java,5,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",michaelthoward; egonw,0.0000,0.0000,-1,-1,NULL,NULL,conect,void conect()
14,Type3,Block,1,1,2586,2,2071,297,2088,295,17,0,0,0,73,ChemFileUtils.java,PdbReader.java,5,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",michaelthoward,0.0000,0.0000,-1,-1,NULL,NULL,conect,void conect()
15,Type3,Block,1,1,2839,2,2150,297,2161,295,11,0,0,0,73,ChemFileUtils.java,Platform3D.java,4,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",michaelthoward,0.0000,0.0000,-1,-1,NULL,NULL,waitOnClearingMonitor,synchronized void waitOnClearingMonitor()
16,Type3,Block,1,1,2840,2,2150,297,2161,295,11,0,0,0,73,ChemFileUtils.java,RepaintManager.java,4,"stein; stonehe; basmith; gezelter; ewilligh; tjg1; fultoncr; mfagan; false]; *]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear; %a; false] of hydrogen implemented.; yeldar; egonw",michaelthoward,0.0000,0.0000,-1,-1,NULL,NULL,requestRepaintAndWait,public synchronized void requestRepaintAndWait()
