1 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/ChemFileUtils.java | 1-EOF |  
2 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/DPoint.java | 1-EOF |  
3 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/DataStructureTools.java | 1-EOF |  
4 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/Edge.java | 1-EOF |  
5 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/Element.java | 1-EOF |  
6 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/IsomorphismTester.java | 1-EOF |  
7 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/Isotope.java | 1-EOF |  
8 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/LIFOQueue.java | 1-EOF |  
9 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/MFAnalyser.java | 1-EOF |  
10 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/Node.java | 1-EOF |  
11 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/Queue.java | 1-EOF |  
12 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/Ring.java | 1-EOF |  
13 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/SetOfRingsFinder.java | 1-EOF |  
14 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/Sorter.java | 1-EOF |  
15 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/StandardElements.java | 1-EOF |  
16 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/StandardIsotopes.java | 1-EOF |  
17 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/compchem/setOfRings.java | 1-EOF |  
18 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/ADFReader.java | 1-EOF |  
19 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/AboutDialog.java | 1-EOF |  
20 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Aces2Reader.java | 1-EOF |  
21 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Angle.java | 1-EOF |  
22 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Animate.java | 1-EOF |  
23 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/ArrowLine.java | 1-EOF |  
24 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/AtomPropsMenu.java | 1-EOF |  
25 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/AtomType.java | 1-EOF |  
26 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/AtomTypeTable.java | 1-EOF |  
27 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/AtomTypesModel.java | 1-EOF |  
28 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Bond.java | 1-EOF |  
29 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/CMLFile.java | 1-EOF |  
30 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/CMLSaver.java | 1-EOF |  
31 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Charge.java | 1-EOF |  
32 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/ChemFile.java | 1-EOF |  
33 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/ChemFileReader.java | 1-EOF |  
34 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/ChemFrame.java | 1-EOF |  
35 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/ColorCellEditor.java | 1-EOF |  
36 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/ConsoleTextArea.java | 1-EOF |  
37 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/DTDResolver.java | 1-EOF |  
38 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/DecimalNumberField.java | 1-EOF |  
39 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Dihedral.java | 1-EOF |  
40 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Distance.java | 1-EOF |  
41 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/FileSaver.java | 1-EOF |  
42 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/FileTyper.java | 1-EOF |  
43 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/FortranFormat.java | 1-EOF |  
44 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/FrameHandler.java | 1-EOF |  
45 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/GamessReader.java | 1-EOF |  
46 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Gaussian92Reader.java | 1-EOF |  
47 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Gaussian94Reader.java | 1-EOF |  
48 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Gaussian98Reader.java | 1-EOF |  
49 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/GaussianFile.java | 1-EOF |  
50 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/HelpDialog.java | 1-EOF |  
51 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/ImageTyper.java | 1-EOF |  
52 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/JMolCDO.java | 1-EOF |  
53 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Jmol.java | 1-EOF |  
54 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/JmolException.java | 1-EOF |  
55 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/JmolResourceHandler.java | 1-EOF |  
56 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/JpegEncoder.java | 1-EOF |  
57 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/ListNode.java | 1-EOF |  
58 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/LoopedStreams.java | 1-EOF |  
59 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Matrix3D.java | 1-EOF |  
60 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Measure.java | 1-EOF |  
61 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Measurement.java | 1-EOF |  
62 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/MeasurementFactory.java | 1-EOF |  
63 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/MeasurementInterface.java | 1-EOF |  
64 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/MeasurementList.java | 1-EOF |  
65 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/MeasurementListEvent.java | 1-EOF |  
