counter | prevPath | prevStartLine | prevEndLine | changeType | currPath | currStartLine | currEndLine | offsetStart | offsetEnd
1 | Revision_2474/Jmol/src/org/openscience/jmol/viewer/JmolConstants.java | 3 | 4 | c | Revision_2475/Jmol/src/org/openscience/jmol/viewer/JmolConstants.java | 3 | 4 | 0 | 0
2 | Revision_2474/Jmol/src/org/openscience/jmol/viewer/JmolConstants.java | 34 | 35 | c | Revision_2475/Jmol/src/org/openscience/jmol/viewer/JmolConstants.java | 34 | 35 | 0 | 0
3 | Revision_2474/Jmol/src/org/openscience/jmol/viewer/JmolViewer.java | 3 | 4 | c | Revision_2475/Jmol/src/org/openscience/jmol/viewer/JmolViewer.java | 3 | 4 | 0 | 0
4 | Revision_2474/Jmol/src/org/openscience/jmol/viewer/JmolViewer.java | 1965 | 1965 | a | Revision_2475/Jmol/src/org/openscience/jmol/viewer/JmolViewer.java | 1966 | 1973 | 1 | 8
5 | Revision_2474/Jmol/src/org/openscience/jmol/viewer/datamodel/Measurement.java | 3 | 4 | c | Revision_2475/Jmol/src/org/openscience/jmol/viewer/datamodel/Measurement.java | 3 | 4 | 0 | 0
6 | Revision_2474/Jmol/src/org/openscience/jmol/viewer/datamodel/Measurement.java | 111 | 112 | c | Revision_2475/Jmol/src/org/openscience/jmol/viewer/datamodel/Measurement.java | 111 | 113 | 0 | 1
7 | Revision_2474/Jmol/src/org/openscience/jmol/viewer/managers/StyleManager.java | 2 | 4 | c | Revision_2475/Jmol/src/org/openscience/jmol/viewer/managers/StyleManager.java | 2 | 4 | 0 | 0
8 | Revision_2474/Jmol/src/org/openscience/jmol/viewer/managers/StyleManager.java | 94 | 94 | a | Revision_2475/Jmol/src/org/openscience/jmol/viewer/managers/StyleManager.java | 95 | 99 | 1 | 5
9 | Revision_2474/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | 3 | 4 | c | Revision_2475/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | 3 | 4 | 0 | 0
10 | Revision_2474/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | 2619 | 2619 | a | Revision_2475/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | 2620 | 2628 | 1 | 9
11 | Revision_2474/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 3 | 4 | c | Revision_2475/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 3 | 4 | 0 | 0
12 | Revision_2474/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 376 | 376 | c | Revision_2475/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 376 | 376 | 0 | 0
