cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",2951,2952,1,0.5000,1,"SIMILARITY_PRESERVING","[2325]","[2325]","[2320, 2325]"
"Type3","Block",1530,1531,3,0.3333,1,"SIMILARITY_PRESERVING","[932, 981, 1262]","[903, 932, 968, 981, 1111, 1262]","[905, 932, 954, 981, 1250, 1262]"
"Type3","Block",2953,2954,2,1.0000,0,"SIMILARITY_PRESERVING","[2320, 2373]","[2320, 2373]","[2320, 2373]"
"Type3","Block",1551,3128,4,0.0851,1,"SIMILARITY_PRESERVING","[2679, 2779, 2890, 2962]","[934, 935, 940, 1076, 1111, 1182, 1189, 1228, 1239, 1369, 1392, 1428, 1429, 1509, 1588, 1602, 1656, 1657, 1684, 1688, 1711, 1758, 1793, 1795, 1798, 1803, 1804, 1808, 1816, 1817, 1864, 2601, 2603, 2606, 2620, 2627, 2628, 2671, 2679, 2692, 2707, 2773, 2777, 2779, 2890, 2918, 2962]","[2679, 2779, 2890, 2962]"
"Type3","Block",2030,2031,2,1.0000,0,"SIMILARITY_PRESERVING","[1269, 1303]","[1269, 1303]","[1269, 1303]"
"Type3","Block",860,861,3,1.0000,0,"SIMILARITY_PRESERVING","[315, 482, 2732]","[315, 482, 2732]","[315, 482, 2732]"
"Type3","Block",860,862,3,1.0000,0,"SIMILARITY_PRESERVING","[315, 482, 2732]","[315, 482, 2732]","[315, 482, 2732]"
"Type3","Block",861,862,3,1.0000,0,"SIMILARITY_PRESERVING","[315, 482, 2732]","[315, 482, 2732]","[315, 482, 2732]"
"Type3","Block",3992,3993,1,0.5000,0,"SIMILARITY_PRESERVING","[2883]","[2883, 2886]","[2883]"
"Type3","Block",3117,3119,1,1.0000,0,"SIMILARITY_PRESERVING","[2730]","[2730]","[2730]"
"Type3","Block",53,54,7,0.7778,1,"SIMILARITY_PRESERVING","[66, 77, 302, 315, 454, 498, 2130]","[66, 77, 302, 315, 412, 454, 498, 2130]","[66, 77, 302, 315, 414, 454, 498, 2130]"
"Type3","Block",53,55,6,0.6000,1,"SIMILARITY_PRESERVING","[77, 302, 315, 454, 498, 2130]","[66, 77, 302, 315, 412, 454, 498, 2130]","[77, 302, 315, 414, 454, 498, 2023, 2130]"
"Type3","Block",54,55,7,0.7778,0,"SIMILARITY_PRESERVING","[77, 302, 315, 414, 454, 498, 2130]","[66, 77, 302, 315, 414, 454, 498, 2130]","[77, 302, 315, 414, 454, 498, 2023, 2130]"
"Type3","Block",56,57,8,0.8889,0,"SIMILARITY_PRESERVING","[298, 302, 315, 454, 482, 498, 1018, 2732]","[298, 302, 315, 454, 482, 498, 1018, 2732]","[298, 302, 315, 454, 482, 498, 1018, 2023, 2732]"
"Type3","Block",56,58,8,1.0000,0,"SIMILARITY_PRESERVING","[298, 302, 315, 454, 482, 498, 1018, 2732]","[298, 302, 315, 454, 482, 498, 1018, 2732]","[298, 302, 315, 454, 482, 498, 1018, 2732]"
"Type3","Block",57,58,8,0.8889,0,"SIMILARITY_PRESERVING","[298, 302, 315, 454, 482, 498, 1018, 2732]","[298, 302, 315, 454, 482, 498, 1018, 2023, 2732]","[298, 302, 315, 454, 482, 498, 1018, 2732]"
"Type3","Block",59,60,5,0.8333,0,"SIMILARITY_PRESERVING","[302, 315, 454, 482, 2732]","[302, 315, 454, 482, 498, 2732]","[302, 315, 454, 482, 2732]"
"Type3","Block",59,61,6,0.8571,0,"SIMILARITY_PRESERVING","[302, 315, 454, 482, 498, 2732]","[302, 315, 454, 482, 498, 2732]","[302, 315, 454, 482, 498, 2023, 2732]"
"Type3","Block",60,61,5,0.7143,0,"SIMILARITY_PRESERVING","[302, 315, 454, 482, 2732]","[302, 315, 454, 482, 2732]","[302, 315, 454, 482, 498, 2023, 2732]"
"Type3","Block",62,63,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",62,64,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",63,64,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",65,66,3,0.5000,0,"SIMILARITY_PRESERVING","[298, 302, 315]","[298, 302, 315]","[298, 301, 302, 315, 482, 498]"
"Type3","Block",65,67,1,0.0833,0,"SIMILARITY_PRESERVING","[315]","[298, 302, 315]","[141, 284, 315, 321, 338, 450, 475, 482, 498, 501]"
"Type3","Block",65,69,3,1.0000,0,"SIMILARITY_PRESERVING","[298, 302, 315]","[298, 302, 315]","[298, 302, 315]"
"Type3","Block",65,70,2,0.3333,1,"SIMILARITY_PRESERVING","[302, 315]","[298, 302, 315]","[289, 302, 315, 482, 498]"
"Type3","Block",65,71,3,0.3750,0,"SIMILARITY_PRESERVING","[298, 302, 315]","[298, 302, 315]","[298, 302, 315, 482, 914, 1226, 1282, 1309]"
"Type3","Block",65,72,2,0.2857,1,"SIMILARITY_PRESERVING","[302, 315]","[298, 302, 315]","[289, 302, 315, 482, 498, 627]"
"Type3","Block",65,73,2,0.2500,1,"SIMILARITY_PRESERVING","[302, 315]","[298, 302, 315]","[127, 141, 302, 304, 315, 482, 498]"
"Type3","Block",65,75,3,1.0000,0,"SIMILARITY_PRESERVING","[298, 302, 315]","[298, 302, 315]","[298, 302, 315]"
"Type3","Block",65,726,2,0.3333,0,"SIMILARITY_PRESERVING","[298, 302]","[298, 302, 315]","[298, 302, 498, 2852, 2859]"
"Type3","Block",66,67,3,0.2308,0,"SIMILARITY_PRESERVING","[315, 482, 498]","[298, 301, 302, 315, 482, 498]","[141, 284, 315, 321, 338, 450, 475, 482, 498, 501]"
"Type3","Block",66,69,3,0.5000,0,"SIMILARITY_PRESERVING","[298, 302, 315]","[298, 301, 302, 315, 482, 498]","[298, 302, 315]"
