Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | globalCloneId | Similarity
465 | Revision_465/jnamed.java | U | 80 | 85 | 5 | 164533 | 1 | 1051 | 75
465 | Revision_465/org/xbill/DNS/utils/StringValueTable.java | U | 31 | 35 | 5 | 164534 | 1 | 763 | 75
465 | Revision_465/jnamed.java | U | 131 | 136 | 5 | 164535 | 2 | 684 | 100
465 | Revision_465/jnamed.java | U | 139 | 144 | 5 | 164536 | 2 | 710 | 100
465 | Revision_465/jnamed.java | U | 320 | 338 | 17 | 164537 | 3 | 821 | 76
465 | Revision_465/jnamed.java | U | 339 | 359 | 17 | 164538 | 3 | 1017 | 76
465 | Revision_465/jnamed.java | U | 326 | 332 | 7 | 164539 | 4 | 821 | 80
465 | Revision_465/org/xbill/DNS/OPTRecord.java | U | 71 | 77 | 7 | 164540 | 4 | 898 | 80
465 | Revision_465/jnamed.java | U | 472 | 478 | 7 | 164541 | 5 | 711 | 100
465 | Revision_465/org/xbill/DNS/SimpleResolver.java | U | 315 | 321 | 7 | 164542 | 5 | 429 | 100
465 | Revision_465/jnamed.java | U | 484 | 489 | 5 | 164543 | 6 | 711 | 75
465 | Revision_465/jnamed.java | U | 522 | 527 | 5 | 164544 | 6 | 711 | 75
465 | Revision_465/jnamed.java | U | 544 | 548 | 10 | 164545 | 7 | 710 | 100
465 | Revision_465/jnamed.java | U | 551 | 555 | 10 | 164546 | 7 | 711 | 100
465 | Revision_465/org/xbill/DNS/A6Record.java | U | 36 | 41 | 5 | 164547 | 8 | 1055 | 75
465 | Revision_465/org/xbill/DNS/RPRecord.java | U | 32 | 36 | 5 | 164548 | 8 | 1048 | 75
465 | Revision_465/org/xbill/DNS/NXTRecord.java | U | 33 | 37 | 5 | 164549 | 8 | 124 | 75
465 | Revision_465/org/xbill/DNS/HINFORecord.java | U | 30 | 34 | 5 | 164550 | 8 | 298 | 75
465 | Revision_465/org/xbill/DNS/security/DSAPubKey.java | U | 26 | 30 | 5 | 164551 | 8 | 1041 | 75
465 | Revision_465/org/xbill/DNS/ResolveThread.java | U | 28 | 33 | 5 | 164552 | 8 | 1030 | 75
465 | Revision_465/org/xbill/DNS/Record.java | U | 27 | 32 | 5 | 164553 | 8 | 141 | 75
465 | Revision_465/org/xbill/DNS/A6Record.java | U | 73 | 85 | 11 | 164554 | 9 | 1056 | 70
465 | Revision_465/org/xbill/DNS/CERTRecord.java | U | 91 | 105 | 11 | 164555 | 9 | 583 | 70
465 | Revision_465/org/xbill/DNS/MX_KXRecord.java | U | 57 | 65 | 11 | 164556 | 9 | 1031 | 70
465 | Revision_465/org/xbill/DNS/TXTRecord.java | U | 75 | 87 | 11 | 164557 | 9 | 251 | 70
465 | Revision_465/org/xbill/DNS/HINFORecord.java | U | 85 | 95 | 11 | 164558 | 9 | 492 | 70
465 | Revision_465/org/xbill/DNS/SRVRecord.java | U | 72 | 84 | 11 | 164559 | 9 | 458 | 70
465 | Revision_465/org/xbill/DNS/RPRecord.java | U | 60 | 68 | 11 | 164560 | 9 | 1046 | 70
465 | Revision_465/org/xbill/DNS/Cache.java | U | 93 | 99 | 11 | 164561 | 9 | 841 | 70
465 | Revision_465/org/xbill/DNS/Header.java | U | 215 | 225 | 11 | 164562 | 9 | 44 | 70
465 | Revision_465/org/xbill/DNS/ARecord.java | U | 77 | 82 | 5 | 164563 | 10 | 475 | 75
465 | Revision_465/org/xbill/DNS/NS_CNAME_PTRRecord.java | U | 53 | 58 | 5 | 164564 | 10 | 568 | 75
465 | Revision_465/org/xbill/DNS/UNKRecord.java | U | 48 | 53 | 5 | 164565 | 10 | 564 | 75
465 | Revision_465/org/xbill/DNS/Record.java | U | 247 | 251 | 5 | 164566 | 10 | 477 | 75
465 | Revision_465/org/xbill/DNS/Cache.java | U | 268 | 276 | 8 | 164567 | 11 | 1009 | 71
465 | Revision_465/org/xbill/DNS/Zone.java | U | 231 | 241 | 8 | 164568 | 11 | 767 | 71
465 | Revision_465/org/xbill/DNS/Cache.java | U | 402 | 409 | 6 | 164569 | 12 | 835 | 100
465 | Revision_465/org/xbill/DNS/Cache.java | U | 412 | 419 | 6 | 164570 | 12 | 836 | 100
465 | Revision_465/org/xbill/DNS/CERTRecord.java | U | 52 | 58 | 7 | 164571 | 13 | 571 | 83
465 | Revision_465/org/xbill/DNS/SRVRecord.java | U | 38 | 44 | 7 | 164572 | 13 | 462 | 83
465 | Revision_465/org/xbill/DNS/KEYRecord.java | U | 72 | 78 | 7 | 164573 | 13 | 58 | 83
465 | Revision_465/org/xbill/DNS/CERTRecord.java | U | 63 | 74 | 11 | 164574 | 14 | 575 | 100
465 | Revision_465/org/xbill/DNS/KEYRecord.java | U | 83 | 94 | 11 | 164575 | 14 | 66 | 100
465 | Revision_465/org/xbill/DNS/CERTRecord.java | U | 140 | 148 | 7 | 164576 | 15 | 587 | 83
465 | Revision_465/org/xbill/DNS/SRVRecord.java | U | 122 | 130 | 7 | 164577 | 15 | 509 | 83
465 | Revision_465/org/xbill/DNS/SRVRecord.java | U | 111 | 119 | 7 | 164578 | 15 | 506 | 83
465 | Revision_465/org/xbill/DNS/DClass.java | U | 34 | 40 | 8 | 164579 | 16 | 736 | 75
465 | Revision_465/org/xbill/DNS/Flags.java | U | 39 | 47 | 8 | 164580 | 16 | 738 | 75
465 | Revision_465/org/xbill/DNS/DClass.java | U | 54 | 64 | 10 | 164581 | 17 | 742 | 85
465 | Revision_465/org/xbill/DNS/Type.java | U | 226 | 236 | 10 | 164582 | 17 | 749 | 85
465 | Revision_465/org/xbill/DNS/Opcode.java | U | 47 | 57 | 10 | 164583 | 17 | 745 | 85
465 | Revision_465/org/xbill/DNS/Rcode.java | U | 107 | 117 | 10 | 164584 | 17 | 744 | 85
465 | Revision_465/org/xbill/DNS/Flags.java | U | 63 | 73 | 10 | 164585 | 17 | 750 | 85
465 | Revision_465/org/xbill/DNS/Section.java | U | 91 | 101 | 10 | 164586 | 17 | 746 | 85
465 | Revision_465/org/xbill/DNS/ExtendedResolver.java | U | 99 | 105 | 8 | 164587 | 18 | 957 | 83
465 | Revision_465/org/xbill/DNS/ExtendedResolver.java | U | 118 | 125 | 8 | 164588 | 18 | 979 | 83
465 | Revision_465/org/xbill/DNS/ExtendedResolver.java | U | 100 | 104 | 5 | 164589 | 19 | 958 | 75
465 | Revision_465/org/xbill/DNS/HINFORecord.java | U | 73 | 79 | 5 | 164590 | 19 | 489 | 75
465 | Revision_465/org/xbill/DNS/MX_KXRecord.java | U | 89 | 95 | 5 | 164591 | 19 | 1032 | 75
465 | Revision_465/org/xbill/DNS/MX_KXRecord.java | U | 59 | 63 | 5 | 164592 | 19 | 1031 | 75
465 | Revision_465/org/xbill/DNS/RPRecord.java | U | 92 | 98 | 5 | 164593 | 19 | 1047 | 75
465 | Revision_465/org/xbill/DNS/RPRecord.java | U | 62 | 66 | 5 | 164594 | 19 | 1046 | 75
465 | Revision_465/org/xbill/DNS/ExtendedResolver.java | U | 120 | 124 | 5 | 164595 | 19 | 957 | 75
465 | Revision_465/org/xbill/DNS/MX_KXRecord.java | U | 80 | 86 | 5 | 164596 | 19 | 1033 | 75
465 | Revision_465/org/xbill/DNS/utils/hexdump.java | U | 22 | 26 | 5 | 164597 | 19 | 1045 | 75
465 | Revision_465/org/xbill/DNS/ExtendedResolver.java | U | 292 | 301 | 9 | 164598 | 20 | 947 | 100
465 | Revision_465/org/xbill/DNS/SimpleResolver.java | U | 271 | 280 | 9 | 164599 | 20 | 807 | 100
465 | Revision_465/org/xbill/DNS/FindServer.java | U | 37 | 44 | 6 | 164600 | 21 | 969 | 100
465 | Revision_465/org/xbill/DNS/FindServer.java | U | 52 | 59 | 6 | 164601 | 21 | 970 | 100
465 | Revision_465/org/xbill/DNS/Header.java | U | 65 | 69 | 5 | 164602 | 22 | 342 | 75
465 | Revision_465/org/xbill/DNS/Record.java | U | 194 | 198 | 5 | 164603 | 22 | 479 | 75
465 | Revision_465/org/xbill/DNS/utils/MyStringTokenizer.java | U | 194 | 199 | 5 | 164604 | 22 | 1035 | 75
465 | Revision_465/org/xbill/DNS/Message.java | U | 284 | 289 | 5 | 164605 | 22 | 348 | 75
465 | Revision_465/org/xbill/DNS/Record.java | U | 217 | 221 | 5 | 164606 | 22 | 154 | 75
465 | Revision_465/org/xbill/DNS/HINFORecord.java | U | 39 | 45 | 6 | 164607 | 23 | 303 | 80
465 | Revision_465/org/xbill/DNS/HINFORecord.java | U | 50 | 54 | 6 | 164608 | 23 | 307 | 80
465 | Revision_465/org/xbill/DNS/LOCRecord.java | U | 82 | 90 | 9 | 164609 | 24 | 1036 | 100
