pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors,weighted_coupling_strength,coupling_trend,last_co_change_age,last_solo_change_age,method_name1,method_signature1,method_name2,method_signature2
1,Type3,Block,1,1,2,2,2,52,52,50,50,0,0,4,100,dig.java,update.java,1,bwelling,bwelling,0.0000,0.0000,-1,1,doQuery,"static void doQuery(dnsMessage query, dnsResolver res) throws IOException",doUpdate,"static void doUpdate(dnsMessage query, dnsResolver res) throws IOException"
2,Type3,Block,1,1,869,2,167,52,311,50,144,0,0,0,100,dig.java,Address.java,1,bwelling,bwelling,0.0000,0.0000,-1,-1,doQuery,"static void doQuery(dnsMessage query, dnsResolver res) throws IOException",getByName,getByName(String name) throws UnknownHostException
3,Type3,Block,1,1,870,2,167,52,311,50,144,0,0,0,100,dig.java,Address.java,3,bwelling,bwelling,0.0000,0.0000,-1,-1,doQuery,"static void doQuery(dnsMessage query, dnsResolver res) throws IOException",getByName,getByName(String name) throws UnknownHostException
4,Type3,Block,1,1,1018,2,298,52,311,50,13,0,0,0,100,dig.java,Address.java,1,bwelling,bwelling,0.0000,0.0000,-1,-1,doQuery,"static void doQuery(dnsMessage query, dnsResolver res) throws IOException",isDottedQuad,isDottedQuad(String s)
5,Type3,Block,1,1,1019,2,298,52,311,50,13,0,0,0,100,dig.java,Address.java,3,bwelling,bwelling,0.0000,0.0000,-1,-1,doQuery,"static void doQuery(dnsMessage query, dnsResolver res) throws IOException",isDottedQuad,isDottedQuad(String s)
6,Type3,Block,1,1,1051,2,441,52,542,50,101,0,0,0,100,dig.java,jnamed.java,1,bwelling,bwelling,0.0000,0.0000,-1,-1,doQuery,"static void doQuery(dnsMessage query, dnsResolver res) throws IOException",addSecondaryZone,"addSecondaryZone(String zone, String remote) throws IOException"
7,Type3,Block,1,1,1072,2,542,52,1371,50,829,0,0,0,100,dig.java,dns.java,3,bwelling,bwelling; ogud,0.0000,0.0000,-1,-1,doQuery,"static void doQuery(dnsMessage query, dnsResolver res) throws IOException",getCache,getCache(short dclass)
8,Type3,Block,1,1,1295,2,1431,52,Still Active,50,69,0,0,0,100,dig.java,dig.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,doQuery,"static void doQuery(dnsMessage query, dnsResolver res) throws IOException",NULL,NULL
9,Type3,Block,1,2,869,2,167,52,311,50,144,0,0,0,100,update.java,Address.java,1,bwelling,bwelling,0.0000,0.0000,-1,1,doUpdate,"static void doUpdate(dnsMessage query, dnsResolver res) throws IOException",getByName,getByName(String name) throws UnknownHostException
10,Type3,Block,1,2,870,2,167,52,311,50,144,0,0,0,100,update.java,Address.java,3,bwelling,bwelling,0.0000,0.0000,-1,1,doUpdate,"static void doUpdate(dnsMessage query, dnsResolver res) throws IOException",getByName,getByName(String name) throws UnknownHostException
11,Type3,Block,1,2,1018,2,298,52,311,50,13,0,0,0,100,update.java,Address.java,1,bwelling,bwelling,0.0000,0.0000,-1,1,doUpdate,"static void doUpdate(dnsMessage query, dnsResolver res) throws IOException",isDottedQuad,isDottedQuad(String s)
12,Type3,Block,1,2,1019,2,298,52,311,50,13,0,0,0,100,update.java,Address.java,3,bwelling,bwelling,0.0000,0.0000,-1,1,doUpdate,"static void doUpdate(dnsMessage query, dnsResolver res) throws IOException",isDottedQuad,isDottedQuad(String s)
13,Type3,Block,1,2,1051,2,441,52,542,50,101,0,0,0,100,update.java,jnamed.java,1,bwelling,bwelling,0.0000,0.0000,-1,1,doUpdate,"static void doUpdate(dnsMessage query, dnsResolver res) throws IOException",addSecondaryZone,"addSecondaryZone(String zone, String remote) throws IOException"
14,Type3,Block,1,2,1072,2,542,52,1371,50,829,0,0,0,100,update.java,dns.java,3,bwelling,bwelling; ogud,0.0000,0.0000,-1,1,doUpdate,"static void doUpdate(dnsMessage query, dnsResolver res) throws IOException",getCache,getCache(short dclass)
15,Type3,Block,1,2,1295,2,1431,52,Still Active,50,69,0,0,0,100,update.java,dig.java,1,bwelling,bwelling,0.0000,0.0000,-1,1,doUpdate,"static void doUpdate(dnsMessage query, dnsResolver res) throws IOException",NULL,NULL
16,Type3,Block,1,869,870,167,167,311,311,144,144,1,0,0,100,Address.java,Address.java,4,bwelling,bwelling,1.0000,1.0000,42,-1,getByName,getByName(String name) throws UnknownHostException,getByName,getByName(String name) throws UnknownHostException
17,Type3,Block,1,869,1018,167,298,311,311,144,13,0,0,1,100,Address.java,Address.java,0,bwelling,bwelling,0.0000,0.0000,-1,13,getByName,getByName(String name) throws UnknownHostException,isDottedQuad,isDottedQuad(String s)
18,Type3,Block,1,869,1019,167,298,311,311,144,13,0,0,1,100,Address.java,Address.java,4,bwelling,bwelling,0.0000,0.0000,-1,13,getByName,getByName(String name) throws UnknownHostException,isDottedQuad,isDottedQuad(String s)
19,Type3,Block,1,869,1051,167,441,311,542,144,101,0,0,0,100,Address.java,jnamed.java,1,bwelling,bwelling,0.0000,0.0000,-1,42,getByName,getByName(String name) throws UnknownHostException,addSecondaryZone,"addSecondaryZone(String zone, String remote) throws IOException"
20,Type3,Block,1,869,1072,167,542,311,1371,144,829,0,0,0,100,Address.java,dns.java,4,bwelling,bwelling; ogud,0.0000,0.0000,-1,42,getByName,getByName(String name) throws UnknownHostException,getCache,getCache(short dclass)
