counter | prevPath | prevStartLine | prevEndLine | changeType | currPath | currStartLine | currEndLine | offsetStart | offsetEnd
1 | Revision_1095/org/xbill/DNS/A6Record.java | 27 | 27 | c | Revision_1096/org/xbill/DNS/A6Record.java | 27 | 27 | 0 | 0
2 | Revision_1095/org/xbill/DNS/A6Record.java | 43 | 43 | c | Revision_1096/org/xbill/DNS/A6Record.java | 43 | 43 | 0 | 0
3 | Revision_1095/org/xbill/DNS/A6Record.java | 55 | 55 | c | Revision_1096/org/xbill/DNS/A6Record.java | 55 | 55 | 0 | 0
4 | Revision_1095/org/xbill/DNS/A6Record.java | 76 | 76 | c | Revision_1096/org/xbill/DNS/A6Record.java | 76 | 76 | 0 | 0
5 | Revision_1095/org/xbill/DNS/AAAARecord.java | 25 | 25 | c | Revision_1096/org/xbill/DNS/AAAARecord.java | 25 | 25 | 0 | 0
6 | Revision_1095/org/xbill/DNS/AAAARecord.java | 39 | 39 | c | Revision_1096/org/xbill/DNS/AAAARecord.java | 39 | 39 | 0 | 0
7 | Revision_1095/org/xbill/DNS/AAAARecord.java | 45 | 45 | c | Revision_1096/org/xbill/DNS/AAAARecord.java | 45 | 45 | 0 | 0
8 | Revision_1095/org/xbill/DNS/AAAARecord.java | 61 | 61 | c | Revision_1096/org/xbill/DNS/AAAARecord.java | 61 | 61 | 0 | 0
9 | Revision_1095/org/xbill/DNS/ARecord.java | 26 | 26 | c | Revision_1096/org/xbill/DNS/ARecord.java | 26 | 26 | 0 | 0
10 | Revision_1095/org/xbill/DNS/ARecord.java | 66 | 66 | c | Revision_1096/org/xbill/DNS/ARecord.java | 66 | 66 | 0 | 0
11 | Revision_1095/org/xbill/DNS/ARecord.java | 72 | 72 | c | Revision_1096/org/xbill/DNS/ARecord.java | 72 | 72 | 0 | 0
12 | Revision_1095/org/xbill/DNS/ARecord.java | 90 | 90 | c | Revision_1096/org/xbill/DNS/ARecord.java | 90 | 90 | 0 | 0
13 | Revision_1095/org/xbill/DNS/CERTRecord.java | 36 | 37 | c | Revision_1096/org/xbill/DNS/CERTRecord.java | 36 | 37 | 0 | 0
14 | Revision_1095/org/xbill/DNS/CERTRecord.java | 44 | 44 | c | Revision_1096/org/xbill/DNS/CERTRecord.java | 44 | 44 | 0 | 0
15 | Revision_1095/org/xbill/DNS/CERTRecord.java | 61 | 61 | c | Revision_1096/org/xbill/DNS/CERTRecord.java | 61 | 61 | 0 | 0
16 | Revision_1095/org/xbill/DNS/CERTRecord.java | 65 | 67 | c | Revision_1096/org/xbill/DNS/CERTRecord.java | 65 | 70 | 0 | 3
17 | Revision_1095/org/xbill/DNS/CERTRecord.java | 72 | 72 | c | Revision_1096/org/xbill/DNS/CERTRecord.java | 75 | 75 | 3 | 3
18 | Revision_1095/org/xbill/DNS/CERTRecord.java | 90 | 90 | c | Revision_1096/org/xbill/DNS/CERTRecord.java | 93 | 93 | 3 | 3
19 | Revision_1095/org/xbill/DNS/CERTRecord.java | 110 | 110 | c | Revision_1096/org/xbill/DNS/CERTRecord.java | 113 | 113 | 3 | 3
20 | Revision_1095/org/xbill/DNS/CERTRecord.java | 130 | 130 | c | Revision_1096/org/xbill/DNS/CERTRecord.java | 133 | 133 | 3 | 3
21 | Revision_1095/org/xbill/DNS/CERTRecord.java | 138 | 138 | c | Revision_1096/org/xbill/DNS/CERTRecord.java | 141 | 141 | 3 | 3
22 | Revision_1095/org/xbill/DNS/CERTRecord.java | 146 | 146 | c | Revision_1096/org/xbill/DNS/CERTRecord.java | 149 | 149 | 3 | 3
23 | Revision_1095/org/xbill/DNS/CNAMERecord.java | 23 | 23 | c | Revision_1096/org/xbill/DNS/CNAMERecord.java | 23 | 23 | 0 | 0
24 | Revision_1095/org/xbill/DNS/CNAMERecord.java | 37 | 37 | c | Revision_1096/org/xbill/DNS/CNAMERecord.java | 37 | 37 | 0 | 0
25 | Revision_1095/org/xbill/DNS/CNAMERecord.java | 42 | 42 | c | Revision_1096/org/xbill/DNS/CNAMERecord.java | 42 | 42 | 0 | 0
26 | Revision_1095/org/xbill/DNS/CNAMERecord.java | 50 | 50 | c | Revision_1096/org/xbill/DNS/CNAMERecord.java | 50 | 50 | 0 | 0
27 | Revision_1095/org/xbill/DNS/Cache.java | 31 | 31 | c | Revision_1096/org/xbill/DNS/Cache.java | 31 | 31 | 0 | 0
28 | Revision_1095/org/xbill/DNS/Cache.java | 50 | 50 | c | Revision_1096/org/xbill/DNS/Cache.java | 50 | 50 | 0 | 0
29 | Revision_1095/org/xbill/DNS/Cache.java | 85 | 85 | c | Revision_1096/org/xbill/DNS/Cache.java | 85 | 85 | 0 | 0
