cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",869,870,1,1.0000,0,"SIMILARITY_PRESERVING","[269]","[269]","[269]"
"Type3","Block",1018,1019,1,1.0000,0,"SIMILARITY_PRESERVING","[298]","[298]","[298]"
"Type3","Block",3,4,1,1.0000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6]"
"Type3","Block",3,5,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6, 9]"
"Type3","Block",3,6,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6, 9]"
"Type3","Block",3,7,1,1.0000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6]"
"Type3","Block",3,8,1,1.0000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6]"
"Type3","Block",3,9,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6, 9]"
"Type3","Block",3,10,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6, 9]"
"Type3","Block",4,5,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6, 9]"
"Type3","Block",4,6,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6, 9]"
"Type3","Block",4,7,1,1.0000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6]"
"Type3","Block",4,8,1,1.0000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6]"
"Type3","Block",4,9,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6, 9]"
"Type3","Block",4,10,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6, 9]"
"Type3","Block",5,6,2,1.0000,0,"SIMILARITY_PRESERVING","[6, 9]","[6, 9]","[6, 9]"
"Type3","Block",5,7,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6, 9]","[6]"
"Type3","Block",5,8,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6, 9]","[6]"
"Type3","Block",5,9,2,1.0000,0,"SIMILARITY_PRESERVING","[6, 9]","[6, 9]","[6, 9]"
"Type3","Block",5,10,2,1.0000,0,"SIMILARITY_PRESERVING","[6, 9]","[6, 9]","[6, 9]"
"Type3","Block",6,7,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6, 9]","[6]"
