feature,importance
frac_peers_same_file,0.1662201975882822
mean_peer_depth,0.14178050906226675
max_peer_co_ratio,0.10383329997707418
ir_decay_h50,0.051646346115784565
recent_co_ratio_last5,0.051374192518351305
cs_decay_h50,0.0483320494814879
ir_decay_h20,0.038073093138379054
cs_decay_h10,0.03730507018297736
cs_decay_h20,0.02626220064591151
class_size,0.025822318729269326
stability_index,0.025053653136536153
file_age,0.024502409913554422
mean_peer_co_ratio,0.02410400020834352
alive_peer_count,0.023866823158752132
n_prior_independent,0.02349608624307714
change_proneness,0.02317069623895439
revs_since_last_independent,0.020451991694471934
churn,0.01915727691390529
revs_since_last_co_change,0.018792786156892345
revs_since_last_change,0.01799980245259908
class_co_change_density,0.017086297714594877
ir_decay_h10,0.01693678495407535
n_prior_co_changes,0.012636337925417542
co_change_ratio,0.008278510619057646
n_prior_changes,0.008039227180127308
nlines,0.007723061424790393
frac_peers_same_method,0.00720612842661793
similarity,0.005923448531582633
solo_events_since_last_co,0.0032070395909037956
coupling_trend,0.0017183600759620723
min_peer_co_ratio,0.0
distinct_authors,0.0
major_author_prop,0.0
