n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,gmean,model,Revision,threshold,train_size
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,273,0.5,45
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,273,0.5,45
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,273,0.5,45
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,273,0.5,45
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,274,0.5,52
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,274,0.5,52
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,274,0.5,52
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,274,0.5,52
7,7,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,282,0.5,53
7,7,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,282,0.5,53
7,7,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,282,0.5,53
7,7,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,282,0.5,53
10,2,8,-0.16666666666666666,0.875,0.5833333333333333,0.4375,0.0,0.0,RandomForest,333,0.28,60
10,2,8,0.0,0.875,0.5833333333333333,0.5,0.0,0.0,LightGBM,333,0.1,60
10,2,8,0.0,0.5,0.2,0.5,0.0,0.0,XGBoost,333,0.884,60
10,2,8,0.0,0.8125,0.5,0.5,0.0,0.0,CatBoost,333,0.231,60
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,338,0.345,70
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,338,0.1,70
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,338,0.884,70
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,338,0.231,70
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,345,0.345,71
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,345,0.1,71
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,345,0.884,71
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,345,0.231,71
12,2,10,0.5291502622129182,0.9,0.5833333333333333,0.85,0.5714285714285714,0.8366600265340756,RandomForest,346,0.345,72
12,2,10,0.7745966692414834,0.9500000000000001,0.8333333333333333,0.95,0.8,0.9486832980505138,LightGBM,346,0.1,72
12,2,10,0.0,0.8999999999999999,0.5833333333333333,0.5,0.0,0.0,XGBoost,346,0.884,72
12,2,10,0.7745966692414834,0.9500000000000001,0.8333333333333333,0.95,0.8,0.9486832980505138,CatBoost,346,0.1,72
6,1,5,0.0,0.6,0.3333333333333333,0.5,0.0,0.0,RandomForest,374,0.476,84
6,1,5,-0.2,0.8,0.5,0.4,0.0,0.0,LightGBM,374,0.1,84
6,1,5,0.0,0.8,0.5,0.5,0.0,0.0,XGBoost,374,0.884,84
6,1,5,-0.2,0.6,0.3333333333333333,0.4,0.0,0.0,CatBoost,374,0.1,84
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,377,0.476,90
