revision,gcid,filePath,changeType,nlines,totalChanges,totalUnchanged,stabilityIndex,changeProneness,lifespan,author,activePairs,meanWCS,maxWCS,minWCS,stronglyCoupledPairs,decoupledPairs
49,26,ChangeClefAction.java,M,61,1,45,0.9574,0.0213,46,akdmia,2,0.0000,0.0000,0.0000,0,2
49,57,KeyBindingSelector.java,M,5,1,45,0.9574,0.0213,46,akdmia,129,0.0000,0.0000,0.0000,0,129
49,866,MessageDialog.java,M,12,1,45,0.9574,0.0213,46,akdmia,0,0.0000,0.0000,0.0000,0,0
50,57,KeyBindingSelector.java,M,5,2,45,0.9375,0.0417,47,akdmia,129,0.0000,0.0000,0.0000,0,129
50,1981,KeyBindingSelector.java,M,10,1,0,0.0000,1.0000,0,akdmia,0,0.0000,0.0000,0.0000,0,0
55,345,FileActionUtils.java,M,7,1,51,0.9623,0.0189,52,akdmia,0,0.0000,0.0000,0.0000,0,0
57,175,TuxGuitar.java,M,8,1,53,0.9636,0.0182,54,akdmia,1,0.0000,0.0000,0.0000,0,1
57,177,MatrixEditor.java,M,5,1,53,0.9636,0.0182,54,akdmia,130,0.0385,1.0000,0.0000,5,125
57,198,MatrixEditor.java,M,5,1,53,0.9636,0.0182,54,akdmia,130,0.0385,1.0000,0.0000,5,125
57,212,MatrixEditor.java,M,5,1,53,0.9636,0.0182,54,akdmia,130,0.0385,1.0000,0.0000,5,125
57,369,TuxGuitar.java,M,17,1,53,0.9636,0.0182,54,akdmia,6,0.0000,0.0000,0.0000,0,6
57,508,TGLock.java,M,6,1,53,0.9636,0.0182,54,akdmia,140,0.0000,0.0000,0.0000,0,140
57,630,MatrixEditor.java,M,5,1,53,0.9636,0.0182,54,akdmia,130,0.0385,1.0000,0.0000,5,125
57,704,MatrixEditor.java,M,7,1,53,0.9636,0.0182,54,akdmia,1,0.0000,0.0000,0.0000,0,1
57,707,MatrixEditor.java,M,5,1,53,0.9636,0.0182,54,akdmia,130,0.0385,1.0000,0.0000,5,125
57,1982,TuxGuitar.java,M,5,1,0,0.0000,1.0000,0,akdmia,130,0.0385,1.0000,0.0000,5,125
59,175,TuxGuitar.java,M,8,2,54,0.9474,0.0351,56,akdmia,1,0.5150,0.5150,0.5150,1,0
59,187,FretBoard.java,M,7,1,55,0.9649,0.0175,56,akdmia,0,0.0000,0.0000,0.0000,0,0
59,189,Piano.java,M,5,1,55,0.9649,0.0175,56,akdmia,129,0.0583,1.0000,0.0000,8,121
59,305,ExitAction.java,M,5,1,55,0.9649,0.0175,56,akdmia,4,0.0000,0.0000,0.0000,0,4
59,307,ExportSongAction.java,M,13,1,55,0.9649,0.0175,56,akdmia,3,1.0000,1.0000,1.0000,3,0
59,308,ImportSongAction.java,M,13,1,55,0.9649,0.0175,56,akdmia,3,1.0000,1.0000,1.0000,3,0
59,309,SaveAsFileAction.java,M,5,1,55,0.9649,0.0175,56,akdmia,129,0.0583,1.0000,0.0000,8,121
59,310,OpenFileAction.java,M,13,1,55,0.9649,0.0175,56,akdmia,3,1.0000,1.0000,1.0000,3,0
59,311,NewFileAction.java,M,13,1,55,0.9649,0.0175,56,akdmia,3,1.0000,1.0000,1.0000,3,0
59,312,TuxGuitar.java,M,5,1,55,0.9649,0.0175,56,akdmia,129,0.0583,1.0000,0.0000,8,121
