cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",4,9,2,0.1429,0,"SIMILARITY_PRESERVING","[1165, 3218]","[1165, 3218]","[1165, 2137, 2142, 2155, 2158, 2163, 2165, 2166, 2169, 2170, 2173, 2174, 2175, 3218]"
"Type3","Block",9590,9591,1,0.1429,0,"SIMILARITY_PRESERVING","[3230]","[2137, 2155, 2163, 2166, 2170, 2174, 3230]","[3230]"
"Type3","Block",2017,2018,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2017,2021,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2017,2023,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2017,2025,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2017,2026,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2018,2021,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2018,2025,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2018,2026,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2018,2044,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2021,2023,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2021,2025,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2021,2026,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2023,2025,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2023,2026,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2024,2026,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2025,2026,1,1.0000,0,"SIMILARITY_PRESERVING","[106]","[106]","[106]"
"Type3","Block",2125,2127,1,0.2000,0,"SIMILARITY_PRESERVING","[278]","[278, 452, 538, 566, 877]","[278]"
"Type3","Block",2125,2128,1,0.0435,0,"SIMILARITY_PRESERVING","[278]","[278, 452, 538, 566, 877]","[278, 1301, 1429, 1656, 2154, 2155, 2158, 2163, 2165, 2166, 2169, 2170, 2173, 2174, 2175, 2664, 2666, 2667, 2753]"
"Type3","Block",2127,2128,1,0.0526,0,"SIMILARITY_PRESERVING","[278]","[278]","[278, 1301, 1429, 1656, 2154, 2155, 2158, 2163, 2165, 2166, 2169, 2170, 2173, 2174, 2175, 2664, 2666, 2667, 2753]"
"Type3","Block",2145,2147,1,0.6667,0,"RESYNCHRONIZING","[1652]","[1184, 1652]","[336, 1184, 1652]"
"Type3","Block",2465,2467,2,0.5000,0,"SIMILARITY_PRESERVING","[472, 498]","[472, 498, 815]","[472, 498, 734]"
"Type3","Block",2665,4152,5,0.7143,0,"SIMILARITY_PRESERVING","[855, 877, 896, 943, 1112]","[568, 609, 855, 877, 896, 943, 1112]","[855, 877, 896, 943, 1112]"
"Type3","Block",2665,4158,1,0.1250,0,"SIMILARITY_PRESERVING","[1112]","[568, 609, 855, 877, 896, 943, 1112]","[950, 1112]"
"Type3","Block",2711,2712,1,1.0000,0,"SIMILARITY_PRESERVING","[1167]","[1167]","[1167]"
"Type3","Block",2796,2802,1,1.0000,0,"SIMILARITY_PRESERVING","[1175]","[1175]","[1175]"
"Type3","Block",2796,2803,1,1.0000,0,"SIMILARITY_PRESERVING","[1175]","[1175]","[1175]"
"Type3","Block",2796,2805,1,1.0000,0,"SIMILARITY_PRESERVING","[1175]","[1175]","[1175]"
"Type3","Block",2796,2813,1,1.0000,0,"SIMILARITY_PRESERVING","[1175]","[1175]","[1175]"
"Type3","Block",2801,2811,1,0.5000,0,"SIMILARITY_PRESERVING","[1538]","[1538]","[1175, 1538]"
"Type3","Block",2802,2803,1,1.0000,0,"SIMILARITY_PRESERVING","[1175]","[1175]","[1175]"
"Type3","Block",2802,2805,1,1.0000,0,"SIMILARITY_PRESERVING","[1175]","[1175]","[1175]"
"Type3","Block",2802,2813,1,1.0000,0,"SIMILARITY_PRESERVING","[1175]","[1175]","[1175]"
"Type3","Block",2803,2805,1,1.0000,0,"SIMILARITY_PRESERVING","[1175]","[1175]","[1175]"
"Type3","Block",2803,2813,1,1.0000,0,"SIMILARITY_PRESERVING","[1175]","[1175]","[1175]"
"Type3","Block",2805,2813,1,1.0000,0,"SIMILARITY_PRESERVING","[1175]","[1175]","[1175]"
"Type3","Block",2806,2807,1,1.0000,0,"SIMILARITY_PRESERVING","[2372]","[2372]","[2372]"
"Type3","Block",2811,2812,1,0.5000,0,"SIMILARITY_PRESERVING","[1175]","[1175, 1538]","[1175]"
"Type3","Block",4152,4158,1,0.1667,0,"SIMILARITY_PRESERVING","[1112]","[855, 877, 896, 943, 1112]","[950, 1112]"
"Type3","Block",14071,14072,1,1.0000,0,"SIMILARITY_PRESERVING","[3230]","[3230]","[3230]"
"Type3","Block",19,20,3,1.0000,0,"SIMILARITY_PRESERVING","[104, 943, 1112]","[104, 943, 1112]","[104, 943, 1112]"
"Type3","Block",19,21,3,1.0000,0,"SIMILARITY_PRESERVING","[104, 943, 1112]","[104, 943, 1112]","[104, 943, 1112]"
"Type3","Block",19,22,1,0.3333,0,"SIMILARITY_PRESERVING","[104]","[104, 943, 1112]","[104]"
"Type3","Block",19,23,3,1.0000,0,"SIMILARITY_PRESERVING","[104, 943, 1112]","[104, 943, 1112]","[104, 943, 1112]"
"Type3","Block",19,24,3,1.0000,0,"SIMILARITY_PRESERVING","[104, 943, 1112]","[104, 943, 1112]","[104, 943, 1112]"
"Type3","Block",20,21,3,1.0000,0,"SIMILARITY_PRESERVING","[104, 943, 1112]","[104, 943, 1112]","[104, 943, 1112]"
"Type3","Block",20,22,1,0.3333,0,"SIMILARITY_PRESERVING","[104]","[104, 943, 1112]","[104]"
"Type3","Block",20,23,3,1.0000,0,"SIMILARITY_PRESERVING","[104, 943, 1112]","[104, 943, 1112]","[104, 943, 1112]"
"Type3","Block",20,24,3,1.0000,0,"SIMILARITY_PRESERVING","[104, 943, 1112]","[104, 943, 1112]","[104, 943, 1112]"
"Type3","Block",21,22,1,0.3333,0,"SIMILARITY_PRESERVING","[104]","[104, 943, 1112]","[104]"
"Type3","Block",21,23,3,1.0000,0,"SIMILARITY_PRESERVING","[104, 943, 1112]","[104, 943, 1112]","[104, 943, 1112]"
"Type3","Block",21,24,3,1.0000,0,"SIMILARITY_PRESERVING","[104, 943, 1112]","[104, 943, 1112]","[104, 943, 1112]"
"Type3","Block",22,23,1,0.3333,0,"SIMILARITY_PRESERVING","[104]","[104]","[104, 943, 1112]"
"Type3","Block",22,24,1,0.3333,0,"SIMILARITY_PRESERVING","[104]","[104]","[104, 943, 1112]"
"Type3","Block",23,24,3,1.0000,0,"SIMILARITY_PRESERVING","[104, 943, 1112]","[104, 943, 1112]","[104, 943, 1112]"
"Type3","Block",5921,5922,1,1.0000,0,"SIMILARITY_PRESERVING","[1167]","[1167]","[1167]"
"Type3","Block",5921,5923,1,1.0000,0,"SIMILARITY_PRESERVING","[1167]","[1167]","[1167]"
"Type3","Block",5921,5925,1,1.0000,0,"SIMILARITY_PRESERVING","[1167]","[1167]","[1167]"
"Type3","Block",5921,5926,1,0.3333,0,"SIMILARITY_PRESERVING","[1167]","[1167]","[869, 1167, 1685]"
"Type3","Block",5922,5923,1,1.0000,0,"SIMILARITY_PRESERVING","[1167]","[1167]","[1167]"
"Type3","Block",5922,5925,1,1.0000,0,"SIMILARITY_PRESERVING","[1167]","[1167]","[1167]"
"Type3","Block",5922,5926,1,0.3333,0,"SIMILARITY_PRESERVING","[1167]","[1167]","[869, 1167, 1685]"
"Type3","Block",5923,5925,1,1.0000,0,"SIMILARITY_PRESERVING","[1167]","[1167]","[1167]"
"Type3","Block",5923,5926,1,0.3333,0,"SIMILARITY_PRESERVING","[1167]","[1167]","[869, 1167, 1685]"
"Type3","Block",5925,5926,1,0.3333,0,"SIMILARITY_PRESERVING","[1167]","[1167]","[869, 1167, 1685]"
"Type3","Block",6009,6010,2,1.0000,0,"SIMILARITY_PRESERVING","[1167, 1392]","[1167, 1392]","[1167, 1392]"
"Type3","Block",6009,6011,1,0.3333,0,"SIMILARITY_PRESERVING","[1167]","[1167, 1392]","[1167, 1585]"
"Type3","Block",6009,6012,1,0.0909,0,"SIMILARITY_PRESERVING","[1167]","[1167, 1392]","[1167, 2325, 2327, 2328, 3188, 3192, 3195, 3200, 3203, 3211]"
"Type3","Block",6009,6013,1,0.2000,0,"SIMILARITY_PRESERVING","[1167]","[1167, 1392]","[1167, 2325, 2327, 2328]"
"Type3","Block",6010,6011,1,0.3333,0,"SIMILARITY_PRESERVING","[1167]","[1167, 1392]","[1167, 1585]"
"Type3","Block",6010,6012,1,0.0909,0,"SIMILARITY_PRESERVING","[1167]","[1167, 1392]","[1167, 2325, 2327, 2328, 3188, 3192, 3195, 3200, 3203, 3211]"
"Type3","Block",6010,6013,1,0.2000,0,"SIMILARITY_PRESERVING","[1167]","[1167, 1392]","[1167, 2325, 2327, 2328]"
"Type3","Block",6011,6012,1,0.0909,0,"SIMILARITY_PRESERVING","[1167]","[1167, 1585]","[1167, 2325, 2327, 2328, 3188, 3192, 3195, 3200, 3203, 3211]"
