iter	Passed	Remaining
0	1	596
1	2	484
2	3	488
3	4	464
4	5	448
5	6	459
6	8	460
7	9	462
8	10	467
9	11	450
10	12	451
11	13	452
12	14	439
13	15	439
14	17	440
15	18	436
16	19	432
17	20	432
18	21	434
19	22	434
20	24	437
21	24	426
22	25	425
23	26	421
24	28	420
25	29	421
26	30	423
27	31	423
28	33	423
29	34	424
30	35	424
31	36	421
32	37	418
33	38	417
34	39	416
35	41	415
36	41	411
37	42	407
38	43	407
39	45	406
40	46	405
41	47	406
42	48	401
43	49	398
44	50	398
45	51	397
46	52	396
47	53	395
48	55	395
49	56	394
50	57	394
51	58	390
52	59	390
53	60	387
54	61	385
55	62	383
56	63	380
57	64	380
58	65	380
59	67	380
60	68	379
61	69	379
62	70	378
63	72	378
64	73	377
65	74	377
66	75	375
67	76	374
68	77	373
69	78	371
70	79	368
71	81	369
72	82	368
73	83	367
74	84	367
75	85	366
76	86	364
77	87	362
78	88	361
79	89	358
80	90	356
81	91	354
82	92	354
83	94	354
84	95	352
85	96	352
86	97	350
87	98	349
88	99	349
89	101	348
90	102	347
91	103	345
92	104	343
93	105	342
94	106	341
95	107	341
96	108	340
97	110	339
98	111	338
99	112	336
100	113	334
101	114	334
102	115	332
103	116	331
104	117	330
105	118	328
106	119	327
107	120	326
108	121	324
109	122	323
110	124	323
111	125	322
112	126	320
113	127	319
114	128	319
115	129	318
116	131	317
117	132	316
118	133	314
119	134	313
120	135	312
121	136	311
122	137	310
123	138	309
124	140	308
125	140	305
126	141	303
127	142	301
128	143	301
129	144	300
130	145	299
131	146	297
132	147	296
133	148	295
134	149	294
135	151	293
136	152	292
137	153	291
138	155	291
139	155	289
140	156	288
141	157	287
142	159	286
143	160	285
144	161	284
145	162	283
146	164	282
147	165	281
148	166	279
149	167	278
150	168	277
151	169	276
152	171	276
153	172	275
154	173	274
155	174	273
156	175	272
157	177	271
158	178	270
159	179	269
160	180	268
161	182	267
162	183	266
163	184	265
164	186	265
165	187	264
166	188	263
167	189	262
168	191	261
169	192	260
170	193	259
171	194	258
172	195	257
173	196	255
174	198	254
175	199	253
176	200	252
177	201	251
178	202	250
179	203	248
180	204	247
181	205	246
182	207	245
183	208	244
184	209	243
185	210	242
186	212	241
187	213	240
188	214	239
189	215	238
190	216	237
191	217	235
192	218	234
193	219	233
194	220	232
195	221	230
196	222	229
197	224	228
198	225	227
199	226	226
200	227	225
201	229	224
202	230	223
203	231	222
204	232	221
205	233	219
206	234	218
207	251	231
208	252	230
209	253	229
210	254	227
211	255	226
212	256	225
213	257	223
214	258	222
215	259	221
216	260	219
217	261	218
218	262	217
219	263	215
220	264	214
221	265	213
222	266	211
223	267	210
224	268	208
225	269	207
226	270	206
227	271	204
228	272	203
229	273	202
230	274	201
231	275	199
232	276	198
233	277	197
234	278	195
235	279	194
236	280	193
237	281	191
238	282	190
239	283	188
240	284	187
241	285	186
242	286	184
243	287	183
244	288	182
245	289	181
246	290	179
247	291	178
248	292	177
249	293	176
250	294	174
251	295	173
252	296	172
253	297	171
254	298	169
255	300	168
256	301	167
257	302	166
258	303	165
259	304	163
260	305	162
261	306	161
262	307	160
263	308	159
264	309	157
265	310	156
266	312	155
267	313	154
268	314	153
269	315	151
270	316	150
271	317	149
272	318	148
273	319	147
274	321	145
275	322	144
276	323	143
277	324	142
278	326	141
279	327	140
280	328	139
281	329	137
282	330	136
283	332	135
284	333	134
285	334	133
286	336	132
287	337	131
288	338	130
289	339	128
290	340	127
291	342	126
292	343	125
293	344	124
294	346	123
295	347	122
296	348	120
297	349	119
298	351	118
299	352	117
300	353	116
301	354	115
302	356	113
303	357	112
304	358	111
305	359	110
306	360	109
307	362	108
308	363	107
309	364	105
310	365	104
311	367	103
312	368	102
313	369	101
314	370	100
315	371	98
316	373	97
317	374	96
318	375	95
319	376	94
320	377	93
321	379	91
322	380	90
323	381	89
324	382	88
325	384	87
326	385	86
327	386	84
328	387	83
329	388	82
330	405	84
331	406	83
332	407	82
333	408	80
334	409	79
335	410	78
336	411	77
337	413	75
338	414	74
339	415	73
340	416	72
341	417	70
342	418	69
343	420	68
344	421	67
345	422	65
346	423	64
347	424	63
348	426	62
349	427	61
350	428	59
351	429	58
352	430	57
353	432	56
354	433	54
355	434	53
356	435	52
357	436	51
358	438	50
359	439	48
360	440	47
361	441	46
362	443	45
363	444	43
364	445	42
365	446	41
366	447	40
367	448	39
368	450	37
369	451	36
370	452	35
371	454	34
372	455	32
373	456	31
374	457	30
375	458	29
376	460	28
377	461	26
378	462	25
379	463	24
380	465	23
381	466	21
382	467	20
383	468	19
384	469	18
385	470	17
386	471	15
387	473	14
388	474	13
389	475	12
390	476	10
391	477	9
392	479	8
393	480	7
394	481	6
395	483	4
396	484	3
397	485	2
398	486	1
399	488	0
