iter	Passed	Remaining
0	132	66300
1	146	36354
2	148	24537
3	150	18685
4	158	15728
5	172	14194
6	187	13200
7	196	12058
8	197	10752
9	201	9874
10	204	9093
11	207	8455
12	210	7895
13	214	7434
14	216	7011
15	218	6623
16	221	6285
17	223	5990
18	226	5721
19	228	5493
20	231	5289
21	234	5095
22	235	4884
23	238	4732
24	243	4624
25	246	4501
26	249	4378
27	252	4260
28	255	4149
29	258	4046
30	260	3947
31	263	3854
32	265	3761
33	268	3674
34	270	3591
35	272	3513
36	274	3441
37	278	3383
38	280	3319
39	283	3256
40	285	3196
41	287	3140
42	290	3092
43	295	3058
44	297	3009
45	299	2959
46	302	2917
47	305	2877
48	307	2833
49	310	2794
50	313	2762
51	316	2728
52	319	2690
53	321	2656
54	323	2620
55	327	2599
56	332	2584
57	335	2557
58	338	2529
59	346	2540
60	350	2521
61	353	2499
62	356	2474
63	361	2463
64	365	2449
65	372	2449
66	377	2438
67	383	2434
68	386	2413
69	395	2430
70	402	2432
71	406	2416
72	410	2400
73	413	2377
74	416	2358
75	419	2341
76	422	2320
77	427	2314
78	431	2301
79	434	2280
80	438	2270
81	441	2250
82	443	2228
83	446	2210
84	449	2193
85	452	2176
86	454	2159
87	457	2143
88	460	2128
89	479	2182
90	481	2165
91	483	2146
92	486	2129
93	488	2110
94	490	2093
95	493	2075
96	495	2059
97	497	2042
98	506	2049
99	532	2128
100	543	2147
101	567	2215
102	576	2223
103	600	2284
104	612	2305
105	616	2290
106	618	2272
107	626	2272
108	629	2257
109	632	2241
110	634	2223
111	646	2238
112	649	2223
113	660	2235
114	663	2220
115	676	2239
116	681	2229
117	686	2221
118	691	2213
119	696	2204
120	701	2196
121	704	2182
122	706	2165
123	709	2151
124	712	2137
125	714	2120
126	716	2103
127	718	2089
128	720	2072
129	722	2056
130	724	2041
131	726	2026
132	729	2013
133	731	1998
134	733	1983
135	735	1969
136	738	1957
137	741	1944
138	743	1930
139	746	1918
140	748	1906
141	750	1892
142	753	1879
143	760	1879
144	762	1866
145	764	1853
146	767	1842
147	769	1829
148	773	1821
149	778	1816
150	780	1804
151	782	1791
152	784	1780
153	787	1768
154	789	1757
155	791	1745
156	794	1735
157	796	1724
158	798	1712
159	800	1700
160	803	1691
161	806	1682
162	808	1671
163	810	1659
164	812	1649
165	814	1638
166	816	1627
167	818	1617
168	820	1607
169	823	1597
170	825	1587
171	827	1577
172	829	1567
173	831	1557
174	834	1549
175	836	1539
176	838	1530
177	840	1520
178	842	1511
179	844	1501
180	846	1492
181	848	1482
182	850	1474
183	852	1464
184	854	1455
185	856	1446
186	858	1437
187	861	1429
188	863	1420
189	865	1411
190	867	1402
191	869	1394
192	871	1386
193	873	1377
194	875	1368
195	877	1360
196	879	1353
197	881	1345
198	883	1336
199	885	1328
200	888	1321
201	890	1314
202	892	1306
203	894	1298
204	896	1289
205	898	1282
206	900	1274
207	902	1267
208	904	1259
209	906	1251
210	908	1244
211	911	1237
212	912	1230
213	915	1223
214	918	1217
215	922	1212
216	924	1205
217	926	1198
218	928	1191
219	931	1184
220	932	1177
221	934	1170
222	938	1165
223	940	1158
224	942	1151
225	944	1144
226	947	1139
227	949	1132
228	951	1126
229	953	1119
230	956	1113
231	958	1106
232	960	1100
233	962	1094
234	964	1087
235	966	1081
236	968	1075
237	970	1068
238	972	1062
239	975	1057
240	978	1051
241	980	1045
242	982	1039
243	985	1034
244	987	1027
245	989	1021
246	991	1015
247	994	1010
248	996	1004
249	998	998
250	1000	992
251	1002	986
252	1004	981
253	1006	975
254	1008	969
255	1010	963
256	1013	958
257	1019	956
258	1022	951
259	1025	946
260	1028	941
261	1030	935
262	1032	930
263	1034	924
264	1037	920
265	1040	915
266	1044	911
267	1046	905
268	1048	900
269	1050	895
270	1054	891
271	1056	885
272	1059	880
273	1063	876
274	1065	871
275	1067	866
276	1072	863
277	1074	857
278	1077	853
279	1081	849
280	1083	844
281	1085	839
282	1087	833
283	1089	828
284	1091	823
285	1093	817
286	1095	812
287	1097	808
288	1100	803
289	1102	798
290	1104	793
291	1106	788
292	1109	783
293	1111	778
294	1113	773
295	1115	768
296	1117	763
297	1118	758
298	1120	753
299	1122	748
300	1124	743
301	1126	738
302	1128	733
303	1129	728
304	1131	723
305	1133	718
306	1134	713
307	1136	708
308	1139	704
309	1142	700
310	1144	695
311	1146	690
312	1148	686
313	1150	681
314	1153	677
315	1155	672
316	1157	668
317	1159	663
318	1160	658
319	1162	653
320	1164	649
321	1165	644
322	1168	640
323	1172	637
324	1175	632
325	1177	628
326	1179	624
327	1181	619
328	1185	616
329	1187	611
330	1189	607
331	1191	602
332	1192	598
333	1194	593
334	1196	589
335	1198	584
336	1200	580
337	1202	576
338	1203	571
339	1205	567
340	1208	563
341	1210	559
342	1212	555
343	1215	551
344	1217	546
345	1218	542
346	1220	538
347	1222	533
348	1223	529
349	1225	525
350	1227	521
351	1234	518
352	1236	515
353	1238	510
354	1240	506
355	1242	502
356	1244	498
357	1247	494
358	1249	490
359	1251	486
360	1254	482
361	1256	478
362	1258	475
363	1261	471
364	1264	467
365	1266	463
366	1269	460
367	1272	456
368	1274	452
369	1276	448
370	1278	444
371	1280	440
372	1282	436
373	1285	433
374	1288	429
375	1290	425
376	1293	422
377	1296	418
378	1299	414
379	1302	411
380	1304	407
381	1306	403
382	1308	399
383	1310	395
384	1312	392
385	1314	388
386	1317	384
387	1319	380
388	1321	377
389	1323	373
390	1326	369
391	1328	365
392	1330	362
393	1335	359
394	1337	355
395	1339	351
396	1341	348
397	1343	344
398	1346	340
399	1350	337
400	1352	333
401	1354	330
402	1357	326
403	1360	323
404	1372	321
405	1403	324
406	1416	323
407	1421	320
408	1426	317
409	1429	313
410	1432	310
411	1434	306
412	1436	302
413	1439	299
414	1441	295
415	1443	291
416	1446	287
417	1448	284
418	1450	280
419	1452	276
420	1455	273
421	1458	269
422	1461	265
423	1463	262
424	1466	258
425	1468	255
426	1471	251
427	1473	247
428	1475	244
429	1478	240
430	1480	237
431	1483	233
432	1486	229
433	1488	226
434	1490	222
435	1492	219
436	1494	215
437	1496	211
438	1499	208
439	1505	205
440	1508	201
441	1511	198
442	1513	194
443	1515	191
444	1517	187
