gcid,all_authors,primary_author,num_authors,total_changes,first_revision,last_revision
1,darren,darren,1,1,443,443
2,darren,darren,1,1,443,443
3,darren,darren,1,1,443,443
4,darren,darren,1,1,443,443
5,darren,darren,1,1,443,443
6,darren,darren,1,1,443,443
7,darren,darren,1,2,187,443
8,darren,darren,1,1,267,267
9,darren,darren,1,1,150,150
10,darren,darren,1,1,443,443
11,darren; dhiebert,darren,2,2,443,717
12,darren,darren,1,2,274,282
13,darren,darren,1,2,221,443
14,darren; elias,elias,2,7,443,789
15,darren,darren,1,1,443,443
16,darren; elliotth,darren,2,3,156,571
17,darren,darren,1,1,443,443
18,darren; dhiebert,darren,2,2,443,711
19,darren; perlguy0,darren,2,5,276,598
20,darren; dfishburn,darren,2,2,443,787
21,darren,darren,1,1,443,443
22,darren,darren,1,1,443,443
24,darren,darren,1,1,443,443
25,darren,darren,1,1,443,443
26,darren; dhiebert,darren,2,3,432,680
27,darren,darren,1,2,226,443
28,darren,darren,1,1,443,443
29,darren,darren,1,1,443,443
30,darren,darren,1,3,187,443
31,darren,darren,1,2,96,443
32,darren,darren,1,2,96,443
33,darren; dhiebert,darren,2,2,443,711
34,darren,darren,1,1,443,443
35,darren,darren,1,1,156,156
37,darren,darren,1,1,212,212
38,darren,darren,1,2,393,443
39,dhiebert; elias,elias,2,4,526,720
43,darren,darren,1,1,443,443
44,darren,darren,1,1,443,443
45,darren,darren,1,2,96,443
46,darren,darren,1,2,96,443
47,darren,darren,1,1,443,443
48,darren,darren,1,1,443,443
49,darren,darren,1,1,443,443
50,darren,darren,1,1,443,443
51,darren,darren,1,1,443,443
52,darren,darren,1,1,267,267
53,darren,darren,1,2,260,282
54,darren,darren,1,3,260,282
55,darren,darren,1,3,260,282
57,darren,darren,1,2,260,282
59,darren,darren,1,1,267,267
60,darren,darren,1,1,267,267
61,darren,darren,1,1,267,267
62,darren,darren,1,2,423,443
63,darren,darren,1,1,267,267
64,darren,darren,1,1,282,282
70,darren,darren,1,1,282,282
71,darren,darren,1,4,260,282
72,darren,darren,1,3,188,282
73,darren,darren,1,3,260,282
74,darren,darren,1,1,443,443
75,darren,darren,1,2,29,443
76,darren,darren,1,2,417,443
77,darren,darren,1,3,130,443
78,darren,darren,1,1,130,130
79,darren; elliotth,darren,2,4,130,525
80,darren,darren,1,4,130,443
81,darren; elliotth,darren,2,3,29,544
85,darren,darren,1,1,443,443
