author,total_changes,dependent_count,independent_count,dep_ratio,same_author_dep_count,diff_author_dep_count,same_author_indep_count,diff_author_indep_count,co_change_trigger_rate,solo_change_rate
michaelthoward,6458,1385,5073,0.21446268194487458,1300,0,0,0,1.0,0.7855373180551254
yeldar,6036,2596,3440,0.4300861497680583,2500,0,0,0,1.0,0.5699138502319416
egonw,1047,206,841,0.19675262655205347,202,0,0,0,1.0,0.8032473734479465
basmith,1038,113,925,0.10886319845857419,109,0,0,0,1.0,0.8911368015414258
gezelter,613,55,558,0.08972267536704731,54,0,0,0,1.0,0.9102773246329527
ewilligh,437,34,403,0.07780320366132723,33,0,0,0,1.0,0.9221967963386728
mfagan,133,14,119,0.10526315789473684,13,0,0,0,1.0,0.8947368421052632
fdortu,100,15,85,0.15,10,0,0,0,1.0,0.85
tjg1,95,9,86,0.09473684210526316,8,0,0,0,1.0,0.9052631578947369
%a,69,14,55,0.2028985507246377,14,0,0,0,1.0,0.7971014492753623
"*]    select all atoms   select none       deselect all atoms   select 1,2,5,6    select atoms 1,2,5,6 :)  New Non-Rasmol Script commands:  - clear",60,9,51,0.15,9,0,0,0,1.0,0.85
false] of hydrogen implemented.,24,3,21,0.125,2,0,0,0,1.0,0.875
petermr,15,1,14,0.06666666666666667,1,0,0,0,1.0,0.9333333333333333
fultoncr,7,0,7,0.0,0,0,0,0,,1.0
cribeaud,5,1,4,0.2,1,0,0,0,1.0,0.8
