gcid,all_authors,primary_author,num_authors,total_changes,first_revision,last_revision
18,basmith; egonw; ewilligh; fdortu; gezelter; michaelthoward; yeldar,yeldar,7,21,82,900
23,yeldar,yeldar,1,1,298,298
53,basmith; cribeaud; gezelter; yeldar,yeldar,4,7,66,498
54,basmith; cribeaud; gezelter; yeldar,yeldar,4,7,66,498
55,basmith; cribeaud; yeldar,yeldar,3,6,77,498
56,yeldar,yeldar,1,6,298,498
57,yeldar,yeldar,1,6,298,498
58,yeldar,yeldar,1,6,298,498
59,yeldar,yeldar,1,5,302,498
60,yeldar,yeldar,1,5,302,498
61,yeldar,yeldar,1,4,302,482
62,yeldar,yeldar,1,2,302,315
63,yeldar,yeldar,1,2,302,315
64,yeldar,yeldar,1,2,302,315
65,yeldar,yeldar,1,3,298,315
66,yeldar,yeldar,1,5,289,498
67,yeldar,yeldar,1,6,298,498
68,egonw; yeldar,yeldar,2,6,289,627
69,yeldar,yeldar,1,3,298,315
70,basmith; egonw; yeldar,yeldar,3,10,141,501
71,basmith; gezelter; yeldar,yeldar,3,7,127,498
72,yeldar,yeldar,1,3,298,315
73,michaelthoward; yeldar,yeldar,2,5,298,914
75,ewilligh,ewilligh,1,1,206,206
76,yeldar,yeldar,1,3,302,334
77,basmith; yeldar,yeldar,2,5,136,482
78,gezelter; yeldar,yeldar,2,5,96,334
79,yeldar,yeldar,1,3,302,334
80,yeldar,yeldar,1,3,302,334
81,gezelter; yeldar,yeldar,2,6,96,335
82,yeldar,yeldar,1,4,302,482
83,yeldar,yeldar,1,5,302,482
84,michaelthoward; yeldar,yeldar,2,5,302,731
85,michaelthoward; yeldar,yeldar,2,4,302,731
86,michaelthoward; yeldar,yeldar,2,5,302,731
87,basmith; michaelthoward; yeldar,yeldar,3,5,81,731
88,egonw; michaelthoward; yeldar,yeldar,3,7,302,984
89,basmith; michaelthoward; yeldar,yeldar,3,6,136,731
90,michaelthoward; yeldar,yeldar,2,5,302,731
91,egonw; yeldar,yeldar,2,5,302,990
92,egonw; yeldar,yeldar,2,6,302,990
93,egonw; yeldar,yeldar,2,5,302,990
94,egonw; yeldar,yeldar,2,5,302,990
95,egonw; yeldar,yeldar,2,5,302,990
96,yeldar,yeldar,1,2,302,315
97,yeldar,yeldar,1,2,302,315
98,yeldar,yeldar,1,4,302,482
99,yeldar,yeldar,1,5,302,482
100,yeldar,yeldar,1,3,298,315
101,yeldar,yeldar,1,3,289,315
102,yeldar,yeldar,1,3,289,315
103,basmith; yeldar,yeldar,2,6,32,498
104,basmith; yeldar,yeldar,2,5,32,498
105,basmith; yeldar,yeldar,2,6,32,498
106,basmith; yeldar,yeldar,2,9,32,525
107,basmith; yeldar,yeldar,2,8,32,525
108,basmith; yeldar,yeldar,2,5,32,315
109,basmith; yeldar,yeldar,2,7,32,498
110,basmith; yeldar,yeldar,2,4,32,315
111,basmith; michaelthoward; yeldar,yeldar,3,5,32,914
112,basmith,basmith,1,1,32,32
114,yeldar,yeldar,1,3,289,315
118,ewilligh; gezelter,ewilligh,2,2,206,207
121,basmith; gezelter,gezelter,2,2,127,141
123,basmith; ewilligh; gezelter,basmith,3,3,13,206
125,egonw; yeldar,yeldar,2,5,289,627
126,basmith; gezelter; yeldar,yeldar,3,7,127,498
128,egonw; ewilligh; gezelter; michaelthoward; yeldar,yeldar,5,12,206,940
129,tjg1,tjg1,1,1,177,177
130,basmith; egonw; gezelter; michaelthoward; yeldar,yeldar,5,10,127,990
132,basmith; ewilligh; gezelter,basmith,3,3,13,207
136,basmith; ewilligh; gezelter; michaelthoward; yeldar,yeldar,5,9,13,940
137,basmith; egonw; gezelter; michaelthoward; yeldar,yeldar,5,9,127,990
138,basmith; egonw; gezelter; michaelthoward; yeldar,yeldar,5,9,13,860
139,basmith,basmith,1,1,13,13
140,basmith; gezelter; yeldar,yeldar,3,8,127,562
141,basmith; yeldar,basmith,2,2,13,289
142,gezelter; michaelthoward; yeldar,yeldar,3,7,127,860
145,basmith; egonw; ewilligh; gezelter; michaelthoward; yeldar,yeldar,6,11,13,860
146,ewilligh; gezelter,ewilligh,2,2,206,207
147,basmith,basmith,1,1,13,13
150,egonw; ewilligh; michaelthoward; yeldar,yeldar,4,9,206,860
152,egonw; michaelthoward; yeldar,yeldar,3,8,289,860
158,basmith; ewilligh,basmith,2,2,13,206
160,egonw; michaelthoward,egonw,2,2,627,860
162,basmith; ewilligh; gezelter,basmith,3,3,13,207
164,yeldar,yeldar,1,3,302,328
165,yeldar,yeldar,1,4,230,328
166,basmith; ewilligh,basmith,2,4,28,203
168,basmith; yeldar,yeldar,2,6,20,482
169,basmith; egonw; yeldar,yeldar,3,6,30,739
170,yeldar,yeldar,1,5,298,482
171,basmith; egonw; yeldar,yeldar,3,8,141,990
172,yeldar,yeldar,1,6,298,498
173,yeldar,yeldar,1,6,298,498
174,yeldar,yeldar,1,6,298,498
175,yeldar,yeldar,1,6,298,498
176,basmith; ewilligh; false] of hydrogen implemented.; yeldar,yeldar,4,8,32,330
177,basmith; false] of hydrogen implemented.; yeldar,yeldar,3,7,32,330
178,basmith; ewilligh; false] of hydrogen implemented.; yeldar,yeldar,4,9,32,330
179,basmith; ewilligh; yeldar,yeldar,3,6,32,330
180,ewilligh; gezelter; yeldar,gezelter,3,3,209,287
181,%a; ewilligh; gezelter,%a,3,3,204,210
182,%a; ewilligh; gezelter,%a,3,3,204,210
183,%a; ewilligh; gezelter,%a,3,3,204,210
184,%a; ewilligh; gezelter,%a,3,3,204,210
185,%a; ewilligh; gezelter,%a,3,3,204,210
186,basmith,basmith,1,1,82,82
188,basmith; yeldar,yeldar,2,4,82,315
190,basmith; egonw; fdortu; michaelthoward; yeldar,yeldar,5,20,82,990
192,basmith; egonw,basmith,2,2,82,959
194,basmith; gezelter,basmith,2,2,32,71
196,basmith; gezelter; yeldar,yeldar,3,7,32,332
198,basmith; yeldar,yeldar,2,6,32,332
200,basmith,basmith,1,1,82,82
202,basmith; ewilligh; false] of hydrogen implemented.; gezelter; yeldar,yeldar,5,14,82,338
203,ewilligh; gezelter; yeldar,yeldar,3,8,209,330
