gcid,all_authors,primary_author,num_authors,total_changes,first_revision,last_revision
2,bwelling,bwelling,1,4,41,51
3,bwelling,bwelling,1,1,6,6
4,bwelling,bwelling,1,1,6,6
5,bwelling,bwelling,1,2,6,9
6,bwelling,bwelling,1,2,6,9
7,bwelling,bwelling,1,1,6,6
8,bwelling,bwelling,1,1,6,6
9,bwelling,bwelling,1,2,6,9
10,bwelling,bwelling,1,2,6,9
11,bwelling,bwelling,1,2,41,94
12,bwelling,bwelling,1,1,41,41
13,bwelling,bwelling,1,1,41,41
14,bwelling,bwelling,1,2,41,94
15,bwelling,bwelling,1,1,28,28
16,bwelling,bwelling,1,1,28,28
17,bwelling,bwelling,1,1,28,28
18,bwelling,bwelling,1,1,28,28
19,bwelling,bwelling,1,1,48,48
20,bwelling,bwelling,1,1,48,48
21,bwelling,bwelling,1,1,48,48
22,bwelling,bwelling,1,1,48,48
25,bwelling,bwelling,1,4,20,827
26,bwelling,bwelling,1,4,20,829
27,bwelling,bwelling,1,2,16,41
28,bwelling,bwelling,1,5,16,1421
29,bwelling,bwelling,1,2,16,41
30,bwelling,bwelling,1,4,16,269
31,bwelling,bwelling,1,2,41,48
32,bwelling,bwelling,1,2,41,48
33,bwelling,bwelling,1,6,41,269
34,bwelling,bwelling,1,6,41,269
35,bwelling,bwelling,1,2,41,48
36,bwelling,bwelling,1,2,41,48
37,bwelling,bwelling,1,4,41,218
38,bwelling,bwelling,1,5,41,1421
39,bwelling,bwelling,1,1,41,41
40,bwelling,bwelling,1,4,41,269
41,bwelling,bwelling,1,4,41,269
42,bwelling,bwelling,1,1,41,41
44,bwelling,bwelling,1,3,94,1179
45,bwelling,bwelling,1,1,41,41
47,bwelling,bwelling,1,2,41,248
48,bwelling,bwelling,1,1,41,41
49,bwelling,bwelling,1,2,41,248
50,bwelling,bwelling,1,3,94,1421
51,bwelling,bwelling,1,3,4,405
52,bwelling,bwelling,1,1,4,4
53,bwelling,bwelling,1,3,4,44
54,bwelling,bwelling,1,6,4,248
55,bwelling,bwelling,1,1,41,41
56,bwelling,bwelling,1,1,41,41
57,bwelling,bwelling,1,3,41,248
58,bwelling,bwelling,1,5,41,758
63,bwelling,bwelling,1,1,41,41
64,bwelling,bwelling,1,3,41,248
65,bwelling,bwelling,1,1,41,41
66,bwelling,bwelling,1,3,41,248
68,bwelling,bwelling,1,1,13,13
69,bwelling,bwelling,1,3,7,1096
70,bwelling,bwelling,1,1,13,13
73,bwelling,bwelling,1,2,7,20
74,bwelling,bwelling,1,1,13,13
75,bwelling,bwelling,1,2,7,20
76,bwelling,bwelling,1,2,7,20
78,bwelling,bwelling,1,1,13,13
79,bwelling,bwelling,1,1,41,41
80,bwelling,bwelling,1,2,41,87
82,bwelling,bwelling,1,3,21,87
83,bwelling,bwelling,1,1,41,41
84,bwelling,bwelling,1,5,41,281
85,bwelling,bwelling,1,6,41,991
86,bwelling,bwelling,1,1,41,41
87,bwelling,bwelling,1,4,9,48
88,bwelling,bwelling,1,9,9,281
89,bwelling,bwelling,1,1,41,41
90,bwelling,bwelling,1,3,9,41
91,bwelling,bwelling,1,1,41,41
92,bwelling,bwelling,1,1,41,41
93,bwelling,bwelling,1,3,41,248
94,bwelling,bwelling,1,3,41,248
99,bwelling,bwelling,1,2,41,48
100,bwelling,bwelling,1,2,41,48
101,bwelling,bwelling,1,4,41,135
102,bwelling,bwelling,1,4,41,135
103,bwelling,bwelling,1,3,41,74
104,bwelling,bwelling,1,5,41,253
105,bwelling,bwelling,1,3,41,74
106,bwelling,bwelling,1,5,41,253
107,bwelling,bwelling,1,1,43,43
108,bwelling,bwelling,1,4,43,253
109,bwelling,bwelling,1,4,43,253
110,bwelling,bwelling,1,1,43,43
111,bwelling,bwelling,1,2,41,43
112,bwelling,bwelling,1,6,41,253
113,bwelling,bwelling,1,6,41,253
114,bwelling,bwelling,1,2,41,43
115,bwelling,bwelling,1,3,41,48
116,bwelling,bwelling,1,9,41,1003
117,bwelling,bwelling,1,5,41,232
118,bwelling,bwelling,1,3,41,48
120,bwelling,bwelling,1,8,87,1045
121,bwelling,bwelling,1,6,87,1295
123,bwelling,bwelling,1,1,41,41
124,bwelling,bwelling,1,10,41,1222
125,bwelling,bwelling,1,1,41,41
126,bwelling,bwelling,1,4,41,248
127,bwelling,bwelling,1,2,8,41
128,bwelling,bwelling,1,5,8,248
129,bwelling,bwelling,1,5,8,248
130,bwelling,bwelling,1,2,8,41
132,bwelling,bwelling,1,2,41,44
134,bwelling,bwelling,1,5,41,248
139,bwelling,bwelling,1,1,41,41
141,bwelling,bwelling,1,5,41,996
142,bwelling,bwelling,1,1,41,41
145,bwelling,bwelling,1,1,6,6
146,bwelling,bwelling,1,1,6,6
147,bwelling,bwelling,1,1,6,6
148,bwelling,bwelling,1,1,6,6
154,bwelling,bwelling,1,19,41,1458
156,bwelling,bwelling,1,1,41,41
157,bwelling,bwelling,1,6,41,248
160,bwelling,bwelling,1,2,41,135
161,bwelling,bwelling,1,1,4,4
163,bwelling,bwelling,1,3,4,44
164,bwelling,bwelling,1,6,41,248
165,bwelling,bwelling,1,1,41,41
166,bwelling,bwelling,1,5,41,205
167,bwelling,bwelling,1,1,41,41
168,bwelling,bwelling,1,5,41,205
170,bwelling,bwelling,1,1,210,210
171,bwelling,bwelling,1,1,210,210
173,bwelling,bwelling,1,1,210,210
175,bwelling,bwelling,1,1,30,30
176,bwelling,bwelling,1,4,30,284
177,bwelling,bwelling,1,9,201,284
178,bwelling,bwelling,1,2,30,208
179,bwelling,bwelling,1,1,30,30
180,bwelling,bwelling,1,4,30,210
181,bwelling,bwelling,1,3,4,16
182,bwelling,bwelling,1,7,4,284
183,bwelling,bwelling,1,7,4,210
184,bwelling,bwelling,1,9,4,284
185,bwelling,bwelling,1,4,4,30
