author,total_changes,dependent_count,independent_count,dep_ratio,same_author_dep_count,diff_author_dep_count,same_author_indep_count,diff_author_indep_count,co_change_trigger_rate,solo_change_rate
guiv42,2139619,89796,2049823,0.041968219575541255,10745,0,0,0,1.0,0.9580317804244588
akdmia,1345693,57341,1288352,0.04261075891752428,36809,0,0,0,1.0,0.9573892410824757
helge17,746949,56140,690809,0.07515908047269626,35105,0,0,0,1.0,0.9248409195273037
Makoha,101540,832,100708,0.008193815245223557,777,0,0,0,1.0,0.9918061847547764
ffio1,93100,8921,84179,0.09582169709989259,351,0,0,0,1.0,0.9041783029001074
Xavier,82576,764,81812,0.009252082929664793,709,0,0,0,1.0,0.9907479170703352
helger,32182,96,32086,0.002983033994158225,60,0,0,0,1.0,0.9970169660058418
harborsiem,20052,112,19940,0.005585477757829643,112,0,0,0,1.0,0.9944145222421703
m5ls7h,15942,2789,13153,0.1749466817212395,81,0,0,0,1.0,0.8250533182787605
Trung (Daniel) An,14342,2485,11857,0.17326732673267325,66,0,0,0,1.0,0.8267326732673267
Trung An,12926,2577,10349,0.19936561968126257,62,0,0,0,1.0,0.8006343803187375
Menno Vossen,12598,27,12571,0.0021431973329099855,18,0,0,0,1.0,0.99785680266709
guiv,6381,51,6330,0.007992477668077104,50,0,0,0,1.0,0.9920075223319229
Grzegorz Pruchniakowski,6346,8,6338,0.0012606366214938543,8,0,0,0,1.0,0.9987393633785061
Trung An (An Đức Trung),4681,4,4677,0.0008545182653279214,4,0,0,0,1.0,0.9991454817346721
afarello,204,17,187,0.08333333333333333,11,0,0,0,1.0,0.9166666666666666
herak,202,28,174,0.13861386138613863,28,0,0,0,1.0,0.8613861386138614
johnny42,190,3,187,0.015789473684210527,3,0,0,0,1.0,0.9842105263157894
