gcid,all_authors,primary_author,num_authors,total_changes,first_revision,last_revision
2,akdmia; helge17,akdmia,2,3,636,2798
3,akdmia,akdmia,1,6,94,1342
4,akdmia; guiv42,akdmia,2,2,1165,3218
5,akdmia; guiv42,guiv42,2,7,375,3241
6,akdmia,akdmia,1,1,916,916
7,akdmia; guiv42,akdmia,2,16,451,3241
8,akdmia; guiv42,akdmia,2,15,451,3241
9,akdmia; guiv42,akdmia,2,2,1165,3218
10,akdmia,akdmia,1,4,877,930
12,akdmia; guiv42,akdmia,2,13,451,3241
13,akdmia,akdmia,1,1,97,97
14,akdmia; guiv42,akdmia,2,15,539,3241
15,akdmia; guiv; guiv42,akdmia,3,11,102,2667
16,akdmia; guiv42; helge17,guiv42,3,17,375,3241
17,akdmia; guiv42; helge17,guiv42,3,24,451,3218
18,akdmia,akdmia,1,3,104,1112
19,akdmia,akdmia,1,3,104,1112
20,akdmia,akdmia,1,3,104,1112
21,akdmia,akdmia,1,3,104,1112
22,akdmia,akdmia,1,1,104,104
23,akdmia,akdmia,1,3,104,1112
24,akdmia,akdmia,1,3,104,1112
25,akdmia,akdmia,1,3,104,1112
26,akdmia,akdmia,1,5,49,1112
27,akdmia,akdmia,1,4,104,1112
28,akdmia,akdmia,1,4,104,1112
29,akdmia,akdmia,1,2,104,452
30,akdmia,akdmia,1,2,103,925
31,akdmia,akdmia,1,2,104,877
32,akdmia,akdmia,1,1,106,106
33,akdmia,akdmia,1,4,104,885
34,akdmia,akdmia,1,1,452,452
35,akdmia,akdmia,1,1,97,97
36,akdmia,akdmia,1,2,104,452
37,akdmia,akdmia,1,1,89,89
39,akdmia,akdmia,1,1,553,553
41,akdmia,akdmia,1,1,97,97
42,akdmia,akdmia,1,2,103,925
43,akdmia,akdmia,1,1,925,925
44,akdmia,akdmia,1,1,104,104
45,akdmia,akdmia,1,1,106,106
47,akdmia,akdmia,1,1,925,925
48,akdmia,akdmia,1,1,452,452
49,akdmia,akdmia,1,2,104,452
50,akdmia,akdmia,1,1,104,104
51,akdmia,akdmia,1,2,104,452
52,akdmia,akdmia,1,2,104,452
53,akdmia,akdmia,1,1,539,539
57,akdmia,akdmia,1,2,49,50
59,akdmia,akdmia,1,1,97,97
60,akdmia,akdmia,1,2,103,925
61,akdmia,akdmia,1,2,103,925
62,akdmia,akdmia,1,2,103,925
63,akdmia,akdmia,1,1,104,104
64,akdmia,akdmia,1,1,104,104
65,akdmia,akdmia,1,2,104,452
66,akdmia,akdmia,1,1,104,104
67,akdmia,akdmia,1,5,98,453
68,akdmia,akdmia,1,4,98,742
69,akdmia,akdmia,1,2,98,586
70,akdmia,akdmia,1,4,98,742
71,akdmia,akdmia,1,2,98,586
72,akdmia,akdmia,1,2,98,586
73,akdmia,akdmia,1,2,94,1235
77,akdmia,akdmia,1,1,452,452
78,akdmia,akdmia,1,1,104,104
79,akdmia,akdmia,1,1,1235,1235
80,akdmia,akdmia,1,1,106,106
81,akdmia,akdmia,1,1,104,104
83,akdmia,akdmia,1,1,104,104
84,akdmia,akdmia,1,2,534,536
86,akdmia,akdmia,1,1,92,92
87,akdmia,akdmia,1,3,104,877
88,akdmia,akdmia,1,1,92,92
89,akdmia,akdmia,1,2,583,606
90,akdmia,akdmia,1,1,106,106
91,akdmia,akdmia,1,2,103,924
92,akdmia,akdmia,1,1,583,583
93,akdmia,akdmia,1,2,103,924
94,akdmia,akdmia,1,3,97,1301
95,akdmia,akdmia,1,1,278,278
96,akdmia,akdmia,1,1,90,90
97,akdmia,akdmia,1,3,104,885
98,akdmia,akdmia,1,1,92,92
99,akdmia,akdmia,1,1,90,90
100,akdmia,akdmia,1,1,92,92
101,akdmia,akdmia,1,1,92,92
102,akdmia,akdmia,1,2,90,1163
103,akdmia,akdmia,1,1,90,90
104,akdmia,akdmia,1,1,92,92
105,akdmia,akdmia,1,2,92,1112
106,akdmia,akdmia,1,1,92,92
107,akdmia,akdmia,1,1,90,90
108,akdmia,akdmia,1,3,194,889
111,akdmia,akdmia,1,2,102,256
112,akdmia,akdmia,1,2,104,885
113,akdmia,akdmia,1,1,101,101
114,akdmia,akdmia,1,1,170,170
116,akdmia,akdmia,1,1,89,89
117,akdmia,akdmia,1,2,90,583
118,akdmia,akdmia,1,1,91,91
119,akdmia,akdmia,1,1,91,91
120,akdmia,akdmia,1,1,92,92
121,akdmia,akdmia,1,1,91,91
123,akdmia,akdmia,1,1,90,90
124,akdmia,akdmia,1,1,106,106
125,akdmia,akdmia,1,1,90,90
126,akdmia,akdmia,1,1,90,90
127,akdmia,akdmia,1,1,1165,1165
128,akdmia,akdmia,1,1,1166,1166
129,akdmia,akdmia,1,1,1165,1165
130,akdmia,akdmia,1,1,1165,1165
131,akdmia,akdmia,1,2,815,1166
133,akdmia,akdmia,1,1,1165,1165
134,akdmia,akdmia,1,2,98,1202
135,akdmia,akdmia,1,1,1114,1114
136,akdmia,akdmia,1,1,583,583
137,akdmia,akdmia,1,1,815,815
139,akdmia,akdmia,1,1,97,97
140,akdmia,akdmia,1,1,92,92
141,akdmia,akdmia,1,1,90,90
142,akdmia,akdmia,1,2,92,1112
143,akdmia,akdmia,1,1,92,92
144,akdmia,akdmia,1,3,91,1118
145,akdmia,akdmia,1,2,90,1163
146,akdmia,akdmia,1,1,90,90
147,akdmia,akdmia,1,1,90,90
148,akdmia,akdmia,1,1,916,916
153,akdmia,akdmia,1,1,97,97
154,akdmia,akdmia,1,1,102,102
155,akdmia,akdmia,1,1,1166,1166
156,akdmia,akdmia,1,7,86,950
157,akdmia,akdmia,1,3,91,1118
159,akdmia,akdmia,1,2,104,452
160,akdmia,akdmia,1,2,90,583
161,akdmia,akdmia,1,3,91,1112
162,akdmia,akdmia,1,2,91,930
163,akdmia,akdmia,1,1,92,92
165,akdmia,akdmia,1,1,793,793
173,akdmia,akdmia,1,7,102,1611
175,akdmia,akdmia,1,12,57,1112
176,akdmia,akdmia,1,5,375,815
177,akdmia,akdmia,1,8,57,950
178,akdmia,akdmia,1,3,99,1105
179,akdmia; guiv42,guiv42,2,13,815,2175
180,akdmia,akdmia,1,5,86,730
182,akdmia,akdmia,1,1,92,92
183,akdmia,akdmia,1,2,90,1112
184,Makoha; akdmia; guiv42; helge17,guiv42,4,12,616,3204
185,akdmia,akdmia,1,2,107,1392
186,akdmia; guiv42; helge17,akdmia,3,20,156,3230
187,akdmia,akdmia,1,8,59,1112
188,akdmia,akdmia,1,5,103,734
189,akdmia,akdmia,1,7,59,1112
190,akdmia,akdmia,1,1,102,102
191,akdmia,akdmia,1,4,92,1118
192,akdmia,akdmia,1,9,156,902
193,akdmia,akdmia,1,1,98,98
194,akdmia,akdmia,1,5,729,1112
197,akdmia,akdmia,1,2,104,815
198,akdmia,akdmia,1,11,57,950
199,akdmia,akdmia,1,2,1462,1587
200,akdmia,akdmia,1,2,102,586
201,akdmia,akdmia,1,4,94,1587
205,akdmia,akdmia,1,2,95,877
206,akdmia,akdmia,1,2,107,584
207,akdmia,akdmia,1,1,815,815
208,akdmia,akdmia,1,1,94,94
209,akdmia,akdmia,1,2,202,1105
210,akdmia,akdmia,1,2,82,453
211,akdmia,akdmia,1,3,197,251
212,akdmia,akdmia,1,10,57,950
213,akdmia,akdmia,1,2,1456,1462
214,akdmia,akdmia,1,1,453,453
215,akdmia; guiv42,akdmia,2,6,128,3220
218,akdmia,akdmia,1,1,896,896
219,akdmia,akdmia,1,1,896,896
220,akdmia,akdmia,1,2,593,1410
221,akdmia,akdmia,1,4,97,1131
222,akdmia,akdmia,1,4,97,1131
223,akdmia,akdmia,1,4,97,1235
224,akdmia,akdmia,1,1,606,606
225,akdmia,akdmia,1,1,505,505
226,akdmia,akdmia,1,2,97,505
227,akdmia,akdmia,1,3,97,943
228,akdmia,akdmia,1,2,104,1112
229,akdmia,akdmia,1,3,104,1112
230,akdmia,akdmia,1,4,104,1118
231,akdmia,akdmia,1,3,104,1118
232,akdmia,akdmia,1,2,104,943
233,akdmia,akdmia,1,2,104,795
234,akdmia,akdmia,1,2,104,795
235,akdmia,akdmia,1,2,104,795
236,akdmia,akdmia,1,2,104,795
237,akdmia,akdmia,1,2,104,795
238,akdmia,akdmia,1,2,104,943
239,akdmia,akdmia,1,2,104,795
240,akdmia,akdmia,1,2,104,795
241,akdmia,akdmia,1,2,104,1112
242,akdmia,akdmia,1,3,104,1112
243,akdmia,akdmia,1,3,104,1112
244,akdmia,akdmia,1,1,104,104
245,akdmia,akdmia,1,3,104,1112
246,akdmia,akdmia,1,3,104,1112
247,akdmia,akdmia,1,3,104,1112
248,akdmia,akdmia,1,3,104,1112
249,akdmia,akdmia,1,2,104,1112
250,akdmia,akdmia,1,3,104,1112
251,akdmia,akdmia,1,1,104,104
252,akdmia,akdmia,1,1,104,104
253,akdmia,akdmia,1,3,104,1112
254,akdmia,akdmia,1,3,104,1112
255,akdmia,akdmia,1,1,104,104
