feature,importance
stability_index,13.656904219434573
file_age,8.602351388709177
mean_peer_depth,7.745779823358
alive_peer_count,7.744627082509693
frac_peers_same_file,6.9373839902235686
revs_since_last_change,6.1478533731905625
mean_peer_co_ratio,4.344954622447835
class_size,4.016669087452025
nlines,3.852030756275857
cumulative_churn,3.7542318838682527
revs_since_last_co_change,3.2550849332562573
change_density,2.6733565308075677
max_peer_co_ratio,2.5587957687127916
similarity,2.4732475975394386
n_prior_changes,2.115457939970741
revs_since_last_solo_change,2.1046359629561913
n_prior_co_changes,1.7599795382013248
independent_ratio_decay_h50,1.739338671950542
co_change_ratio,1.709525159245019
recent_co_ratio_last5,1.673299224942144
independent_ratio_decay_h10,1.4991448849293068
recent_solo_ratio_last5,1.499024043453097
frac_peers_same_method,1.3487344181287135
coupling_strength_decay_h10,1.109173244484086
independent_ratio_decay_h20,0.8929998696050583
coupling_strength_decay_h50,0.888613840495001
coupling_trend,0.8276815022998252
n_prior_solo_changes,0.6246712869003554
coupling_strength_decay_h20,0.565564603620285
min_peer_co_ratio,0.5588719415100935
solo_change_ratio,0.5503628375960622
solo_events_since_last_co_change,0.5500534446574967
distinct_authors,0.1962899024848059
major_author_prop,0.023306624784240237
