feature,importance
stability_index,931
file_age,701
cumulative_churn,512
revs_since_last_change,489
alive_peer_count,450
mean_peer_co_ratio,430
frac_peers_same_file,427
change_density,414
nlines,337
revs_since_last_co_change,329
class_size,286
revs_since_last_solo_change,255
mean_peer_depth,202
similarity,181
max_peer_co_ratio,173
n_prior_changes,161
co_change_ratio,151
n_prior_co_changes,96
solo_events_since_last_co_change,92
coupling_trend,88
frac_peers_same_method,75
solo_change_ratio,69
independent_ratio_decay_h10,69
independent_ratio_decay_h50,61
n_prior_solo_changes,55
recent_co_ratio_last5,49
coupling_strength_decay_h10,48
coupling_strength_decay_h20,28
coupling_strength_decay_h50,27
independent_ratio_decay_h20,25
recent_solo_ratio_last5,23
distinct_authors,1
min_peer_co_ratio,0
major_author_prop,0
