feature,importance
frac_peers_same_file,0.10113996076159251
mean_peer_depth,0.09144995325990753
alive_peer_count,0.08226494604981553
class_size,0.07969623891407092
stability_index,0.0761044186297885
file_age,0.04630798274984254
revs_since_last_change,0.03913406273409404
recent_co_ratio_last5,0.03704516656850149
change_density,0.03488232529395663
cumulative_churn,0.03279567877141814
recent_solo_ratio_last5,0.03251303532301051
solo_change_ratio,0.030637681379460262
revs_since_last_co_change,0.030619060510131146
nlines,0.028282917684969662
mean_peer_co_ratio,0.025983943054180315
coupling_strength_decay_h50,0.023847344892550502
independent_ratio_decay_h50,0.02243755145099553
similarity,0.02027592011906036
max_peer_co_ratio,0.019643279113036604
revs_since_last_solo_change,0.018338128504874818
coupling_strength_decay_h10,0.018024071685310318
n_prior_changes,0.017646066985292544
coupling_strength_decay_h20,0.014483196094341573
co_change_ratio,0.013321105771408694
independent_ratio_decay_h10,0.012868766083651801
independent_ratio_decay_h20,0.012675456481903505
frac_peers_same_method,0.009468492963943259
n_prior_co_changes,0.008675245543898128
n_prior_solo_changes,0.008304481659293188
solo_events_since_last_co_change,0.005269566202398531
coupling_trend,0.004581895228036005
min_peer_co_ratio,0.0007116587794655063
major_author_prop,0.0003130644849269815
distinct_authors,0.0002573362708723413
