feature,importance
recent_solo_ratio_last5,0.15428701
frac_peers_same_file,0.08870862
nlines,0.05420425
independent_ratio_decay_h50,0.05165845
stability_index,0.04914103
n_prior_co_changes,0.047806732
alive_peer_count,0.0450648
class_size,0.03456002
revs_since_last_change,0.034290556
max_peer_co_ratio,0.029759591
coupling_strength_decay_h50,0.029551186
recent_co_ratio_last5,0.027705612
revs_since_last_solo_change,0.026817402
frac_peers_same_method,0.026612993
file_age,0.026238712
revs_since_last_co_change,0.025905486
mean_peer_co_ratio,0.023865586
n_prior_changes,0.023711095
similarity,0.023119163
solo_change_ratio,0.021684457
co_change_ratio,0.02128255
n_prior_solo_changes,0.020534506
solo_events_since_last_co_change,0.01998729
cumulative_churn,0.019936122
coupling_trend,0.016701251
independent_ratio_decay_h20,0.014335264
change_density,0.014275302
independent_ratio_decay_h10,0.013510313
coupling_strength_decay_h10,0.0087847365
coupling_strength_decay_h20,0.0059599653
min_peer_co_ratio,0.0
mean_peer_depth,0.0
distinct_authors,0.0
major_author_prop,0.0
