revision,gcid1,gcid2,classId,sameFile,same_folder,file_distance,distance_bucket,dep_label,depth,similarity,filepath1,filepath2,folder1,folder2
29,74,75,48,0,1,1,1,0,1,70,,read.c,,
29,75,76,48,0,1,1,1,0,1,70,read.c,,,
29,80,81,50,0,1,1,1,0,1,80,,read.c,,
34,94,95,112,1,1,0,0 (same dir),1,0,75,vstring.c,vstring.c,,
37,85,87,38,0,1,1,1,0,1,71,,readtags.c,,
37,85,88,38,0,1,1,1,0,1,71,,readtags.c,,
37,86,87,38,0,1,1,1,0,1,71,,readtags.c,,
37,86,88,38,0,1,1,1,0,1,71,,readtags.c,,
37,87,88,38,1,1,0,0 (same dir),1,0,71,readtags.c,readtags.c,,
37,87,116,38,0,1,1,1,0,1,71,readtags.c,,,
37,87,117,38,0,1,1,1,0,1,71,readtags.c,,,
37,88,116,38,0,1,1,1,0,1,71,readtags.c,,,
37,88,117,38,0,1,1,1,0,1,71,readtags.c,,,
37,110,111,106,0,1,1,1,0,1,75,readtags.c,,,
37,134,135,108,1,1,0,0 (same dir),1,0,75,readtags.c,readtags.c,,
37,136,139,109,1,1,0,0 (same dir),1,0,83,readtags.c,readtags.c,,
39,85,87,38,0,1,1,1,0,1,71,,readtags.c,,
39,85,88,38,0,1,1,1,0,1,71,,readtags.c,,
39,86,87,38,0,1,1,1,0,1,71,,readtags.c,,
39,86,88,38,0,1,1,1,0,1,71,,readtags.c,,
39,87,88,38,1,1,0,0 (same dir),1,0,71,readtags.c,readtags.c,,
39,87,116,38,0,1,1,1,0,1,71,readtags.c,,,
39,87,117,38,0,1,1,1,0,1,71,readtags.c,,,
39,88,116,38,0,1,1,1,0,1,71,readtags.c,,,
39,88,117,38,0,1,1,1,0,1,71,readtags.c,,,
39,110,111,106,0,1,1,1,0,1,75,readtags.c,,,
39,150,151,107,1,1,0,0 (same dir),0,0,100,,readtags.c,,
39,134,135,108,1,1,0,0 (same dir),1,0,75,readtags.c,readtags.c,,
39,136,139,109,1,1,0,0 (same dir),1,0,83,readtags.c,readtags.c,,
39,152,153,110,1,1,0,0 (same dir),1,0,80,readtags.c,readtags.c,,
65,85,87,38,0,1,1,1,0,1,71,,readtags.c,,
65,85,88,38,0,1,1,1,0,1,71,,readtags.c,,
65,86,87,38,0,1,1,1,0,1,71,,readtags.c,,
65,86,88,38,0,1,1,1,0,1,71,,readtags.c,,
65,87,88,38,1,1,0,0 (same dir),1,0,71,readtags.c,readtags.c,,
65,87,116,38,0,1,1,1,0,1,71,readtags.c,,,
65,87,117,38,0,1,1,1,0,1,71,readtags.c,,,
65,88,116,38,0,1,1,1,0,1,71,readtags.c,,,
65,88,117,38,0,1,1,1,0,1,71,readtags.c,,,
65,110,111,106,0,1,1,1,0,1,75,readtags.c,,,
65,150,151,107,1,1,0,0 (same dir),1,0,100,readtags.c,readtags.c,,
65,134,135,108,1,1,0,0 (same dir),1,0,75,readtags.c,readtags.c,,
