revision,gcid1,gcid2,classId,sameFile,same_folder,file_distance,distance_bucket,dep_label,depth,similarity,filepath1,filepath2,folder1,folder2
13,141,151,30,0,1,1,1,0,1,75,Animate.java,,,
13,65,123,45,0,1,1,1,0,1,100,,Animate.java,,
13,66,123,45,0,1,1,1,0,1,100,,Animate.java,,
13,67,123,45,0,1,1,1,0,1,100,,Animate.java,,
13,68,123,45,1,1,1,1,0,1,100,,Animate.java,,
13,69,123,45,0,1,1,1,0,1,100,,Animate.java,,
13,71,123,45,0,1,1,1,0,1,100,,Animate.java,,
13,72,123,45,0,1,1,1,0,1,100,,Animate.java,,
13,73,123,45,0,1,1,1,0,1,100,,Animate.java,,
13,106,123,45,0,1,1,1,0,1,70,,Animate.java,,
13,107,123,45,0,1,1,1,0,1,70,,Animate.java,,
13,120,123,45,1,1,0,0 (same dir),0,0,72,,Animate.java,,
13,123,124,45,1,1,1,1,0,1,74,Animate.java,,,
13,70,132,48,0,1,1,1,0,1,100,,Animate.java,,
13,70,147,48,0,1,1,1,0,1,100,,Animate.java,,
13,132,133,48,1,1,1,1,0,1,80,Animate.java,,,
13,132,147,48,1,1,0,0 (same dir),1,0,80,Animate.java,Animate.java,,
13,132,148,48,1,1,1,1,0,1,80,Animate.java,,,
13,132,160,48,1,1,0,0 (same dir),0,0,80,Animate.java,,,
13,133,147,48,1,1,1,1,0,1,80,,Animate.java,,
13,147,148,48,1,1,1,1,0,1,75,Animate.java,,,
13,147,160,48,1,1,0,0 (same dir),0,0,75,Animate.java,,,
13,134,136,49,1,1,0,0 (same dir),0,0,100,,Animate.java,,
13,135,136,49,1,1,1,1,0,1,100,,Animate.java,,
13,136,137,49,0,1,1,1,0,1,75,Animate.java,,,
13,136,140,49,0,1,1,1,0,1,75,Animate.java,,,
13,136,150,49,1,1,1,1,0,1,75,Animate.java,,,
13,136,152,49,1,1,1,1,0,1,75,Animate.java,,,
13,136,188,49,0,1,1,1,0,1,75,Animate.java,,,
13,136,196,49,0,1,1,1,0,1,75,Animate.java,,,
13,136,198,49,0,1,1,1,0,1,75,Animate.java,,,
13,139,145,50,1,1,0,0 (same dir),1,0,75,Animate.java,Animate.java,,
13,139,146,50,1,1,0,0 (same dir),0,0,75,Animate.java,,,
13,145,146,50,1,1,0,0 (same dir),0,0,80,Animate.java,,,
13,138,142,51,0,1,1,1,0,1,83,Animate.java,,,
13,138,158,51,1,1,0,0 (same dir),1,0,83,Animate.java,Animate.java,,
13,138,159,51,1,1,1,1,0,1,83,Animate.java,,,
13,138,180,51,0,1,1,1,0,1,83,Animate.java,,,
13,142,158,51,0,1,1,1,0,1,83,,Animate.java,,
13,158,159,51,1,1,1,1,0,1,85,Animate.java,,,
13,158,180,51,0,1,1,1,0,1,85,Animate.java,,,
13,162,163,53,1,1,1,1,0,1,100,Animate.java,,,
20,168,169,56,1,1,0,0 (same dir),1,0,75,AtomTypesModel.java,,,
20,168,170,56,0,1,1,1,0,1,75,AtomTypesModel.java,,,
20,168,236,56,0,1,1,1,0,1,75,AtomTypesModel.java,,,
28,166,167,62,0,1,1,1,0,1,100,AtomType.java,,,
30,168,169,56,1,1,0,0 (same dir),1,0,75,AtomTypesModel.java,AtomTypesModel.java,,
30,168,170,56,0,1,1,1,0,1,75,AtomTypesModel.java,,,
30,168,236,56,0,1,1,1,0,1,75,AtomTypesModel.java,,,
30,169,170,56,0,1,1,1,0,1,75,AtomTypesModel.java,,,
30,169,236,56,0,1,1,1,0,1,75,AtomTypesModel.java,,,
32,53,112,40,0,1,1,1,0,1,100,,Animate.java,,
32,54,112,40,0,1,1,1,0,1,100,,Animate.java,,
32,55,112,40,0,1,1,1,0,1,100,,Animate.java,,
32,112,113,40,1,1,1,1,0,1,95,Animate.java,,,
32,103,104,44,0,1,1,1,1,1,71,Angle.java,Dihedral.java,,
32,103,105,44,0,1,1,1,1,1,71,Angle.java,Distance.java,,
32,103,118,44,0,1,1,1,0,1,71,Angle.java,,,
32,103,119,44,0,1,1,1,0,1,71,Angle.java,,,
32,104,105,44,0,1,1,1,1,1,71,Dihedral.java,Distance.java,,
32,104,118,44,0,1,1,1,0,1,71,Dihedral.java,,,
32,104,119,44,0,1,1,1,0,1,71,Dihedral.java,,,
32,105,118,44,0,1,1,1,0,1,71,Distance.java,,,
32,105,119,44,0,1,1,1,0,1,71,Distance.java,,,
32,65,106,45,0,1,1,1,0,1,100,,Angle.java,,
32,65,107,45,0,1,1,1,0,1,100,,Dihedral.java,,
32,66,106,45,0,1,1,1,0,1,100,,Angle.java,,
32,66,107,45,0,1,1,1,0,1,100,,Dihedral.java,,
32,67,106,45,0,1,1,1,0,1,100,,Angle.java,,
32,67,107,45,0,1,1,1,0,1,100,,Dihedral.java,,
32,68,106,45,0,1,1,1,0,1,100,,Angle.java,,
32,68,107,45,0,1,1,1,0,1,100,,Dihedral.java,,
32,69,106,45,0,1,1,1,0,1,100,,Angle.java,,
32,69,107,45,0,1,1,1,0,1,100,,Dihedral.java,,
32,71,106,45,0,1,1,1,0,1,100,,Angle.java,,
32,71,107,45,0,1,1,1,0,1,100,,Dihedral.java,,
32,72,106,45,0,1,1,1,0,1,100,,Angle.java,,
32,72,107,45,0,1,1,1,0,1,100,,Dihedral.java,,
32,73,106,45,0,1,1,1,0,1,100,,Angle.java,,
32,73,107,45,0,1,1,1,0,1,100,,Dihedral.java,,
32,106,107,45,0,1,1,1,1,1,70,Angle.java,Dihedral.java,,
32,106,120,45,0,1,1,1,0,1,70,Angle.java,,,
32,106,123,45,0,1,1,1,0,1,70,Angle.java,,,
32,106,124,45,0,1,1,1,0,1,70,Angle.java,,,
32,106,437,45,0,1,1,1,0,1,70,Angle.java,,,
32,107,120,45,0,1,1,1,0,1,70,Dihedral.java,,,
32,107,123,45,0,1,1,1,0,1,70,Dihedral.java,,,
32,107,124,45,0,1,1,1,0,1,70,Dihedral.java,,,
32,107,437,45,0,1,1,1,0,1,70,Dihedral.java,,,
32,109,125,46,0,1,1,1,0,1,71,Dihedral.java,,,
32,109,126,46,0,1,1,1,0,1,71,Dihedral.java,,,
32,109,127,46,0,1,1,1,0,1,71,Dihedral.java,,,
32,134,196,49,0,1,1,1,0,1,100,,ChemFrame.java,,
32,134,198,49,0,1,1,1,0,1,100,,ChemFrame.java,,
32,135,196,49,0,1,1,1,0,1,100,,ChemFrame.java,,
32,135,198,49,0,1,1,1,0,1,100,,ChemFrame.java,,
32,136,196,49,0,1,1,1,0,1,75,,ChemFrame.java,,
32,136,198,49,0,1,1,1,0,1,75,,ChemFrame.java,,
32,137,196,49,0,1,1,1,0,1,75,,ChemFrame.java,,
32,137,198,49,0,1,1,1,0,1,75,,ChemFrame.java,,
32,140,196,49,0,1,1,1,0,1,75,,ChemFrame.java,,
32,140,198,49,0,1,1,1,0,1,75,,ChemFrame.java,,
32,150,196,49,0,1,1,1,0,1,75,,ChemFrame.java,,
32,150,198,49,0,1,1,1,0,1,75,,ChemFrame.java,,
32,152,196,49,0,1,1,1,0,1,75,,ChemFrame.java,,
32,152,198,49,0,1,1,1,0,1,75,,ChemFrame.java,,
32,188,196,49,1,1,0,0 (same dir),0,0,100,,ChemFrame.java,,
32,188,198,49,1,1,0,0 (same dir),0,0,100,,ChemFrame.java,,
32,196,198,49,1,1,0,0 (same dir),1,0,82,ChemFrame.java,ChemFrame.java,,
32,166,167,62,0,1,1,1,0,1,100,AtomType.java,,,
32,194,195,85,0,1,1,1,0,1,93,ChemFrame.java,,,
32,176,177,88,1,1,0,0 (same dir),1,0,71,Bond.java,Bond.java,,
32,176,314,88,0,1,1,1,0,1,71,Bond.java,,,
32,176,315,88,0,1,1,1,0,1,71,Bond.java,,,
32,176,316,88,0,1,1,1,0,1,71,Bond.java,,,
32,177,314,88,0,1,1,1,0,1,71,Bond.java,,,
32,177,315,88,0,1,1,1,0,1,71,Bond.java,,,
32,177,316,88,0,1,1,1,0,1,71,Bond.java,,,
32,178,179,89,1,1,0,0 (same dir),1,0,83,Bond.java,Bond.java,,
32,178,317,89,0,1,1,1,0,1,83,Bond.java,,,
32,178,318,89,0,1,1,1,0,1,83,Bond.java,,,
32,179,317,89,0,1,1,1,0,1,83,Bond.java,,,
32,179,318,89,0,1,1,1,0,1,83,Bond.java,,,
32,262,281,119,0,1,1,1,0,1,87,,Jmol.java,,
32,263,281,119,0,1,1,1,0,1,78,,Jmol.java,,
32,280,281,119,1,1,0,0 (same dir),0,0,77,,Jmol.java,,
32,356,361,150,1,1,1,1,0,1,83,,Preferences.java,,
32,361,365,150,1,1,1,1,0,1,83,Preferences.java,,,
32,361,371,150,1,1,0,0 (same dir),0,0,83,Preferences.java,,,
32,361,373,150,1,1,0,0 (same dir),0,0,83,Preferences.java,,,
32,390,429,152,1,1,1,1,0,1,85,,Preferences.java,,
32,391,429,152,1,1,1,1,0,1,85,,Preferences.java,,
32,392,429,152,1,1,1,1,0,1,85,,Preferences.java,,
32,394,429,152,1,1,1,1,0,1,85,,Preferences.java,,
32,110,111,157,0,1,1,1,1,1,72,Angle.java,Distance.java,,
32,110,434,157,0,1,1,1,0,1,72,Angle.java,,,
32,110,435,157,0,1,1,1,0,1,72,Angle.java,,,
