gcid,filePath,folder,all_files,num_files,total_changes,first_revision,last_revision
18,ChemFrame.java,,ChemFrame.java,1,21,82,900
23,MeasurementListEvent.java,,MeasurementListEvent.java,1,1,298,298
53,AboutDialog.java,,AboutDialog.java,1,7,66,498
54,WhatsNewDialog.java,,WhatsNewDialog.java,1,7,66,498
55,HelpDialog.java,,HelpDialog.java,1,6,77,498
56,AboutDialog.java,,AboutDialog.java,1,6,298,498
57,WhatsNewDialog.java,,WhatsNewDialog.java,1,6,298,498
58,HelpDialog.java,,HelpDialog.java,1,6,298,498
59,AboutDialog.java,,AboutDialog.java,1,5,302,498
60,HelpDialog.java,,HelpDialog.java,1,5,302,498
61,WhatsNewDialog.java,,WhatsNewDialog.java,1,4,302,482
62,AboutDialog.java,,AboutDialog.java,1,2,302,315
63,WhatsNewDialog.java,,WhatsNewDialog.java,1,2,302,315
64,HelpDialog.java,,HelpDialog.java,1,2,302,315
65,AboutDialog.java,,AboutDialog.java,1,3,298,315
66,Measure.java,,Measure.java,1,5,289,498
67,AtomTypeTable.java,,AtomTypeTable.java,1,6,298,498
68,Animate.java,,Animate.java,1,6,289,627
69,WhatsNewDialog.java,,WhatsNewDialog.java,1,3,298,315
70,Preferences.java,,Preferences.java,1,10,141,501
71,Vibrate.java,,Vibrate.java,1,7,127,498
72,HelpDialog.java,,HelpDialog.java,1,3,298,315
73,MeasurementList.java,,MeasurementList.java,1,5,298,914
75,Animate.java,,Animate.java,1,1,206,206
76,Aces2Reader.java,,Aces2Reader.java,1,3,302,334
77,GamessReader.java,,GamessReader.java,1,5,136,482
78,Gaussian94Reader.java,,Gaussian94Reader.java,1,5,96,334
79,ADFReader.java,,ADFReader.java,1,3,302,334
80,Gaussian92Reader.java,,Gaussian92Reader.java,1,3,302,334
81,Gaussian98Reader.java,,Gaussian98Reader.java,1,6,96,335
82,Aces2Reader.java,,Aces2Reader.java,1,4,302,482
83,Aces2Reader.java,,Aces2Reader.java,1,5,302,482
84,Aces2Reader.java,,Aces2Reader.java,1,5,302,731
85,Gaussian94Reader.java,,Gaussian94Reader.java,1,4,302,731
86,Gaussian92Reader.java,,Gaussian92Reader.java,1,5,302,731
87,Gaussian98Reader.java,,Gaussian98Reader.java,1,5,81,731
88,ADFReader.java,,ADFReader.java,1,7,302,984
89,GamessReader.java,,GamessReader.java,1,6,136,731
90,ADFReader.java,,ADFReader.java,1,5,302,731
91,Aces2Reader.java,,Aces2Reader.java,1,5,302,990
92,ADFReader.java,,ADFReader.java,1,6,302,990
93,Gaussian92Reader.java,,Gaussian92Reader.java,1,5,302,990
94,Gaussian94Reader.java,,Gaussian94Reader.java,1,5,302,990
