gcid,filePath,folder,all_files,num_files,total_changes,first_revision,last_revision
2,update.java,,update.java,1,4,41,51
3,ARecord.java,,ARecord.java,1,1,6,6
4,dnsARecord.java,,dnsARecord.java,1,1,6,6
5,dnsTXTRecord.java,,dnsTXTRecord.java,1,2,6,9
6,TXTRecord.java,,TXTRecord.java,1,2,6,9
7,dnsARecord.java,,dnsARecord.java,1,1,6,6
8,ARecord.java,,ARecord.java,1,1,6,6
9,dnsTXTRecord.java,,dnsTXTRecord.java,1,2,6,9
10,TXTRecord.java,,TXTRecord.java,1,2,6,9
11,ARecord.java,,ARecord.java,1,2,41,94
12,dnsARecord.java,,dnsARecord.java,1,1,41,41
13,dnsARecord.java,,dnsARecord.java,1,1,41,41
14,ARecord.java,,ARecord.java,1,2,41,94
15,base64.java,,base64.java,1,1,28,28
16,base64.java,,base64.java,1,1,28,28
17,base64.java,,base64.java,1,1,28,28
18,base64.java,,base64.java,1,1,28,28
19,CountedDataInputStream.java,,CountedDataInputStream.java,1,1,48,48
20,CountedDataInputStream.java,,CountedDataInputStream.java,1,1,48,48
21,CountedDataInputStream.java,,CountedDataInputStream.java,1,1,48,48
22,CountedDataInputStream.java,,CountedDataInputStream.java,1,1,48,48
25,dns.java,,dns.java,1,4,20,827
26,dns.java,,dns.java,1,4,20,829
27,dnsHeader.java,,dnsHeader.java,1,2,16,41
28,Header.java,,Header.java,1,5,16,1421
29,dnsHeader.java,,dnsHeader.java,1,2,16,41
30,Header.java,,Header.java,1,4,16,269
31,dnsHeader.java,,dnsHeader.java,1,2,41,48
32,dnsHeader.java,,dnsHeader.java,1,2,41,48
33,Header.java,,Header.java,1,6,41,269
34,Header.java,,Header.java,1,6,41,269
35,dnsHeader.java,,dnsHeader.java,1,2,41,48
36,dnsHeader.java,,dnsHeader.java,1,2,41,48
37,Header.java,,Header.java,1,4,41,218
38,Header.java,,Header.java,1,5,41,1421
39,dnsHeader.java,,dnsHeader.java,1,1,41,41
40,Header.java,,Header.java,1,4,41,269
41,Header.java,,Header.java,1,4,41,269
42,dnsHeader.java,,dnsHeader.java,1,1,41,41
44,Header.java,,Header.java,1,3,94,1179
45,dnsMXRecord.java,,dnsMXRecord.java,1,1,41,41
47,MXRecord.java,,MXRecord.java,1,2,41,248
48,dnsMXRecord.java,,dnsMXRecord.java,1,1,41,41
49,MXRecord.java,,MXRecord.java,1,2,41,248
50,Header.java,,Header.java,1,3,94,1421
51,NXTRecord.java,,NXTRecord.java,1,3,4,405
52,dnsNXTRecord.java,,dnsNXTRecord.java,1,1,4,4
53,dnsNXTRecord.java,,dnsNXTRecord.java,1,3,4,44
54,NXTRecord.java,,NXTRecord.java,1,6,4,248
55,dnsKEYRecord.java,,dnsKEYRecord.java,1,1,41,41
56,dnsKEYRecord.java,,dnsKEYRecord.java,1,1,41,41
57,KEYRecord.java,,KEYRecord.java,1,3,41,248
58,KEYRecord.java,,KEYRecord.java,1,5,41,758
63,dnsKEYRecord.java,,dnsKEYRecord.java,1,1,41,41
64,KEYRecord.java,,KEYRecord.java,1,3,41,248
65,dnsKEYRecord.java,,dnsKEYRecord.java,1,1,41,41
66,KEYRecord.java,,KEYRecord.java,1,3,41,248
68,dnsSIGRecord.java,,dnsSIGRecord.java,1,1,13,13
69,TSIGRecord.java,,TSIGRecord.java,1,3,7,1096
70,SIGRecord.java,,SIGRecord.java,1,1,13,13
73,TSIGRecord.java,,TSIGRecord.java,1,2,7,20
74,dnsSIGRecord.java,,dnsSIGRecord.java,1,1,13,13
75,dnsTSIGRecord.java,,dnsTSIGRecord.java,1,2,7,20
76,dnsTSIGRecord.java,,dnsTSIGRecord.java,1,2,7,20
78,SIGRecord.java,,SIGRecord.java,1,1,13,13
79,dnsMessage.java,,dnsMessage.java,1,1,41,41
80,Message.java,,Message.java,1,2,41,87
82,Message.java,,Message.java,1,3,21,87
83,dnsMessage.java,,dnsMessage.java,1,1,41,41
84,Message.java,,Message.java,1,5,41,281
85,Message.java,,Message.java,1,6,41,991
86,dnsMessage.java,,dnsMessage.java,1,1,41,41
87,dnsMessage.java,,dnsMessage.java,1,4,9,48
88,Message.java,,Message.java,1,9,9,281
89,dnsMessage.java,,dnsMessage.java,1,1,41,41
90,Message.java,,Message.java,1,3,9,41
91,dnsMXRecord.java,,dnsMXRecord.java,1,1,41,41
92,dnsMXRecord.java,,dnsMXRecord.java,1,1,41,41
93,MXRecord.java,,MXRecord.java,1,3,41,248
94,MXRecord.java,,MXRecord.java,1,3,41,248
99,dnsName.java,,dnsName.java,1,2,41,48
100,dnsName.java,,dnsName.java,1,2,41,48
101,Name.java,,Name.java,1,4,41,135
102,Name.java,,Name.java,1,4,41,135
103,dnsName.java,,dnsName.java,1,3,41,74
104,Name.java,,Name.java,1,5,41,253
105,dnsName.java,,dnsName.java,1,3,41,74
106,Name.java,,Name.java,1,5,41,253
107,dnsName.java,,dnsName.java,1,1,43,43
108,Name.java,,Name.java,1,4,43,253
109,Name.java,,Name.java,1,4,43,253
110,dnsName.java,,dnsName.java,1,1,43,43
111,dnsName.java,,dnsName.java,1,2,41,43
112,Name.java,,Name.java,1,6,41,253
113,Name.java,,Name.java,1,6,41,253
114,dnsName.java,,dnsName.java,1,2,41,43
115,dnsName.java,,dnsName.java,1,3,41,48
116,Name.java,,Name.java,1,9,41,1003
117,Name.java,,Name.java,1,5,41,232
118,dnsName.java,,dnsName.java,1,3,41,48
120,Name.java,,Name.java,1,8,87,1045
121,Name.java,,Name.java,1,6,87,1295
123,dnsNXTRecord.java,,dnsNXTRecord.java,1,1,41,41
124,NXTRecord.java,,NXTRecord.java,1,10,41,1222
125,dnsNXTRecord.java,,dnsNXTRecord.java,1,1,41,41
126,NXTRecord.java,,NXTRecord.java,1,4,41,248
127,dnsNXTRecord.java,,dnsNXTRecord.java,1,2,8,41
128,NXTRecord.java,,NXTRecord.java,1,5,8,248
129,NXTRecord.java,,NXTRecord.java,1,5,8,248
