gcid,filePath,folder,all_files,num_files,total_changes,first_revision,last_revision
2,TGTrayMenu.java,,TGTrayMenu.java,1,3,636,2798
3,ActionManager.java,,ActionManager.java,1,6,94,1342
4,TGTrackManager.java,,TGTrackManager.java,1,2,1165,3218
5,TGMeasureManager.java,,TGMeasureManager.java,1,7,375,3241
6,IconManager.java,,IconManager.java,1,1,916,916
7,TGSongManager.java,,TGSongManager.java,1,16,451,3241
8,TGSongManager.java,,TGSongManager.java,1,15,451,3241
9,TGTrackManager.java,,TGTrackManager.java,1,2,1165,3218
10,TGSongManager.java,,TGSongManager.java,1,4,877,930
12,TGSongManager.java,,TGSongManager.java,1,13,451,3241
13,KeyBindingEditor.java,,KeyBindingEditor.java,1,1,97,97
14,TGSongManager.java,,TGSongManager.java,1,15,539,3241
15,TGMeasureImpl.java,,TGMeasureImpl.java,1,11,102,2667
16,TGMeasureManager.java,,TGMeasureManager.java,1,17,375,3241
17,TGTrackManager.java,,TGTrackManager.java,1,24,451,3218
18,GoLeftAction.java,,GoLeftAction.java,1,3,104,1112
19,ShowPianoAction.java,,ShowPianoAction.java,1,3,104,1112
20,ShowTransportAction.java,,ShowTransportAction.java,1,3,104,1112
21,TGBrowserAction.java,,TGBrowserAction.java,1,3,104,1112
22,ShowMixerAction.java,,ShowMixerAction.java,1,1,104,104
23,EditLyricsAction.java,,EditLyricsAction.java,1,3,104,1112
24,ShowMatrixAction.java,,ShowMatrixAction.java,1,3,104,1112
25,ShowFretBoardAction.java,,ShowFretBoardAction.java,1,3,104,1112
26,ChangeClefAction.java,,ChangeClefAction.java,1,5,49,1112
27,ChangeKeySignatureAction.java,,ChangeKeySignatureAction.java,1,4,104,1112
28,ChangeTempoAction.java,,ChangeTempoAction.java,1,4,104,1112
29,ChangeClefAction.java,,ChangeClefAction.java,1,2,104,452
30,GraceEditor.java,,GraceEditor.java,1,2,103,925
31,TrackPropertiesAction.java,,TrackPropertiesAction.java,1,2,104,877
32,ChordCustomList.java,,ChordCustomList.java,1,1,106,106
33,TransportModeAction.java,,TransportModeAction.java,1,4,104,885
34,ChangeClefAction.java,,ChangeClefAction.java,1,1,452,452
35,KeyBindingEditor.java,,KeyBindingEditor.java,1,1,97,97
36,ChangeTempoAction.java,,ChangeTempoAction.java,1,2,104,452
37,ConfirmDialog.java,,ConfirmDialog.java,1,1,89,89
39,PasteMeasureAction.java,,PasteMeasureAction.java,1,1,553,553
41,TGConfigEditor.java,,TGConfigEditor.java,1,1,97,97
42,GraceEditor.java,,GraceEditor.java,1,2,103,925
43,HarmonicEditor.java,,HarmonicEditor.java,1,1,925,925
44,RepeatAlternativeAction.java,,RepeatAlternativeAction.java,1,1,104,104
45,ChordDialog.java,,ChordDialog.java,1,1,106,106
47,TrillEditor.java,,TrillEditor.java,1,1,925,925
48,ChangeKeySignatureAction.java,,ChangeKeySignatureAction.java,1,1,452,452
49,ChangeTimeSignatureAction.java,,ChangeTimeSignatureAction.java,1,2,104,452
50,OpenURLAction.java,,OpenURLAction.java,1,1,104,104
51,ChangeTripletFeelAction.java,,ChangeTripletFeelAction.java,1,2,104,452
52,ChangeKeySignatureAction.java,,ChangeKeySignatureAction.java,1,2,104,452
53,ChangeInfoAction.java,,ChangeInfoAction.java,1,1,539,539
57,KeyBindingSelector.java,,KeyBindingSelector.java,1,2,49,50
59,ToolBarsOption.java,,ToolBarsOption.java,1,1,97,97
60,TremoloPickingEditor.java,,TremoloPickingEditor.java,1,2,103,925
61,TrillEditor.java,,TrillEditor.java,1,2,103,925
62,TremoloPickingEditor.java,,TremoloPickingEditor.java,1,2,103,925
63,CopyMeasureAction.java,,CopyMeasureAction.java,1,1,104,104
64,RemoveMeasureAction.java,,RemoveMeasureAction.java,1,1,104,104
65,ChangeTempoAction.java,,ChangeTempoAction.java,1,2,104,452
66,InsertTextAction.java,,InsertTextAction.java,1,1,104,104
67,TGMixer.java,,TGMixer.java,1,5,98,453
68,TGMixerTrack.java,,TGMixerTrack.java,1,4,98,742
69,PrintStylesDialog.java,,PrintStylesDialog.java,1,2,98,586
70,TGMixerTrack.java,,TGMixerTrack.java,1,4,98,742
71,PrintStylesDialog.java,,PrintStylesDialog.java,1,2,98,586
72,PrintStylesDialog.java,,PrintStylesDialog.java,1,2,98,586
73,TGBrowserDataDialog.java,,TGBrowserDataDialog.java,1,2,94,1235
77,ChangeTimeSignatureAction.java,,ChangeTimeSignatureAction.java,1,1,452,452
78,RepeatAlternativeAction.java,,RepeatAlternativeAction.java,1,1,104,104
79,TGBrowserDataDialog.java,,TGBrowserDataDialog.java,1,1,1235,1235
80,ChordRecognizer.java,,ChordRecognizer.java,1,1,106,106
