feature,importance
frac_peers_same_file,8.958808599802282
mean_peer_depth,8.416683405396872
file_age,7.309014716524821
stability_index,7.242381237210573
alive_peer_count,6.5302901147522086
class_size,5.946992456166135
mean_peer_co_ratio,5.4514711630898764
change_magnitude,5.4191455184423285
revs_since_last_change,4.609057785956386
class_co_change_density,4.36636488978409
churn,3.6813144068384367
change_proneness,3.6124793922607727
avg_prior_change_magnitude,2.9490722864185788
revs_since_last_co_change,2.723394603412943
nlines,2.5763824822363994
frac_peers_same_method,2.117119251957229
revs_since_last_independent,2.096553673851653
max_peer_co_ratio,1.781330407169997
ir_decay_h50,1.739929121769201
similarity,1.518233721042651
n_prior_changes,1.3029000328155318
cs_decay_h20,1.2115465435403077
cs_decay_h50,1.175497352405846
n_prior_co_changes,1.1133505916017432
co_change_ratio,1.0941741295123224
cs_decay_h10,0.9989300056102949
coupling_trend,0.8816004583722101
recent_co_ratio_last5,0.7814698872145958
ir_decay_h10,0.7002300899476787
ir_decay_h20,0.6361906598101253
n_prior_independent,0.5864650243215226
solo_events_since_last_co,0.4716259907643844
min_peer_co_ratio,0.0
distinct_authors,0.0
major_author_prop,0.0
