feature,importance
mean_peer_co_ratio,439
stability_index,416
frac_peers_same_file,347
file_age,320
churn,285
alive_peer_count,275
change_magnitude,240
change_proneness,239
revs_since_last_change,220
avg_prior_change_magnitude,206
class_co_change_density,192
mean_peer_depth,169
class_size,146
revs_since_last_independent,111
n_prior_changes,96
revs_since_last_co_change,88
max_peer_co_ratio,77
nlines,71
frac_peers_same_method,70
solo_events_since_last_co,67
n_prior_co_changes,60
similarity,60
ir_decay_h50,46
coupling_trend,43
co_change_ratio,32
recent_co_ratio_last5,32
cs_decay_h10,31
ir_decay_h10,25
n_prior_independent,20
cs_decay_h20,20
ir_decay_h20,15
cs_decay_h50,10
min_peer_co_ratio,0
distinct_authors,0
major_author_prop,0
