feature,importance
frac_peers_same_file,0.17721528482023624
mean_peer_depth,0.1605786940937428
max_peer_co_ratio,0.08797956878593496
mean_peer_co_ratio,0.04357626383865487
cs_decay_h50,0.04164371325467715
recent_co_ratio_last5,0.039078309834045984
ir_decay_h50,0.03405044775063464
ir_decay_h20,0.03151548949858289
change_proneness,0.030601965733227154
stability_index,0.030311824499349604
class_size,0.029993357075674184
class_co_change_density,0.027804801188800406
file_age,0.027788300458899434
cs_decay_h20,0.026338164000800135
revs_since_last_independent,0.024491068303356723
churn,0.02290895095532426
alive_peer_count,0.02253610373767748
revs_since_last_change,0.022180551565905204
cs_decay_h10,0.020010631686558485
n_prior_independent,0.016895030828487326
revs_since_last_co_change,0.016115223178325422
ir_decay_h10,0.015035286352847742
n_prior_co_changes,0.009930411749705319
n_prior_changes,0.008335457485675372
nlines,0.0075345152035114615
similarity,0.007469815540251109
co_change_ratio,0.005988386840196344
frac_peers_same_method,0.005235820728119317
solo_events_since_last_co,0.004738390670948348
coupling_trend,0.0021181703398494957
min_peer_co_ratio,0.0
distinct_authors,0.0
major_author_prop,0.0
