feature,importance
recent_co_ratio_last5,0.18415432
frac_peers_same_file,0.118311405
file_age,0.05474505
n_prior_co_changes,0.0469282
class_size,0.04510466
ir_decay_h50,0.04108563
stability_index,0.03647016
alive_peer_count,0.035261896
frac_peers_same_method,0.034241244
nlines,0.030704759
churn,0.026661167
revs_since_last_change,0.026096549
cs_decay_h10,0.026089739
coupling_trend,0.025832081
mean_peer_co_ratio,0.024283536
avg_prior_change_magnitude,0.023966443
n_prior_independent,0.021682484
change_proneness,0.02147666
change_magnitude,0.020461172
ir_decay_h10,0.019980222
revs_since_last_independent,0.018585233
n_prior_changes,0.017458268
ir_decay_h20,0.016961735
co_change_ratio,0.01658586
revs_since_last_co_change,0.016247427
class_co_change_density,0.015618542
max_peer_co_ratio,0.013474036
solo_events_since_last_co,0.011226968
similarity,0.01030461
min_peer_co_ratio,0.0
mean_peer_depth,0.0
cs_decay_h50,0.0
cs_decay_h20,0.0
distinct_authors,0.0
major_author_prop,0.0
