feature,importance
max_peer_co_ratio,0.09048921697123688
frac_peers_same_file,0.07838328475984419
cs_decay_h50,0.07543527464465746
ir_decay_h50,0.07099958981562142
n_prior_independent,0.05369368718899105
ir_decay_h20,0.048061436019636694
cs_decay_h20,0.04636539426100812
cs_decay_h10,0.04412617930063517
recent_co_ratio_last5,0.04226980689856529
revs_since_last_independent,0.04050616890962256
ir_decay_h10,0.033765150429379755
mean_peer_depth,0.030662886085788148
alive_peer_count,0.030659932715667266
stability_index,0.02904248331457485
class_size,0.026876769675551936
nlines,0.02561457877171117
file_age,0.025595077878200385
mean_peer_co_ratio,0.025276926376028477
churn,0.023872170943347017
change_proneness,0.022186646952482358
revs_since_last_co_change,0.019315542631422638
class_co_change_density,0.018871766791822207
revs_since_last_change,0.018489933755683623
frac_peers_same_method,0.013701158082658042
co_change_ratio,0.012903918083350247
solo_events_since_last_co,0.012717985067734059
n_prior_changes,0.012223918157687209
n_prior_co_changes,0.010751801187650917
similarity,0.00898253756596435
coupling_trend,0.00535573615493924
min_peer_co_ratio,0.002803040608537184
distinct_authors,0.0
major_author_prop,0.0
